"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/1_1572864_200000000.csv",,,,"Date:","01 Feb 2016 11:12:46 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
5.147,0.341,94.282,0.211,0.000,0.018,240319.048,591302.522,0.0,0.0,340.119,489.816,484.258,818.047,1454321566.929
0.250,0.0,97.750,2.0,0.0,0.0,0.0,114688.0,12150.0,17458.0,0.0,0.0,801.0,1413.0,1454321567.930
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,1209.0,339.0,0.0,0.0,796.0,1382.0,1454321568.930
0.125,0.249,99.626,0.0,0.0,0.0,0.0,0.0,2946.0,675.0,0.0,0.0,743.0,1354.0,1454321569.930
0.125,0.125,99.126,0.624,0.0,0.0,0.0,503808.0,1145.0,339.0,0.0,0.0,809.0,1225.0,1454321570.930
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,1209.0,339.0,0.0,0.0,669.0,1216.0,1454321571.930
0.125,0.0,97.497,2.378,0.0,0.0,0.0,102400.0,2882.0,1085.0,0.0,0.0,643.0,1200.0,1454321572.930
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1017.0,339.0,0.0,0.0,632.0,1159.0,1454321573.930
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1145.0,339.0,0.0,0.0,636.0,1149.0,1454321574.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2690.0,675.0,0.0,0.0,649.0,1207.0,1454321575.930
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,1017.0,339.0,0.0,0.0,519.0,969.0,1454321576.930
0.250,0.0,99.001,0.749,0.0,0.0,0.0,24576.0,1017.0,339.0,0.0,0.0,709.0,1281.0,1454321577.930
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2754.0,675.0,0.0,0.0,700.0,1292.0,1454321578.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1081.0,339.0,0.0,0.0,663.0,1228.0,1454321579.930
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,1017.0,339.0,0.0,0.0,647.0,1168.0,1454321580.930
