"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/3_33280000_500000000_0.05.csv",,,,"Date:","26 Feb 2016 23:54:24 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
21.664,1.498,75.134,1.585,0.000,0.120,924203.249,3837174.581,0.0,0.0,1389.688,1446.100,1792.285,2054.243,1456527264.384
1.256,0.126,98.492,0.126,0.0,0.0,0.0,0.0,7024.0,7753.0,0.0,0.0,724.0,1239.0,1456527265.385
0.876,0.250,98.874,0.0,0.0,0.0,0.0,0.0,5016.0,6106.0,0.0,0.0,626.0,1138.0,1456527266.385
0.376,0.251,99.373,0.0,0.0,0.0,0.0,0.0,2527.0,2019.0,0.0,0.0,592.0,1114.0,1456527267.385
0.627,0.125,99.122,0.125,0.0,0.0,0.0,1183744.0,2335.0,650.0,0.0,0.0,911.0,1128.0,1456527268.385
0.627,0.125,98.246,1.003,0.0,0.0,0.0,126976.0,1215.0,423.0,0.0,0.0,557.0,1066.0,1456527269.385
0.502,0.125,99.373,0.0,0.0,0.0,0.0,0.0,1711.0,883.0,0.0,0.0,557.0,1084.0,1456527270.385
0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,2271.0,650.0,0.0,0.0,596.0,1109.0,1456527271.385
0.626,0.125,99.249,0.0,0.0,0.0,0.0,0.0,1279.0,501.0,0.0,0.0,556.0,1066.0,1456527272.385
0.501,0.250,99.249,0.0,0.0,0.0,0.0,0.0,1839.0,537.0,0.0,0.0,575.0,1097.0,1456527273.385
0.752,0.251,97.995,1.003,0.0,0.0,0.0,98304.0,2399.0,650.0,0.0,0.0,617.0,1132.0,1456527274.385
0.502,0.125,99.373,0.0,0.0,0.0,0.0,0.0,1151.0,487.0,0.0,0.0,576.0,1091.0,1456527275.385
0.502,0.125,99.373,0.0,0.0,0.0,0.0,0.0,1647.0,601.0,0.0,0.0,577.0,1098.0,1456527276.385
0.751,0.250,98.999,0.0,0.0,0.0,0.0,0.0,2271.0,714.0,0.0,0.0,577.0,1076.0,1456527277.385
0.251,0.126,99.623,0.0,0.0,0.0,0.0,0.0,1215.0,423.0,0.0,0.0,552.0,1073.0,1456527278.385
0.501,0.251,98.371,0.877,0.0,0.0,0.0,98304.0,1775.0,537.0,0.0,0.0,553.0,1077.0,1456527279.385
0.502,0.125,99.373,0.0,0.0,0.0,0.0,0.0,2335.0,650.0,0.0,0.0,599.0,1113.0,1456527280.385
0.628,0.126,99.246,0.0,0.0,0.0,0.0,0.0,1087.0,423.0,0.0,0.0,580.0,1083.0,1456527281.385
0.501,0.125,99.373,0.0,0.0,0.0,0.0,0.0,1839.0,615.0,0.0,0.0,551.0,1066.0,1456527282.385
0.500,0.250,99.250,0.0,0.0,0.0,0.0,69632.0,2271.0,650.0,0.0,0.0,605.0,1106.0,1456527283.385
0.628,0.251,97.236,1.884,0.0,0.0,0.0,110592.0,1215.0,423.0,0.0,0.0,597.0,1125.0,1456527284.385
0.502,0.125,99.373,0.0,0.0,0.0,0.0,0.0,1775.0,537.0,0.0,0.0,579.0,1105.0,1456527285.385
