timestamp,map,reduce
1456241407,0,0
1456241420,1,0
1456241421,2,0
1456241423,3,0
1456241424,4,0
1456241437,5,0
1456241439,7,0
1456241442,8,0
1456241452,9,0
1456241454,10,0
1456241456,11,0
1456241460,12,0
1456241467,13,0
1456241469,14,0
1456241471,15,0
1456241476,16,0
1456241480,17,0
1456241485,18,1
1456241487,19,1
1456241494,20,1
1456241499,21,1
1456241502,22,1
1456241506,23,1
1456241514,24,1
1456241518,24,2
1456241519,25,2
1456241520,26,2
1456241524,27,2
1456241530,28,2
1456241535,28,3
1456241536,29,3
1456241541,30,3
1456241542,31,3
1456241549,32,3
1456241553,33,3
1456241557,34,3
1456241559,34,4
1456241565,35,4
1456241567,35,5
1456241568,36,5
1456241573,37,5
1456241575,38,5
1456241577,38,6
1456241586,39,6
1456241588,40,6
1456241590,40,7
1456241593,41,7
1456241600,42,7
1456241608,42,8
1456241610,43,8
1456241618,44,8
1456241623,45,8
1456241625,45,9
1456241630,46,9
1456241633,47,9
1456241643,47,10
1456241645,48,10
1456241649,49,10
1456241651,49,11
1456241653,50,11
1456241657,51,12
1456241658,51,13
1456241663,52,13
1456241666,52,14
1456241667,53,14
1456241670,54,14
1456241672,54,15
1456241674,55,15
1456241675,55,16
1456241679,56,16
1456241681,57,17
1456241684,58,18
1456241689,58,19
1456241690,59,19
1456241694,60,19
1456241695,61,19
1456241696,62,20
1456241701,63,20
1456241705,64,20
1456241707,65,20
1456241708,65,21
1456241714,66,21
1456241718,67,21
1456241719,68,21
1456241721,68,22
1456241727,69,22
1456241729,70,22
1456241731,71,22
1456241733,71,23
1456241737,72,23
1456241741,74,23
1456241743,74,24
1456241749,75,24
1456241752,76,24
1456241754,77,24
1456241755,78,25
1456241764,79,25
1456241765,80,25
1456241767,81,26
1456241769,82,26
1456241772,82,27
1456241778,83,27
1456241779,84,27
1456241780,85,27
1456241785,86,27
1456241789,86,28
1456241793,87,28
1456241794,88,28
1456241796,88,29
1456241797,89,29
1456241800,90,29
1456241803,91,29
1456241804,92,29
1456241805,92,30
1456241806,93,30
1456241808,93,31
1456241810,94,31
1456241815,95,31
1456241817,97,31
1456241818,97,32
1456241820,98,32
1456241824,98,33
1456241825,99,33
1456241834,100,33
1456241843,100,34
1456241845,100,44
1456241846,100,46
1456241848,100,55
1456241849,100,59
1456241851,100,61
1456241852,100,64
1456241854,100,65
1456241855,100,69
1456241857,100,70
1456241860,100,72
1456241863,100,73
1456241866,100,75
1456241869,100,76
1456241870,100,77
1456241872,100,78
1456241875,100,80
1456241878,100,81
1456241880,100,82
1456241881,100,83
1456241884,100,85
1456241887,100,86
1456241889,100,87
1456241890,100,88
1456241893,100,89
1456241895,100,90
1456241899,100,91
1456241905,100,92
1456241915,100,93
1456241927,100,94
1456241934,100,95
1456241942,100,96
1456241951,100,97
1456241958,100,98
1456241966,100,99
1456241975,100,100
