replication,blocksize,dimension,start_reduce_percentage,start_time,start_reduce,end_time,total_time
1,2097152,300000000,0.05,1454388088,1454388686,1454396538,8450
2,2097152,400000000,0.5,1455414659,1455419239,1455425331,10672
3,1572864,500000000,0.5,1455554477,1455562910,1455576367,21890
4,2097152,500000000,0.05,1454963849,1454964891,1454977331,13482
3,2097152,300000000,0.5,1455582988,1455586208,1455590726,7738
2,2097152,300000000,0.5,1455405784,1455408989,1455413754,7970
3,1572864,200000000,0.05,1454685391,1454685927,1454692094,6703
1,1572864,300000000,0.05,1454330274,1454331083,1454342243,11969
3,2097152,500000000,0.5,1455604162,1455610263,1455617894,13732
3,1572864,300000000,0.5,1455526546,1455530901,1455537480,10934
3,1048576,300000000,0.5,1455451146,1455458457,1455467584,16438
4,1048576,200000000,0.05,1454788100,1454788897,1454799112,11012
4,1572864,500000000,0.5,1455736434,1455743903,1455755876,19442
2,2097152,500000000,0.5,1455426372,1455431766,1455438751,12379
3,1048576,300000000,0.05,1454617472,1454618687,1454634272,16800
1,2097152,300000000,0.5,1455224450,1455227711,1455232031,7581
4,2097152,500000000,0.5,1455802968,1455808542,1455817035,14067
1,2097152,400000000,0.5,1455232607,1455237134,1455245316,12709
1,2097152,500000000,0.05,1454408834,1454409811,1454423311,14477
3,2097152,400000000,0.05,1454758468,1454759270,1454770371,11903
4,2097152,300000000,0.5,1455770368,1455780242,1455787898,17530
3,1048576,200000000,0.5,1455439664,1455443944,1455450073,10409
2,2097152,300000000,0.05,1454568545,1454569234,1454577145,8600
1,1572864,400000000,0.05,1454342885,1454343717,1454356981,14096
1,1572864,400000000,0.5,1455183527,1455189642,1455198233,14706
1,1048576,200000000,0.5,1455099960,1455104208,1455111434,11474
3,1572864,500000000,0.05,1454722258,1454723633,1454740985,18727
4,1048576,400000000,0.5,1455648881,1455657772,1455669453,20572
1,1048576,400000000,0.5,1455112399,1455120979,1455133338,20939
3,1048576,400000000,0.05,1454635560,1454637177,1454657385,21825
4,1048576,200000000,0.5,1455618918,1455623226,1455629479,10561
4,2097152,200000000,0.05,1454934067,1454934470,1454939104,5037
3,1048576,200000000,0.05,1454605478,1454606448,1454616429,10951
1,1048576,500000000,0.05,1454290619,1454292607,1454321099,30480
4,1572864,200000000,0.05,1454875175,1454875723,1454882578,7403
2,1048576,200000000,0.05,1454424045,1454424836,1454434637,10592
3,2097152,400000000,0.5,1455592070,1455596411,1455602821,10751
3,1048576,500000000,0.5,1455492020,1455503156,1455517152,25132
4,1572864,400000000,0.05,1454896881,1454897978,1454912537,15656
2,1048576,300000000,0.05,1454435486,1454436676,1454452701,17215
3,2097152,300000000,0.05,1454748592,1454749298,1454757333,8741
3,1572864,400000000,0.5,1455538741,1455544561,1455553030,14289
2,1572864,300000000,0.5,1455353218,1455357904,1455364110,10892
4,1048576,500000000,0.05,1454841992,1454844648,1454874181,32189
1,1572864,200000000,0.5,1455162139,1455165121,1455170241,8102
3,1572864,400000000,0.05,1454705495,1454706758,1454720817,15322
1,1572864,500000000,0.05,1454357717,1454359013,1454380983,23266
2,1048576,500000000,0.05,1454477151,1454479211,1454504540,27389
2,2097152,200000000,0.05,1454562644,1454563085,1454567796,5152
4,1572864,300000000,0.05,1454883746,1454884557,1454895424,11678
2,1572864,300000000,0.05,1454513366,1454514165,1454523555,10189
3,1048576,400000000,0.5,1455468903,1455477773,1455490455,21552
3,1048576,500000000,0.05,1454658986,1454661067,1454684579,25593
4,2097152,300000000,0.05,1454940170,1454940800,1454949098,8928
2,1572864,200000000,0.05,1454505248,1454505788,1454512562,7314
4,1572864,500000000,0.05,1454914297,1454915672,1454933213,18916
1,2097152,400000000,0.05,1454397168,1454397837,1454408143,10975
2,1048576,400000000,0.05,1454453720,1454455348,1454475929,22209
4,1048576,300000000,0.05,1454800386,1454801621,1454816240,15854
4,1572864,400000000,0.5,1455720313,1455726284,1455734557,14244
2,1048576,200000000,0.5,1455262348,1455266602,1455273860,11512
2,1572864,400000000,0.5,1455365124,1455370878,1455380059,14935
2,1048576,500000000,0.5,1455316476,1455327540,1455344469,27993
3,2097152,500000000,0.05,1454771713,1454772897,1454787098,15385
4,2097152,200000000,0.5,1455756937,1455763605,1455769198,12261
3,1572864,300000000,0.05,1454693097,1454693902,1454704265,11168
4,1048576,500000000,0.5,1455671392,1455682610,1455698857,27465
1,1572864,300000000,0.5,1455170796,1455175082,1455182911,12115
2,1048576,300000000,0.5,1455274683,1455281141,1455291438,16755
1,2097152,500000000,0.5,1455245964,1455251274,1455261629,15665
1,2097152,200000000,0.05,1454381540,1454381942,1454387574,6034
2,2097152,200000000,0.5,1455399645,1455401776,1455405036,5391
4,1572864,200000000,0.5,1455699823,1455702698,1455706536,6713
2,2097152,500000000,0.05,1454590716,1454591719,1454604604,13888
1,1048576,300000000,0.05,1454249735,1454250949,1454266997,17262
2,1048576,400000000,0.5,1455292401,1455302392,1455315342,22941
3,2097152,200000000,0.05,1454741747,1454742209,1454747642,5895
1,1048576,400000000,0.05,1454267714,1454268976,1454289810,22096
1,1048576,500000000,0.5,1455134136,1455145282,1455161612,27476
4,1048576,400000000,0.05,1454817815,1454819460,1454840104,22289
2,1572864,500000000,0.05,1454540696,1454542343,1454561974,21278
4,1048576,300000000,0.5,1455630736,1455637406,1455647296,16560
2,1572864,400000000,0.05,1454524526,1454525767,1454539593,15067
1,1048576,200000000,0.05,1454235175,1454235959,1454249135,13960
1,1572864,500000000,0.5,1455198994,1455206103,1455217551,18557
2,1572864,200000000,0.5,1455345206,1455348065,1455352436,7230
4,1572864,300000000,0.5,1455707721,1455712484,1455718773,11052
3,2097152,200000000,0.5,1455577141,1455579277,1455582052,4911
4,2097152,400000000,0.5,1455789243,1455794066,1455801370,12127
1,2097152,200000000,0.5,1455218092,1455220224,1455223940,5848
4,2097152,400000000,0.05,1454950390,1454951403,1454962309,11919
2,2097152,400000000,0.05,1454578025,1454578829,1454589633,11608
2,1572864,500000000,0.5,1455381209,1455388484,1455398961,17752
1,1572864,200000000,0.05,1454321616,1454322160,1454329689,8073
3,1572864,200000000,0.5,1455517970,1455520817,1455525562,7592
replication,blocksize,dimension,start_reduce_percentage,start_time,start_reduce,end_time,total_time
