"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/1_1048576_300000000.csv",,,,"Date:","31 Jan 2016 15:14:48 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
3.850,0.266,95.665,0.204,0.000,0.016,240125.608,561589.566,0.0,0.0,345.913,495.260,419.532,755.804,1454249688.848
0.749,0.0,99.251,0.0,0.0,0.0,0.0,0.0,11946.0,17362.0,0.0,0.0,568.0,1030.0,1454249689.849
0.125,0.0,97.250,2.625,0.0,0.0,0.0,126976.0,2135.0,563.0,0.0,0.0,507.0,928.0,1454249690.849
0.125,0.249,99.626,0.0,0.0,0.0,0.0,0.0,1574.0,451.0,0.0,0.0,471.0,909.0,1454249691.849
0.125,0.0,99.750,0.125,0.0,0.0,0.0,401408.0,1081.0,339.0,0.0,0.0,644.0,965.0,1454249692.849
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,2135.0,563.0,0.0,0.0,491.0,917.0,1454249693.849
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,1638.0,451.0,0.0,0.0,473.0,898.0,1454249694.849
0.125,0.0,98.0,1.875,0.0,0.0,0.0,106496.0,1209.0,339.0,0.0,0.0,514.0,966.0,1454249695.849
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,2455.0,563.0,0.0,0.0,511.0,939.0,1454249696.849
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1830.0,451.0,0.0,0.0,490.0,925.0,1454249697.849
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1465.0,339.0,0.0,0.0,483.0,923.0,1454249698.849
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2391.0,563.0,0.0,0.0,517.0,946.0,1454249699.849
0.249,0.249,99.253,0.249,0.0,0.0,0.0,24576.0,1830.0,451.0,0.0,0.0,473.0,910.0,1454249700.849
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1081.0,339.0,0.0,0.0,506.0,954.0,1454249701.849
0.249,0.249,99.501,0.0,0.0,0.0,0.0,0.0,2327.0,563.0,0.0,0.0,614.0,1122.0,1454249702.849
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1702.0,451.0,0.0,0.0,702.0,1290.0,1454249703.849
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1017.0,339.0,0.0,0.0,679.0,1270.0,1454249704.849
0.125,0.249,99.002,0.623,0.0,0.0,0.0,28672.0,2263.0,563.0,0.0,0.0,657.0,1180.0,1454249705.849
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1638.0,451.0,0.0,0.0,606.0,1131.0,1454249706.849
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1145.0,339.0,0.0,0.0,663.0,1201.0,1454249707.849
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,2199.0,563.0,0.0,0.0,712.0,1267.0,1454249708.849
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1638.0,451.0,0.0,0.0,662.0,1226.0,1454249709.849
0.125,0.0,98.625,1.250,0.0,0.0,0.0,24576.0,1081.0,339.0,0.0,0.0,592.0,1120.0,1454249710.849
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2199.0,563.0,0.0,0.0,633.0,1114.0,1454249711.849
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1702.0,451.0,0.0,0.0,686.0,1244.0,1454249712.849
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1081.0,339.0,0.0,0.0,669.0,1221.0,1454249713.849
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2199.0,563.0,0.0,0.0,706.0,1260.0,1454249714.849
0.125,0.125,99.124,0.626,0.0,0.0,0.0,24576.0,1766.0,451.0,0.0,0.0,686.0,1244.0,1454249715.849
0.249,0.0,99.751,0.0,0.0,0.0,0.0,0.0,1209.0,339.0,0.0,0.0,633.0,1150.0,1454249716.849
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2391.0,563.0,0.0,0.0,718.0,1279.0,1454249717.849
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1830.0,451.0,0.0,0.0,753.0,1342.0,1454249718.849
12.907,1.629,85.464,0.0,0.0,0.0,0.0,0.0,1273.0,339.0,0.0,0.0,1696.0,2127.0,1454249719.849
24.812,0.501,73.810,0.877,0.0,0.0,0.0,176128.0,2531.0,863.0,0.0,0.0,1862.0,1659.0,1454249720.849
21.500,1.0,77.500,0.0,0.0,0.0,0.0,0.0,2155.0,697.0,0.0,0.0,1746.0,1607.0,1454249721.849
27.170,0.377,72.201,0.126,0.0,0.126,0.0,761856.0,1081.0,339.0,0.0,0.0,1908.0,2064.0,1454249722.849
34.728,2.662,61.724,0.507,0.0,0.380,0.0,520192.0,2415.0,1345.0,0.0,0.0,6855.0,7498.0,1454249723.849
12.625,0.375,84.0,3.0,0.0,0.0,0.0,45056.0,0.0,0.0,0.0,0.0,1796.0,2366.0,1454249724.849
18.970,1.131,75.628,4.146,0.0,0.126,0.0,237568.0,6697761.0,5401415.0,0.0,0.0,2907.0,3215.0,1454249725.849
4.239,0.249,95.387,0.0,0.0,0.125,0.0,0.0,8625.0,254619.0,0.0,0.0,1425.0,2081.0,1454249726.849
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,10450.0,301381.0,0.0,0.0,781.0,1366.0,1454249727.849
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1564.0,823.0,0.0,0.0,697.0,1297.0,1454249728.849
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,2364.0,563.0,0.0,0.0,762.0,1357.0,1454249729.849
0.125,0.0,98.248,1.627,0.0,0.0,0.0,69632.0,4108.0,1913.0,0.0,0.0,654.0,1178.0,1454249730.849
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,2140.0,2215.0,0.0,0.0,574.0,1077.0,1454249731.849
0.375,0.0,98.500,1.125,0.0,0.0,0.0,5672960.0,2172.0,563.0,0.0,0.0,741.0,1152.0,1454249732.849
0.878,0.0,97.742,1.380,0.0,0.0,0.0,16384.0,1675.0,451.0,0.0,0.0,597.0,1049.0,1454249733.849
0.374,0.125,99.252,0.249,0.0,0.0,0.0,8192.0,5319.0,2724.0,0.0,0.0,596.0,1058.0,1454249734.849
0.749,0.0,99.001,0.250,0.0,0.0,0.0,106496.0,3088.0,937.0,0.0,0.0,587.0,1058.0,1454249735.849
0.374,0.125,99.501,0.0,0.0,0.0,0.0,0.0,3519.0,2269.0,0.0,0.0,579.0,1027.0,1454249736.849
0.125,0.125,99.625,0.125,0.0,0.0,0.0,4096.0,2756.0,1325.0,0.0,0.0,541.0,994.0,1454249737.849
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,4543.0,1888.0,0.0,0.0,567.0,1020.0,1454249738.849
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,3385.0,1297.0,0.0,0.0,550.0,1030.0,1454249739.849
41.288,7.576,50.884,0.253,0.0,0.0,0.0,36864.0,14984.0,20576.0,0.0,0.0,5301.0,7096.0,1454249740.849
95.250,4.625,0.0,0.0,0.0,0.125,0.0,0.0,26784.0,12415.0,0.0,0.0,2688.0,3045.0,1454249741.849
96.500,3.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,2662.0,3174.0,1454249742.849
95.0,4.875,0.0,0.0,0.0,0.125,0.0,0.0,9669.0,98768.0,0.0,0.0,2682.0,2793.0,1454249743.849
94.981,4.893,0.125,0.0,0.0,0.0,0.0,0.0,6732.0,3258.0,0.0,0.0,2892.0,2864.0,1454249744.849
95.489,4.135,0.376,0.0,0.0,0.0,0.0,409600.0,11307.0,11023.0,0.0,0.0,3027.0,3092.0,1454249745.849
97.753,2.247,0.0,0.0,0.0,0.0,0.0,0.0,3464.0,1262.0,0.0,0.0,2879.0,5550.0,1454249746.849
98.125,1.625,0.0,0.0,0.0,0.250,0.0,1032192.0,4251.0,1416.0,0.0,0.0,3322.0,5413.0,1454249747.849
94.0,5.500,0.125,0.0,0.0,0.375,0.0,1400832.0,24746.0,687744.0,0.0,0.0,3528.0,4009.0,1454249748.849
86.466,12.657,0.501,0.0,0.0,0.376,0.0,4096.0,25466.0,1191000.0,0.0,0.0,3741.0,4666.0,1454249749.849
98.752,1.124,0.0,0.0,0.0,0.125,0.0,245760.0,22891.0,675103.0,0.0,0.0,3266.0,3696.0,1454249750.849
65.157,5.660,29.057,0.0,0.0,0.126,0.0,0.0,16121.0,7171.0,0.0,0.0,4921.0,10022.0,1454249751.849
14.196,4.271,81.533,0.0,0.0,0.0,0.0,0.0,19672.0,18866.0,0.0,0.0,2208.0,2525.0,1454249752.849
51.321,4.780,43.899,0.0,0.0,0.0,0.0,0.0,4446.0,1295.0,0.0,0.0,3028.0,3203.0,1454249753.849
93.867,5.882,0.125,0.0,0.0,0.125,0.0,0.0,27069.0,12835.0,0.0,0.0,3264.0,2913.0,1454249754.849
95.875,4.125,0.0,0.0,0.0,0.0,0.0,434176.0,4224.0,2563.0,0.0,0.0,3086.0,2925.0,1454249755.849
96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4306.0,1000.0,0.0,0.0,3140.0,2707.0,1454249756.849
95.250,4.625,0.125,0.0,0.0,0.0,0.0,0.0,6280.0,2780.0,0.0,0.0,3538.0,2641.0,1454249757.849
96.0,3.875,0.125,0.0,0.0,0.0,0.0,0.0,9659.0,8920.0,0.0,0.0,3231.0,3772.0,1454249758.849
95.890,3.985,0.0,0.0,0.0,0.125,0.0,0.0,5488.0,2704.0,0.0,0.0,3008.0,3702.0,1454249759.853
96.863,3.011,0.0,0.0,0.0,0.125,0.0,139264.0,17425.0,521199.0,0.0,0.0,3192.0,8756.0,1454249760.849
93.609,5.764,0.251,0.0,0.0,0.376,0.0,0.0,13941.0,672066.0,0.0,0.0,3510.0,4875.0,1454249761.849
85.445,12.171,2.258,0.0,0.0,0.125,0.0,364544.0,29975.0,859395.0,0.0,0.0,3823.0,4166.0,1454249762.849
98.498,1.377,0.0,0.0,0.0,0.125,0.0,11771904.0,14815.0,506161.0,0.0,0.0,3237.0,5446.0,1454249763.849
63.191,6.407,30.151,0.0,0.0,0.251,0.0,0.0,20016.0,15036.0,0.0,0.0,4921.0,10436.0,1454249764.849
23.875,1.875,72.625,1.625,0.0,0.0,0.0,335872.0,11778.0,8081.0,0.0,0.0,1596.0,1676.0,1454249765.849
59.925,4.774,35.302,0.0,0.0,0.0,0.0,0.0,4871.0,7612.0,0.0,0.0,2910.0,3558.0,1454249766.849
95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,25913.0,7210.0,0.0,0.0,2655.0,3482.0,1454249767.849
95.995,4.005,0.0,0.0,0.0,0.0,0.0,0.0,4446.0,1570.0,0.0,0.0,2694.0,3211.0,1454249768.849
95.381,4.494,0.0,0.0,0.0,0.125,0.0,0.0,3995.0,1793.0,0.0,0.0,2776.0,2788.0,1454249769.849
93.617,5.507,0.751,0.0,0.0,0.125,0.0,352256.0,5098.0,2725.0,0.0,0.0,3617.0,5030.0,1454249770.853
95.226,4.774,0.0,0.0,0.0,0.0,0.0,0.0,13216.0,11944.0,0.0,0.0,3294.0,3064.0,1454249771.849
96.750,3.125,0.0,0.0,0.0,0.125,0.0,0.0,19061.0,354753.0,0.0,0.0,3499.0,5920.0,1454249772.849
96.500,3.375,0.125,0.0,0.0,0.0,0.0,0.0,13775.0,836843.0,0.0,0.0,2954.0,4933.0,1454249773.849
92.982,6.516,0.251,0.0,0.0,0.251,0.0,0.0,12967.0,3695.0,0.0,0.0,3587.0,4296.0,1454249774.849
90.727,9.023,0.125,0.0,0.0,0.125,0.0,225280.0,22216.0,699699.0,0.0,0.0,3369.0,3689.0,1454249775.849
97.250,2.500,0.125,0.0,0.0,0.125,0.0,0.0,11354.0,666441.0,0.0,0.0,3493.0,5925.0,1454249776.849
12.469,5.038,82.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.0,5325.0,1454249777.849
57.697,6.258,36.045,0.0,0.0,0.0,0.0,0.0,44127.0,25500.0,0.0,0.0,3567.0,4314.0,1454249778.849
95.620,4.380,0.0,0.0,0.0,0.0,0.0,0.0,12688.0,6593.0,0.0,0.0,2905.0,2718.0,1454249779.849
96.871,3.129,0.0,0.0,0.0,0.0,0.0,389120.0,4000.0,1378.0,0.0,0.0,3059.0,3340.0,1454249780.849
95.885,3.990,0.0,0.0,0.0,0.125,0.0,0.0,4428.0,1919.0,0.0,0.0,3502.0,2712.0,1454249781.849
93.116,6.633,0.250,0.0,0.0,0.0,0.0,0.0,5209.0,2563.0,0.0,0.0,3568.0,3134.0,1454249782.849
95.625,4.125,0.0,0.125,0.0,0.125,0.0,8646656.0,11566.0,10503.0,0.0,0.0,3418.0,3208.0,1454249783.849
98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3302.0,1680.0,0.0,0.0,3036.0,5556.0,1454249784.849
95.369,4.506,0.0,0.0,0.0,0.125,0.0,229376.0,5533.0,9071.0,0.0,0.0,3639.0,6647.0,1454249785.849
89.724,8.145,1.880,0.0,0.0,0.251,0.0,0.0,25995.0,1185816.0,0.0,0.0,3565.0,4323.0,1454249786.849
91.615,7.885,0.250,0.0,0.0,0.250,0.0,0.0,12360.0,339333.0,0.0,0.0,3308.0,4330.0,1454249787.849
97.378,2.247,0.0,0.0,0.0,0.375,0.0,9719808.0,30223.0,860723.0,0.0,0.0,3630.0,7563.0,1454249788.849
42.053,6.508,51.314,0.0,0.0,0.125,0.0,0.0,24860.0,197794.0,0.0,0.0,5291.0,6759.0,1454249789.849
47.870,1.754,48.120,2.256,0.0,0.0,0.0,290816.0,18552.0,175090.0,0.0,0.0,2956.0,2243.0,1454249790.849
76.161,6.524,17.064,0.0,0.0,0.251,0.0,0.0,37197.0,842833.0,0.0,0.0,3678.0,3806.0,1454249791.849
94.743,5.131,0.125,0.0,0.0,0.0,0.0,0.0,8744.0,333783.0,0.0,0.0,3182.0,2727.0,1454249792.849
96.750,3.250,0.0,0.0,0.0,0.0,0.0,0.0,4645.0,2603.0,0.0,0.0,3079.0,2731.0,1454249793.849
95.250,4.750,0.0,0.0,0.0,0.0,0.0,0.0,5336.0,2570.0,0.0,0.0,3455.0,4300.0,1454249794.849
93.375,6.0,0.375,0.0,0.0,0.250,0.0,352256.0,7856.0,4669.0,0.0,0.0,3483.0,3160.0,1454249795.849
96.245,3.755,0.0,0.0,0.0,0.0,0.0,0.0,18837.0,22742.0,0.0,0.0,3789.0,4013.0,1454249796.849
96.125,3.875,0.0,0.0,0.0,0.0,0.0,0.0,26076.0,1182664.0,0.0,0.0,3217.0,7686.0,1454249797.849
96.380,3.371,0.0,0.0,0.0,0.250,0.0,0.0,13383.0,336822.0,0.0,0.0,3081.0,3530.0,1454249798.849
88.428,10.189,1.006,0.0,0.0,0.377,0.0,0.0,12565.0,8845.0,0.0,0.0,3459.0,5145.0,1454249799.849
95.739,3.008,1.128,0.0,0.0,0.125,0.0,253952.0,24556.0,1021658.0,0.0,0.0,3356.0,3066.0,1454249800.849
75.625,6.0,18.250,0.0,0.0,0.125,0.0,0.0,12987.0,8298.0,0.0,0.0,5425.0,11447.0,1454249801.849
67.884,5.542,26.574,0.0,0.0,0.0,0.0,0.0,21079.0,15203.0,0.0,0.0,3876.0,2986.0,1454249802.849
80.726,6.758,12.390,0.0,0.0,0.125,0.0,0.0,15578.0,8234.0,0.0,0.0,4015.0,3710.0,1454249803.849
96.750,3.250,0.0,0.0,0.0,0.0,0.0,0.0,11557.0,4039.0,0.0,0.0,2729.0,2885.0,1454249804.849
