"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_2500000000_0.35_24_150_teratest_085a519c-7849-4d5f-a6d5-e639c48018ea.csv",,,,"Date:","01 May 2016 16:27:13 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.675,1.213,79.572,2.401,0.000,0.139,1643294.155,5287428.450,0.0,0.0,2488.840,2329.474,1833.497,2131.143,1462112833.516
1.245,0.249,98.257,0.249,0.0,0.0,0.0,57344.0,11885.0,17863.0,0.0,0.0,618.0,1071.0,1462112834.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,2204.0,570.0,0.0,0.0,433.0,900.0,1462112835.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1708.0,866.0,0.0,0.0,401.0,856.0,1462112836.517
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1084.0,342.0,0.0,0.0,386.0,835.0,1462112837.517
0.0,0.0,99.875,0.125,0.0,0.0,12288.0,0.0,2268.0,570.0,12288.0,0.0,447.0,901.0,1462112838.517
0.0,0.0,99.749,0.251,0.0,0.0,0.0,45056.0,1836.0,456.0,0.0,0.0,385.0,829.0,1462112839.517
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,426.0,901.0,1462112840.516
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,411.0,848.0,1462112841.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1772.0,456.0,0.0,0.0,391.0,827.0,1462112842.517
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1212.0,342.0,0.0,0.0,394.0,833.0,1462112843.517
0.0,0.0,99.374,0.626,0.0,0.0,0.0,28672.0,2268.0,916.0,0.0,0.0,424.0,876.0,1462112844.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,1644.0,456.0,0.0,0.0,391.0,827.0,1462112845.517
0.0,0.125,99.875,0.0,0.0,0.0,0.0,4096.0,1212.0,342.0,0.0,0.0,367.0,811.0,1462112846.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2268.0,570.0,0.0,0.0,401.0,848.0,1462112847.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1772.0,456.0,0.0,0.0,375.0,821.0,1462112848.517
0.0,0.125,99.374,0.501,0.0,0.0,0.0,20480.0,1148.0,406.0,0.0,0.0,380.0,834.0,1462112849.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2460.0,634.0,0.0,0.0,423.0,869.0,1462112850.517
0.125,0.0,99.250,0.625,0.0,0.0,65536.0,73728.0,1708.0,520.0,65536.0,0.0,459.0,908.0,1462112851.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1148.0,342.0,0.0,0.0,387.0,845.0,1462112852.517
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2332.0,570.0,0.0,0.0,399.0,842.0,1462112853.517
0.0,0.0,99.625,0.375,0.0,0.0,0.0,45056.0,1644.0,456.0,0.0,0.0,383.0,828.0,1462112854.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1340.0,752.0,0.0,0.0,383.0,844.0,1462112855.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,2268.0,570.0,0.0,0.0,415.0,857.0,1462112856.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,379.0,839.0,1462112857.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,368.0,822.0,1462112858.517
0.0,0.125,99.499,0.375,0.0,0.0,0.0,40960.0,2204.0,570.0,0.0,0.0,404.0,866.0,1462112859.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,396.0,871.0,1462112860.517
0.125,0.0,99.875,0.0,0.0,0.0,0.0,151552.0,1148.0,342.0,0.0,0.0,447.0,834.0,1462112861.517
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2362.0,664.0,0.0,0.0,410.0,876.0,1462112862.517
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,380.0,826.0,1462112863.517
10.526,1.128,87.845,0.501,0.0,0.0,4096.0,73728.0,1148.0,342.0,0.0,0.0,1691.0,1656.0,1462112864.517
21.571,0.873,77.556,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,1397.0,1278.0,1462112865.517
23.720,1.748,74.532,0.0,0.0,0.0,0.0,16384.0,2033.0,702.0,0.0,0.0,1480.0,1264.0,1462112866.517
5.270,0.627,94.103,0.0,0.0,0.0,0.0,0.0,1084.0,342.0,0.0,0.0,795.0,1316.0,1462112867.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2140.0,570.0,0.0,0.0,444.0,914.0,1462112868.517
0.0,0.0,99.374,0.626,0.0,0.0,0.0,143360.0,1644.0,802.0,0.0,0.0,414.0,881.0,1462112869.517
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,425.0,898.0,1462112870.517
0.0,0.0,99.750,0.250,0.0,0.0,0.0,266240.0,2140.0,570.0,0.0,0.0,517.0,880.0,1462112871.517
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1772.0,456.0,0.0,0.0,418.0,885.0,1462112872.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,403.0,870.0,1462112873.517
0.0,0.0,99.499,0.501,0.0,0.0,0.0,69632.0,2140.0,570.0,0.0,0.0,443.0,895.0,1462112874.517
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,397.0,857.0,1462112875.516
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,408.0,879.0,1462112876.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2140.0,570.0,0.0,0.0,425.0,874.0,1462112877.517
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,399.0,856.0,1462112878.517
0.0,0.0,99.625,0.375,0.0,0.0,0.0,20480.0,1084.0,342.0,0.0,0.0,391.0,839.0,1462112879.517
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,449.0,913.0,1462112880.517
0.125,0.0,99.875,0.0,0.0,0.0,0.0,126976.0,1708.0,456.0,0.0,0.0,449.0,837.0,1462112881.516
0.0,0.0,100.0,0.0,0.0,0.0,32768.0,0.0,1148.0,688.0,32768.0,0.0,414.0,874.0,1462112882.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2268.0,570.0,0.0,0.0,422.0,864.0,1462112883.517
0.125,0.125,99.127,0.623,0.0,0.0,0.0,114688.0,1772.0,456.0,0.0,0.0,416.0,865.0,1462112884.517
0.0,0.0,99.749,0.251,0.0,0.0,65536.0,0.0,1148.0,342.0,65536.0,0.0,443.0,923.0,1462112885.517
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2268.0,570.0,0.0,0.0,431.0,887.0,1462112886.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1644.0,520.0,0.0,0.0,418.0,870.0,1462112887.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1084.0,406.0,0.0,0.0,421.0,882.0,1462112888.517
0.125,0.125,99.001,0.749,0.0,0.0,0.0,24576.0,2204.0,634.0,0.0,0.0,440.0,871.0,1462112889.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,409.0,865.0,1462112890.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1148.0,342.0,0.0,0.0,393.0,831.0,1462112891.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2332.0,570.0,0.0,0.0,443.0,902.0,1462112892.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,403.0,852.0,1462112893.517
