"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_300000000_0.35_24_150_teratest_95872c47-6d79-46f0-bf66-c869aa8a6a73.csv",,,,"Date:","09 May 2016 17:42:18 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.990,1.186,80.078,2.608,0.000,0.138,1746118.922,5431834.454,0.0,0.0,2805.361,2717.665,1823.738,2123.323,1462808538.372
1.122,0.249,98.504,0.125,0.0,0.0,32768.0,0.0,12050.0,17484.0,0.0,0.0,651.0,1081.0,1462808539.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,485.0,926.0,1462808540.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,90112.0,2169.0,565.0,0.0,0.0,471.0,905.0,1462808541.373
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1115.0,339.0,0.0,0.0,480.0,914.0,1462808542.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,494.0,935.0,1462808543.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2169.0,565.0,0.0,0.0,477.0,923.0,1462808544.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,478.0,909.0,1462808545.373
0.125,0.0,99.375,0.500,0.0,0.0,0.0,16384.0,1546.0,452.0,0.0,0.0,492.0,919.0,1462808546.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,1794048.0,2105.0,565.0,0.0,0.0,486.0,908.0,1462808547.373
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1179.0,339.0,0.0,0.0,476.0,916.0,1462808548.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1738.0,452.0,0.0,0.0,482.0,913.0,1462808549.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2455.0,659.0,0.0,0.0,466.0,899.0,1462808550.373
0.0,0.0,99.624,0.376,0.0,0.0,0.0,40960.0,1307.0,339.0,0.0,0.0,472.0,905.0,1462808551.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,1738.0,452.0,0.0,0.0,495.0,933.0,1462808552.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2361.0,565.0,0.0,0.0,481.0,917.0,1462808553.373
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1115.0,339.0,0.0,0.0,491.0,921.0,1462808554.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1674.0,516.0,0.0,0.0,487.0,916.0,1462808555.373
0.0,0.0,99.375,0.625,0.0,0.0,0.0,20480.0,2169.0,629.0,0.0,0.0,497.0,947.0,1462808556.373
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1051.0,403.0,0.0,0.0,495.0,926.0,1462808557.373
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,488.0,918.0,1462808558.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2169.0,565.0,0.0,0.0,464.0,897.0,1462808559.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,482.0,928.0,1462808560.373
0.125,0.0,99.500,0.375,0.0,0.0,0.0,16384.0,1610.0,452.0,0.0,0.0,496.0,927.0,1462808561.373
0.0,0.125,99.875,0.0,0.0,0.0,0.0,77824.0,2233.0,565.0,0.0,0.0,508.0,918.0,1462808562.373
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,550.0,1021.0,1462808563.373
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,507.0,945.0,1462808564.373
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2105.0,565.0,0.0,0.0,499.0,938.0,1462808565.373
0.0,0.0,99.499,0.501,0.0,0.0,0.0,45056.0,1051.0,339.0,0.0,0.0,486.0,918.0,1462808566.373
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,492.0,922.0,1462808567.373
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2169.0,565.0,0.0,0.0,499.0,962.0,1462808568.373
10.790,1.129,87.704,0.376,0.0,0.0,12288.0,0.0,1179.0,339.0,0.0,0.0,1851.0,1760.0,1462808569.373
22.070,0.873,77.057,0.0,0.0,0.0,0.0,0.0,2070.0,816.0,0.0,0.0,1777.0,1361.0,1462808570.373
23.338,1.255,75.282,0.125,0.0,0.0,0.0,172032.0,2878.0,811.0,0.0,0.0,2057.0,1367.0,1462808571.373
31.322,1.027,67.394,0.128,0.0,0.128,0.0,1269760.0,1739.0,1667.0,0.0,0.0,5968.0,6939.0,1462808572.373
14.931,0.627,82.560,1.757,0.0,0.125,0.0,61440.0,8712513.0,50413.0,0.0,0.0,2061.0,2354.0,1462808573.373
13.983,0.999,82.397,2.497,0.0,0.125,16384.0,40960.0,14049.0,444473.0,0.0,0.0,2402.0,2952.0,1462808574.373
14.286,1.754,82.707,1.253,0.0,0.0,512000.0,0.0,2019.0,1979.0,32768.0,0.0,2379.0,2799.0,1462808575.373
27.466,1.373,70.662,0.499,0.0,0.0,28672.0,0.0,1674.0,452.0,0.0,0.0,2010.0,1555.0,1462808576.373
19.101,1.248,78.402,1.248,0.0,0.0,376832.0,675840.0,2914.0,1231.0,0.0,0.0,1342.0,1494.0,1462808577.373
16.541,0.877,80.952,1.629,0.0,0.0,1478656.0,0.0,3205.0,290311.0,0.0,0.0,1470.0,1912.0,1462808578.373
11.514,0.501,84.606,3.379,0.0,0.0,1978368.0,0.0,1610.0,452.0,0.0,0.0,1318.0,1717.0,1462808579.373
18.687,0.126,78.788,2.399,0.0,0.0,917504.0,0.0,2525.0,985.0,0.0,0.0,2475.0,2908.0,1462808580.373
19.850,0.624,77.403,2.122,0.0,0.0,172032.0,28672.0,987.0,339.0,0.0,0.0,2370.0,2673.0,1462808581.373
1.506,0.0,98.243,0.251,0.0,0.0,28672.0,126976.0,1610.0,452.0,0.0,0.0,693.0,1244.0,1462808582.373
