"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_300000000_0.35_6_150_teratest_590fdfff-d47a-4f25-ad01-897548996081.csv",,,,"Date:","09 May 2016 18:22:46 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.993,1.187,80.073,2.609,0.000,0.138,1746377.319,5437820.880,0.0,0.0,2805.440,2719.749,1824.537,2124.016,1462810966.082
0.999,0.250,98.752,0.0,0.0,0.0,0.0,0.0,11916.0,17624.0,0.0,0.0,718.0,1157.0,1462810967.083
0.125,0.0,97.118,2.757,0.0,0.0,0.0,208896.0,2169.0,565.0,0.0,0.0,496.0,931.0,1462810968.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1738.0,452.0,0.0,0.0,489.0,918.0,1462810969.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1179.0,339.0,0.0,0.0,457.0,879.0,1462810970.083
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2361.0,565.0,0.0,0.0,488.0,914.0,1462810971.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,486.0,924.0,1462810972.083
0.0,0.0,98.622,1.378,0.0,0.0,0.0,16384.0,1051.0,339.0,0.0,0.0,468.0,902.0,1462810973.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,774144.0,2105.0,565.0,0.0,0.0,501.0,923.0,1462810974.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,495.0,936.0,1462810975.083
0.125,0.125,99.500,0.250,0.0,0.0,12288.0,0.0,1115.0,339.0,0.0,0.0,493.0,937.0,1462810976.083
0.125,0.0,98.875,1.0,0.0,0.0,61440.0,0.0,2297.0,565.0,0.0,0.0,527.0,971.0,1462810977.083
0.0,0.0,97.747,2.253,0.0,0.0,0.0,208896.0,1674.0,452.0,0.0,0.0,502.0,944.0,1462810978.083
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,471.0,900.0,1462810979.083
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2169.0,565.0,0.0,0.0,483.0,915.0,1462810980.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,484.0,908.0,1462810981.083
