"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_400000000_0.35_24_100_teratest_bc495bea-c542-4e58-9b49-e2cf6b1190fe.csv",,,,"Date:","09 May 2016 15:20:39 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.986,1.184,80.097,2.595,0.000,0.137,1741797.873,5408315.765,0.0,0.0,2803.914,2699.100,1820.111,2119.773,1462800039.953
0.125,0.0,99.750,0.125,0.0,0.0,32768.0,33996800.0,3554.0,4262.0,0.0,0.0,587.0,912.0,1462800040.954
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2233.0,565.0,0.0,0.0,509.0,948.0,1462800041.954
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,500.0,956.0,1462800042.954
0.125,0.0,97.872,2.003,0.0,0.0,0.0,1892352.0,1546.0,452.0,0.0,0.0,504.0,952.0,1462800043.954
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2169.0,565.0,0.0,0.0,507.0,954.0,1462800044.954
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,458.0,897.0,1462800045.954
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1738.0,452.0,0.0,0.0,486.0,930.0,1462800046.954
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2361.0,565.0,0.0,0.0,498.0,942.0,1462800047.954
0.0,0.0,96.996,3.004,0.0,0.0,0.0,40960.0,1371.0,339.0,0.0,0.0,494.0,938.0,1462800048.954
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1802.0,452.0,0.0,0.0,485.0,925.0,1462800049.954
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2361.0,565.0,0.0,0.0,494.0,933.0,1462800050.954
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,480.0,929.0,1462800051.954
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,484.0,941.0,1462800052.954
