"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_800000000_0.35_6_100_teratest_bed8bca4-68b7-46d5-b661-60e1442bf1a5.csv",,,,"Date:","03 May 2016 23:28:43 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.527,1.213,79.605,2.515,0.000,0.140,1717293.271,5403878.126,0.0,0.0,2663.721,2547.048,1843.984,2139.306,1462310923.878
0.751,0.0,98.498,0.751,0.0,0.0,0.0,0.0,6605.0,7417.0,0.0,0.0,536.0,934.0,1462310924.879
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,5287.0,6535.0,0.0,0.0,527.0,981.0,1462310925.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,431.0,881.0,1462310926.879
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,2396.0,570.0,0.0,0.0,473.0,915.0,1462310927.879
0.0,0.0,97.747,2.253,0.0,0.0,0.0,36864.0,1212.0,342.0,0.0,0.0,460.0,938.0,1462310928.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,428.0,872.0,1462310929.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,456.0,921.0,1462310930.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1148.0,342.0,0.0,0.0,452.0,908.0,1462310931.879
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,437.0,883.0,1462310932.879
0.125,0.0,99.375,0.500,0.0,0.0,0.0,20480.0,2204.0,570.0,0.0,0.0,454.0,916.0,1462310933.879
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,451.0,927.0,1462310934.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,440.0,890.0,1462310935.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2396.0,570.0,0.0,0.0,446.0,907.0,1462310936.879
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1276.0,342.0,0.0,0.0,464.0,920.0,1462310937.879
0.0,0.0,99.499,0.501,0.0,0.0,0.0,20480.0,1772.0,456.0,0.0,0.0,445.0,900.0,1462310938.879
0.0,0.0,99.875,0.125,0.0,0.0,0.0,282624.0,2332.0,570.0,0.0,0.0,547.0,928.0,1462310939.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1148.0,342.0,0.0,0.0,458.0,931.0,1462310940.879
0.376,0.0,99.499,0.125,0.0,0.0,4096.0,0.0,1708.0,456.0,4096.0,0.0,475.0,933.0,1462310941.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2140.0,570.0,0.0,0.0,438.0,890.0,1462310942.879
0.0,0.125,99.375,0.500,0.0,0.0,0.0,32768.0,1084.0,342.0,0.0,0.0,492.0,975.0,1462310943.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,440.0,902.0,1462310944.879
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2268.0,570.0,0.0,0.0,443.0,894.0,1462310945.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1148.0,342.0,0.0,0.0,439.0,888.0,1462310946.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,444.0,902.0,1462310947.879
0.125,0.125,99.377,0.374,0.0,0.0,0.0,20480.0,2204.0,570.0,0.0,0.0,455.0,917.0,1462310948.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,32768.0,1148.0,342.0,0.0,0.0,522.0,1015.0,1462310949.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,439.0,908.0,1462310950.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,451.0,904.0,1462310951.879
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1084.0,342.0,0.0,0.0,458.0,918.0,1462310952.879
0.0,0.0,99.875,0.125,0.0,0.0,0.0,53248.0,1961.0,456.0,0.0,0.0,434.0,881.0,1462310953.879
0.125,0.0,99.875,0.0,0.0,0.0,0.0,20480.0,2204.0,570.0,0.0,0.0,421.0,857.0,1462310954.879
5.493,0.874,90.762,2.871,0.0,0.0,1085440.0,0.0,1084.0,342.0,0.0,0.0,1405.0,1764.0,1462310955.879
14.875,0.875,82.875,1.375,0.0,0.0,245760.0,0.0,1708.0,456.0,0.0,0.0,1233.0,1312.0,1462310956.879
