"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_800000000_0.35_6_150_teratest_7ab5589e-dd7c-4f60-b48a-ed55887587f1.csv",,,,"Date:","04 May 2016 01:34:51 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.527,1.214,79.568,2.551,0.000,0.140,1730254.324,5425606.970,0.0,0.0,2689.711,2592.844,1846.484,2142.054,1462318491.022
0.748,0.249,98.753,0.249,0.0,0.0,0.0,0.0,6481.0,6549.0,0.0,0.0,629.0,1058.0,1462318492.023
0.501,0.0,99.499,0.0,0.0,0.0,0.0,0.0,5383.0,7509.0,0.0,0.0,549.0,977.0,1462318493.023
0.0,0.125,98.375,1.500,0.0,0.0,0.0,57344.0,2956.0,2046.0,0.0,0.0,496.0,954.0,1462318494.023
0.0,0.0,99.250,0.750,0.0,0.0,0.0,4096.0,1580.0,456.0,0.0,0.0,463.0,908.0,1462318495.023
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1084.0,342.0,0.0,0.0,470.0,914.0,1462318496.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,462.0,900.0,1462318497.023
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,468.0,901.0,1462318498.023
0.0,0.0,99.625,0.375,0.0,0.0,0.0,24576.0,1084.0,342.0,0.0,0.0,467.0,912.0,1462318499.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2140.0,570.0,0.0,0.0,474.0,938.0,1462318500.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,459.0,906.0,1462318501.023
