"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_900000000_0.35_24_100_teratest_54e4b0f7-ca60-46b7-b6c9-6118875e057e.csv",,,,"Date:","03 May 2016 16:32:29 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.517,1.209,79.655,2.481,0.000,0.139,1690645.747,5357498.169,0.0,0.0,2653.061,2444.535,1836.292,2133.337,1462285949.771
0.501,0.0,99.123,0.376,0.0,0.0,0.0,81920.0,5227.0,5679.0,0.0,0.0,521.0,938.0,1462285950.772
0.499,0.250,99.251,0.0,0.0,0.0,0.0,0.0,5365.0,6613.0,0.0,0.0,569.0,986.0,1462285951.772
0.125,0.0,99.875,0.0,0.0,0.0,0.0,94208.0,6119.0,6169.0,0.0,0.0,499.0,903.0,1462285952.772
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,444.0,884.0,1462285953.772
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1020.0,688.0,0.0,0.0,444.0,877.0,1462285954.772
0.0,0.0,99.750,0.250,0.0,0.0,0.0,40960.0,2140.0,570.0,0.0,0.0,470.0,914.0,1462285955.772
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,456.0,896.0,1462285956.772
0.0,0.0,100.0,0.0,0.0,0.0,0.0,32768.0,1084.0,342.0,0.0,0.0,459.0,892.0,1462285957.772
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2268.0,570.0,0.0,0.0,456.0,884.0,1462285958.772
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1708.0,520.0,0.0,0.0,440.0,869.0,1462285959.772
0.250,0.0,99.500,0.250,0.0,0.0,0.0,45056.0,1084.0,406.0,0.0,0.0,465.0,903.0,1462285960.772
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2140.0,634.0,0.0,0.0,460.0,882.0,1462285961.772
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,430.0,859.0,1462285962.772
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1084.0,342.0,0.0,0.0,460.0,890.0,1462285963.772
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2140.0,570.0,0.0,0.0,471.0,902.0,1462285964.772
0.125,0.0,99.625,0.250,0.0,0.0,0.0,24576.0,1708.0,456.0,0.0,0.0,456.0,900.0,1462285965.772
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,456.0,888.0,1462285966.772
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,443.0,879.0,1462285967.772
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,452.0,898.0,1462285968.772
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1084.0,342.0,0.0,0.0,437.0,879.0,1462285969.772
0.125,0.0,99.625,0.250,0.0,0.0,0.0,20480.0,2140.0,570.0,0.0,0.0,455.0,883.0,1462285970.772
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,429.0,874.0,1462285971.772
0.250,0.125,99.625,0.0,0.0,0.0,0.0,16384.0,1020.0,342.0,0.0,0.0,487.0,929.0,1462285972.772
0.250,0.0,99.625,0.125,0.0,0.0,32768.0,0.0,2204.0,570.0,32768.0,0.0,461.0,884.0,1462285973.772
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,424.0,845.0,1462285974.772
0.0,0.125,99.625,0.250,0.0,0.0,0.0,28672.0,1212.0,752.0,0.0,0.0,459.0,903.0,1462285975.772
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,464.0,916.0,1462285976.772
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,1674.0,550.0,0.0,0.0,432.0,862.0,1462285977.772
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,465.0,913.0,1462285978.772
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2140.0,570.0,0.0,0.0,445.0,876.0,1462285979.772
0.0,0.0,99.624,0.376,0.0,0.0,0.0,20480.0,1644.0,456.0,0.0,0.0,448.0,888.0,1462285980.772
0.125,0.749,99.126,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,474.0,901.0,1462285981.772
10.025,1.253,84.461,4.261,0.0,0.0,1654784.0,167936.0,2204.0,570.0,262144.0,0.0,1832.0,1959.0,1462285982.772
19.149,0.751,79.224,0.876,0.0,0.0,40960.0,0.0,1580.0,456.0,0.0,0.0,1368.0,1288.0,1462285983.772
25.657,1.252,72.841,0.250,0.0,0.0,98304.0,0.0,1473.0,588.0,0.0,0.0,1572.0,1531.0,1462285984.772
24.025,0.503,68.050,7.296,0.0,0.126,6660096.0,200704.0,2204.0,570.0,319488.0,0.0,2737.0,4027.0,1462285985.772
21.646,1.139,69.114,7.848,0.0,0.253,34033664.0,8192.0,6878096.0,40321.0,0.0,0.0,5745.0,5567.0,1462285986.772
9.572,0.630,83.501,6.297,0.0,0.0,372736.0,1646592.0,597076.0,4964.0,0.0,0.0,2206.0,2381.0,1462285987.772
12.625,0.500,83.625,3.250,0.0,0.0,1015808.0,16384.0,14545.0,542233.0,606208.0,0.0,2036.0,2627.0,1462285988.772
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,3410.0,4170.0,0.0,0.0,507.0,973.0,1462285989.772
0.125,0.0,99.248,0.627,0.0,0.0,0.0,237568.0,3330.0,3526.0,0.0,0.0,535.0,996.0,1462285990.772
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,5599.0,7011.0,0.0,0.0,516.0,962.0,1462285991.772
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2468.0,2077.0,0.0,0.0,487.0,968.0,1462285992.772
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1378.0,342.0,0.0,0.0,478.0,917.0,1462285993.772
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2912.0,920.0,0.0,0.0,473.0,941.0,1462285994.772
0.873,0.125,98.504,0.499,0.0,0.0,0.0,24576.0,2163.0,604.0,0.0,0.0,553.0,1013.0,1462285995.772
0.125,0.125,99.375,0.375,0.0,0.0,65536.0,0.0,3496.0,1656.0,65536.0,0.0,512.0,986.0,1462285996.772
0.125,0.0,98.874,1.001,0.0,0.0,0.0,458752.0,3162.0,2312.0,0.0,0.0,562.0,913.0,1462285997.772
0.250,0.0,99.125,0.625,0.0,0.0,4096.0,16384.0,1874.0,456.0,0.0,0.0,549.0,1023.0,1462285998.772
0.375,0.0,99.375,0.250,0.0,0.0,0.0,12288.0,4472.0,2784.0,0.0,0.0,592.0,1057.0,1462285999.772
0.500,0.0,98.875,0.625,0.0,0.0,16384.0,86016.0,4276.0,1409.0,0.0,0.0,519.0,1014.0,1462286000.772
2.886,0.0,96.738,0.376,0.0,0.0,126976.0,0.0,4357.0,1955.0,126976.0,0.0,672.0,1409.0,1462286001.772
7.635,1.877,84.481,5.757,0.0,0.250,458752.0,479232.0,28054.0,21006.0,430080.0,0.0,3463.0,4358.0,1462286002.772
80.856,6.801,7.683,4.534,0.0,0.126,380928.0,0.0,15434.0,14713.0,348160.0,0.0,4675.0,5616.0,1462286003.772
95.995,3.880,0.125,0.0,0.0,0.0,12288.0,0.0,3578.0,1315.0,12288.0,0.0,2991.0,2810.0,1462286004.772
96.500,3.500,0.0,0.0,0.0,0.0,0.0,507904.0,2520.0,1087.0,0.0,0.0,2774.0,2660.0,1462286005.772
95.750,4.250,0.0,0.0,0.0,0.0,360448.0,0.0,6736.0,3075.0,282624.0,0.0,3152.0,5464.0,1462286006.772
74.495,4.419,19.444,1.641,0.0,0.0,430080.0,1454080.0,4162.0,1637.0,0.0,0.0,3776.0,3372.0,1462286007.772
93.508,5.368,0.999,0.0,0.0,0.125,32768.0,0.0,12374.0,11945.0,32768.0,0.0,3090.0,3000.0,1462286008.772
97.250,2.750,0.0,0.0,0.0,0.0,0.0,0.0,3526.0,1167.0,0.0,0.0,3128.0,6107.0,1462286009.772
97.375,2.625,0.0,0.0,0.0,0.0,0.0,237568.0,3232.0,718.0,0.0,0.0,2819.0,5190.0,1462286010.772
92.125,7.125,0.250,0.250,0.0,0.250,73728.0,0.0,6521.0,8996.0,0.0,0.0,3141.0,4039.0,1462286011.772
85.678,13.819,0.251,0.0,0.0,0.251,29409280.0,0.0,10311.0,35620.0,0.0,0.0,4067.0,4206.0,1462286012.772
95.143,4.483,0.0,0.0,0.0,0.374,55672832.0,0.0,13275.0,49068.0,0.0,0.0,4657.0,12680.0,1462286013.772
76.136,6.439,5.934,10.101,0.0,1.389,77185024.0,0.0,0.0,0.0,0.0,0.0,6577.0,11061.0,1462286014.773
71.375,2.396,5.675,20.050,0.0,0.504,78794752.0,110592.0,16475.0,55733.0,0.0,0.0,4641.0,3597.0,1462286015.772
67.722,5.949,7.468,18.608,0.0,0.253,77713408.0,0.0,3593.0,1333.0,0.0,0.0,4154.0,2949.0,1462286016.772
78.705,13.699,2.117,4.732,0.0,0.747,86441984.0,290816.0,2580.0,725.0,0.0,0.0,5191.0,4213.0,1462286017.774
88.972,10.276,0.0,0.0,0.0,0.752,62148608.0,7102464.0,4420.0,6248.0,0.0,0.0,5538.0,8004.0,1462286018.772
77.444,2.882,16.917,2.130,0.0,0.627,30269440.0,45486080.0,188359.0,246600.0,0.0,0.0,3849.0,4069.0,1462286019.772
86.500,9.750,3.375,0.0,0.0,0.375,0.0,22708224.0,317292.0,116560.0,0.0,0.0,2750.0,1840.0,1462286020.772
84.750,13.250,0.750,0.625,0.0,0.625,57204736.0,0.0,4211.0,2962.0,0.0,0.0,4428.0,4642.0,1462286021.772
76.256,12.563,5.779,4.774,0.0,0.628,86417408.0,0.0,128856.0,6665.0,0.0,0.0,4987.0,5035.0,1462286022.772
79.950,8.145,11.529,0.376,0.0,0.0,8683520.0,21495808.0,358262.0,7232.0,0.0,0.0,3012.0,2244.0,1462286023.772
85.069,14.429,0.0,0.0,0.0,0.502,32768.0,104869888.0,11432.0,6307.0,28672.0,0.0,3013.0,2327.0,1462286024.772
79.449,19.799,0.376,0.125,0.0,0.251,0.0,95559680.0,4789.0,3764.0,0.0,0.0,2971.0,4808.0,1462286025.772
82.544,17.082,0.125,0.125,0.0,0.125,8192.0,0.0,4091.0,4233.0,0.0,0.0,2707.0,3440.0,1462286026.772
57.789,16.080,25.251,0.754,0.0,0.126,200704.0,0.0,6764.0,4562.0,40960.0,0.0,2706.0,2844.0,1462286027.772
43.719,10.553,45.226,0.503,0.0,0.0,69632.0,0.0,8094.0,5532.0,69632.0,0.0,2293.0,3056.0,1462286028.772
37.641,8.281,54.078,0.0,0.0,0.0,0.0,0.0,12308.0,10732.0,0.0,0.0,1950.0,2573.0,1462286029.772
18.352,5.368,75.655,0.499,0.0,0.125,0.0,217088.0,8594.0,4744.0,0.0,0.0,1566.0,1946.0,1462286030.772
0.999,0.749,97.253,0.999,0.0,0.0,12288.0,4096.0,6991.0,5486.0,12288.0,0.0,1473.0,2392.0,1462286031.772
1.506,3.388,93.726,1.380,0.0,0.0,196608.0,0.0,5410.0,5453.0,196608.0,0.0,1851.0,2812.0,1462286032.772
0.500,0.0,99.250,0.250,0.0,0.0,4096.0,0.0,3072.0,1056.0,0.0,0.0,526.0,1001.0,1462286033.772
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3705.0,4282.0,0.0,0.0,484.0,948.0,1462286034.772
0.125,0.125,99.0,0.750,0.0,0.0,0.0,184320.0,2297.0,1561.0,0.0,0.0,521.0,980.0,1462286035.772
4.893,0.878,93.476,0.753,0.0,0.0,208896.0,0.0,3730.0,1144.0,0.0,0.0,1307.0,1570.0,1462286036.772
36.375,2.375,60.625,0.625,0.0,0.0,196608.0,0.0,9522.0,2643.0,65536.0,0.0,2780.0,1955.0,1462286037.772
52.513,2.764,44.095,0.503,0.0,0.126,20480.0,0.0,6275.0,3260.0,20480.0,0.0,3406.0,2299.0,1462286038.772
28.070,1.253,70.426,0.251,0.0,0.0,12288.0,0.0,10140.0,4669.0,12288.0,0.0,1742.0,1508.0,1462286039.772
74.0,2.250,23.500,0.125,0.0,0.125,0.0,200704.0,5318.0,2684.0,0.0,0.0,3063.0,3113.0,1462286040.772
73.359,5.682,20.581,0.379,0.0,0.0,69632.0,0.0,12899.0,4503.0,65536.0,0.0,4120.0,3706.0,1462286041.773
94.493,5.131,0.250,0.0,0.0,0.125,98304.0,0.0,13364.0,18451.0,98304.0,0.0,3222.0,3282.0,1462286042.772
94.368,5.507,0.0,0.0,0.0,0.125,0.0,0.0,4523.0,1662.0,0.0,0.0,3878.0,7403.0,1462286043.772
94.881,4.744,0.125,0.0,0.0,0.250,0.0,0.0,5007.0,2010.0,0.0,0.0,4264.0,5099.0,1462286044.772
95.375,4.375,0.0,0.0,0.0,0.250,0.0,348160.0,8334.0,6474.0,0.0,0.0,3365.0,3230.0,1462286045.772
96.370,3.630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3210.0,4244.0,1462286046.772
95.875,3.875,0.125,0.0,0.0,0.125,0.0,0.0,18850.0,42021.0,0.0,0.0,3022.0,5113.0,1462286047.772
89.014,10.362,0.125,0.0,0.0,0.499,40960.0,0.0,12013.0,40580.0,40960.0,0.0,4173.0,7715.0,1462286048.772
93.233,6.516,0.0,0.0,0.0,0.251,7860224.0,0.0,0.0,0.0,0.0,0.0,3840.0,6907.0,1462286049.772
95.256,3.995,0.0,0.0,0.0,0.749,41992192.0,557056.0,18480.0,174950.0,0.0,0.0,5414.0,9351.0,1462286050.772
90.512,8.365,0.125,0.0,0.0,0.999,35876864.0,0.0,10558.0,36463.0,0.0,0.0,4992.0,7356.0,1462286051.772
89.750,9.625,0.0,0.0,0.0,0.625,6082560.0,0.0,4597.0,3210.0,86016.0,0.0,3718.0,7468.0,1462286052.772
92.491,6.758,0.0,0.0,0.0,0.751,0.0,0.0,3150.0,1202.0,0.0,0.0,3733.0,8748.0,1462286053.772
88.095,11.779,0.0,0.0,0.0,0.125,0.0,0.0,5520.0,5415.0,0.0,0.0,2806.0,3692.0,1462286054.772
81.149,10.861,1.248,6.367,0.0,0.375,0.0,77524992.0,5073.0,3810.0,0.0,0.0,3567.0,3601.0,1462286055.772
80.678,14.304,0.376,4.391,0.0,0.251,35885056.0,46788608.0,3671.0,1988.0,0.0,0.0,4579.0,6759.0,1462286056.772
86.500,11.875,1.125,0.125,0.0,0.375,3973120.0,107081728.0,6688.0,6486.0,0.0,0.0,3747.0,4008.0,1462286057.772
74.404,10.289,8.783,6.023,0.0,0.502,20480.0,94498816.0,132396.0,9082.0,16384.0,0.0,3414.0,6031.0,1462286058.772
71.662,11.713,8.186,8.312,0.0,0.126,4128768.0,101711872.0,191382.0,173525.0,155648.0,0.0,3125.0,2530.0,1462286059.772
64.134,11.582,18.804,5.106,0.0,0.374,8192.0,85336064.0,6568.0,4413.0,0.0,0.0,3212.0,2293.0,1462286060.772
82.811,15.433,1.380,0.125,0.0,0.251,241664.0,90304512.0,12503.0,6950.0,118784.0,0.0,3383.0,4596.0,1462286061.772
86.017,13.483,0.250,0.0,0.0,0.250,49152.0,101711872.0,7205.0,4360.0,45056.0,0.0,3292.0,4887.0,1462286062.772
72.327,11.950,11.572,4.025,0.0,0.126,4096.0,106033152.0,12574.0,8147.0,32768.0,0.0,3156.0,3386.0,1462286063.772
36.842,9.524,41.604,11.905,0.0,0.125,45056.0,94498816.0,10463.0,8942.0,4096.0,0.0,3563.0,3474.0,1462286064.773
56.091,7.741,29.569,6.472,0.0,0.127,61440.0,107081728.0,16163.0,9747.0,61440.0,0.0,4181.0,3537.0,1462286065.772
84.355,7.885,4.506,3.004,0.0,0.250,139264.0,78999552.0,14701.0,10037.0,135168.0,0.0,4728.0,4054.0,1462286066.772
95.500,4.375,0.0,0.0,0.0,0.125,135168.0,26378240.0,14268.0,8450.0,4096.0,0.0,3530.0,4123.0,1462286067.772
95.494,4.380,0.0,0.0,0.0,0.125,8192.0,0.0,12657.0,122438.0,8192.0,0.0,2851.0,5331.0,1462286068.772
95.880,3.995,0.0,0.0,0.0,0.125,0.0,0.0,4962.0,9683.0,0.0,0.0,2985.0,3466.0,1462286069.772
90.989,8.761,0.125,0.0,0.0,0.125,4059136.0,344064.0,10248.0,139247.0,0.0,0.0,3747.0,3659.0,1462286070.772
95.745,4.005,0.0,0.0,0.0,0.250,4091904.0,73728.0,10470.0,139406.0,12288.0,0.0,3581.0,6310.0,1462286071.772
92.634,6.492,0.0,0.0,0.0,0.874,46485504.0,0.0,9622.0,25779.0,0.0,0.0,4769.0,9888.0,1462286072.773
95.500,4.0,0.0,0.0,0.0,0.500,28323840.0,0.0,6928.0,13482.0,0.0,0.0,4354.0,6359.0,1462286073.772
94.0,5.250,0.0,0.0,0.0,0.750,10092544.0,0.0,4655.0,11775.0,0.0,0.0,4038.0,5559.0,1462286074.772
95.745,3.880,0.0,0.0,0.0,0.375,0.0,159744.0,7242.0,12753.0,0.0,0.0,3070.0,4261.0,1462286075.772
89.638,9.613,0.125,0.0,0.0,0.624,0.0,122880.0,8114.0,22379.0,0.0,0.0,3660.0,6433.0,1462286076.772
87.750,11.0,0.125,0.0,0.0,1.125,18157568.0,0.0,5268.0,23141.0,0.0,0.0,5770.0,11073.0,1462286077.772
89.811,9.308,0.0,0.0,0.0,0.881,18108416.0,0.0,5879.0,111806.0,12288.0,0.0,5171.0,9931.0,1462286078.772
96.250,3.375,0.0,0.0,0.0,0.375,3969024.0,0.0,218739.0,113808.0,0.0,0.0,3528.0,4205.0,1462286079.772
88.820,10.932,0.124,0.0,0.0,0.124,0.0,98304.0,4868.0,132788.0,0.0,0.0,2620.0,2086.0,1462286080.772
82.811,17.064,0.0,0.0,0.0,0.125,12288.0,262144.0,6374.0,100472.0,12288.0,0.0,2857.0,3102.0,1462286081.772
82.896,16.355,0.375,0.0,0.0,0.375,0.0,0.0,5909.0,4595.0,0.0,0.0,3716.0,7053.0,1462286082.772
89.223,10.401,0.125,0.0,0.0,0.251,0.0,0.0,8050.0,8636.0,8192.0,0.0,3139.0,5715.0,1462286083.772
87.375,12.500,0.0,0.0,0.0,0.125,45056.0,0.0,12666.0,121326.0,36864.0,0.0,2762.0,4302.0,1462286084.772
77.415,18.444,1.631,2.133,0.0,0.376,4096.0,102834176.0,6329.0,4746.0,0.0,0.0,3029.0,2836.0,1462286085.772
66.374,15.307,9.661,8.657,0.0,0.0,229376.0,37027840.0,12671.0,9837.0,81920.0,0.0,3289.0,4161.0,1462286086.772
51.314,13.392,34.668,0.501,0.0,0.125,90112.0,0.0,12686.0,10984.0,61440.0,0.0,2926.0,2936.0,1462286087.772
77.233,13.082,9.057,0.503,0.0,0.126,49152.0,28311552.0,14019.0,8605.0,45056.0,0.0,3497.0,4349.0,1462286088.772
87.970,11.404,0.125,0.251,0.0,0.251,4096.0,112279552.0,12073.0,5549.0,0.0,0.0,3362.0,3986.0,1462286089.772
83.0,12.0,3.125,1.750,0.0,0.125,49152.0,86233088.0,9583.0,6736.0,57344.0,0.0,4037.0,3693.0,1462286090.772
51.321,4.277,33.962,10.314,0.0,0.126,81920.0,72491008.0,13648.0,12131.0,69632.0,0.0,3595.0,3866.0,1462286091.772
45.523,2.774,42.371,9.332,0.0,0.0,8192.0,111673344.0,10756.0,12745.0,4096.0,0.0,3703.0,2569.0,1462286092.772
91.0,5.375,2.875,0.500,0.0,0.250,36864.0,102363136.0,14373.0,8857.0,32768.0,0.0,4694.0,4783.0,1462286093.772
93.090,6.407,0.126,0.0,0.0,0.377,4096.0,111276032.0,13262.0,22095.0,0.0,0.0,3425.0,3726.0,1462286094.772
94.527,4.726,0.0,0.0,0.0,0.746,8192.0,112660480.0,4329.0,3652.0,0.0,0.0,3468.0,5435.0,1462286095.772
92.634,6.492,0.125,0.0,0.0,0.749,6008832.0,89657344.0,7965.0,12942.0,28672.0,0.0,4278.0,7624.0,1462286096.772
93.216,6.030,0.126,0.0,0.0,0.628,5984256.0,89784320.0,10747.0,41962.0,32768.0,0.0,4656.0,5902.0,1462286097.772
93.860,4.637,0.877,0.0,0.0,0.627,53612544.0,28835840.0,9055.0,9524.0,0.0,0.0,5171.0,7359.0,1462286098.772
95.250,4.375,0.0,0.0,0.0,0.375,26009600.0,74792960.0,6800.0,17569.0,0.0,0.0,3957.0,5353.0,1462286099.772
94.125,5.250,0.125,0.0,0.0,0.500,16384.0,107081728.0,4154.0,9994.0,12288.0,0.0,3097.0,6194.0,1462286100.772
92.509,6.617,0.250,0.125,0.0,0.499,4096.0,92979200.0,3840.0,7090.0,0.0,0.0,3744.0,4750.0,1462286101.772
84.722,13.005,1.263,0.631,0.0,0.379,11972608.0,87187456.0,5382.0,3206.0,0.0,0.0,3632.0,6374.0,1462286102.772
92.164,7.214,0.0,0.0,0.0,0.622,45326336.0,47185920.0,5289.0,110724.0,0.0,0.0,4959.0,7315.0,1462286103.772
82.228,8.511,3.379,4.380,0.0,1.502,93872128.0,0.0,9116.0,153010.0,0.0,0.0,7496.0,10130.0,1462286104.772
92.250,7.125,0.125,0.0,0.0,0.500,64765952.0,26738688.0,8143.0,24699.0,0.0,0.0,4721.0,4733.0,1462286105.772
85.482,6.258,7.760,0.0,0.0,0.501,9510912.0,81326080.0,3172.0,1124.0,8192.0,0.0,3092.0,2194.0,1462286106.772
87.375,12.375,0.125,0.0,0.0,0.125,2641920.0,31981568.0,4284.0,3377.0,2629632.0,0.0,3099.0,3172.0,1462286107.772
78.070,21.805,0.0,0.0,0.0,0.125,0.0,42594304.0,6573.0,5280.0,0.0,0.0,2896.0,2921.0,1462286108.772
79.302,18.080,0.873,1.247,0.0,0.499,43954176.0,0.0,5272.0,2879.0,0.0,0.0,5006.0,9753.0,1462286109.772
72.980,8.712,16.414,1.515,0.0,0.379,28127232.0,0.0,149171.0,9581.0,90112.0,0.0,3571.0,3855.0,1462286110.772
75.970,9.262,14.393,0.250,0.0,0.125,32768.0,180224.0,157446.0,10983.0,32768.0,0.0,2992.0,4151.0,1462286111.772
48.125,10.750,40.875,0.250,0.0,0.0,4096.0,0.0,11535.0,7103.0,4096.0,0.0,2397.0,3005.0,1462286112.772
67.044,10.063,22.893,0.0,0.0,0.0,16384.0,0.0,11345.0,5322.0,16384.0,0.0,3225.0,2414.0,1462286113.772
71.250,10.125,18.500,0.0,0.0,0.125,0.0,0.0,6729.0,5106.0,0.0,0.0,3116.0,2259.0,1462286114.772
63.522,10.189,26.289,0.0,0.0,0.0,28672.0,0.0,11110.0,10459.0,28672.0,0.0,2875.0,3361.0,1462286115.772
82.419,11.097,6.484,0.0,0.0,0.0,0.0,278528.0,4515.0,9357.0,0.0,0.0,3108.0,3513.0,1462286116.772
72.497,9.759,12.801,4.816,0.0,0.127,102400.0,82837504.0,15507.0,20795.0,102400.0,0.0,4078.0,4746.0,1462286117.772
87.141,8.115,2.747,1.748,0.0,0.250,6111232.0,70479872.0,11355.0,9272.0,57344.0,0.0,4275.0,3651.0,1462286118.772
91.562,4.282,3.275,0.378,0.0,0.504,20221952.0,67108864.0,17678.0,6371.0,0.0,0.0,4191.0,3618.0,1462286119.772
91.990,7.384,0.125,0.0,0.0,0.501,52166656.0,46661632.0,10506.0,11700.0,0.0,0.0,4545.0,4244.0,1462286120.772
95.494,4.255,0.0,0.0,0.0,0.250,22290432.0,45658112.0,6805.0,4799.0,0.0,0.0,3827.0,3296.0,1462286121.772
94.493,4.756,0.0,0.0,0.0,0.751,32251904.0,62914560.0,5856.0,4662.0,0.0,0.0,4270.0,4554.0,1462286122.772
94.507,4.994,0.0,0.0,0.0,0.499,44498944.0,47710208.0,11102.0,22389.0,24576.0,0.0,4266.0,4736.0,1462286123.772
94.118,5.632,0.0,0.0,0.0,0.250,8069120.0,96657408.0,10542.0,254766.0,4096.0,0.0,3379.0,5201.0,1462286124.772
92.875,6.250,0.125,0.0,0.0,0.750,29720576.0,39518208.0,6246.0,23387.0,0.0,0.0,3847.0,4741.0,1462286125.772
93.0,6.750,0.125,0.0,0.0,0.125,18673664.0,184320.0,9662.0,32944.0,0.0,0.0,3554.0,5222.0,1462286126.772
89.560,8.931,0.126,0.0,0.0,1.384,70447104.0,0.0,112670.0,94646.0,0.0,0.0,4942.0,8452.0,1462286127.772
92.375,7.125,0.125,0.0,0.0,0.375,64425984.0,0.0,4898.0,19630.0,0.0,0.0,6351.0,10015.0,1462286128.772
93.125,5.875,0.125,0.0,0.0,0.875,87121920.0,0.0,8798.0,22040.0,0.0,0.0,5829.0,6155.0,1462286129.772
92.528,6.974,0.0,0.0,0.0,0.498,70328320.0,98304.0,7460.0,12091.0,0.0,0.0,4826.0,4489.0,1462286130.772
89.210,10.790,0.0,0.0,0.0,0.0,7974912.0,126976.0,5137.0,7478.0,0.0,0.0,2895.0,2667.0,1462286131.772
85.750,14.0,0.0,0.0,0.0,0.250,30326784.0,0.0,7930.0,13519.0,0.0,0.0,4428.0,5421.0,1462286132.772
83.562,15.940,0.249,0.0,0.0,0.249,10342400.0,344064.0,7985.0,145360.0,225280.0,344064.0,33202.0,6911.0,1462286133.772
85.194,10.414,1.882,2.008,0.0,0.502,47992832.0,233472.0,4396.0,4820.0,12288.0,233472.0,4295.0,7169.0,1462286134.772
