"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_2500000000_0.35_24_100_teratest_ca1e2948-0b2e-450c-ac1e-c823ad3a0dc3.csv",,,,"Date:","01 May 2016 17:00:28 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.672,1.213,79.575,2.401,0.000,0.139,1643006.939,5286494.076,0.0,0.0,2492.286,2329.061,1833.255,2130.926,1462114828.337
1.248,0.250,98.002,0.499,0.0,0.0,0.0,299008.0,11885.0,17793.0,0.0,0.0,747.0,1143.0,1462114829.338
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2140.0,570.0,0.0,0.0,407.0,843.0,1462114830.338
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,403.0,868.0,1462114831.338
0.125,0.0,99.750,0.125,0.0,0.0,32768.0,0.0,1084.0,342.0,32768.0,0.0,446.0,935.0,1462114832.338
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2490.0,920.0,0.0,0.0,427.0,870.0,1462114833.338
0.125,0.0,99.374,0.501,0.0,0.0,0.0,36864.0,1650.0,526.0,0.0,0.0,406.0,890.0,1462114834.338
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1084.0,342.0,0.0,0.0,391.0,864.0,1462114835.338
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,424.0,883.0,1462114836.338
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,396.0,859.0,1462114837.338
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1084.0,342.0,0.0,0.0,398.0,857.0,1462114838.338
0.375,1.375,98.250,0.0,0.0,0.0,0.0,139264.0,2204.0,570.0,0.0,0.0,582.0,1057.0,1462114839.338
0.250,1.627,97.872,0.250,0.0,0.0,32768.0,0.0,1772.0,866.0,32768.0,0.0,545.0,1034.0,1462114840.338
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1212.0,342.0,0.0,0.0,386.0,838.0,1462114841.338
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,413.0,854.0,1462114842.338
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1924.0,736.0,0.0,0.0,436.0,915.0,1462114843.338
0.0,0.0,99.499,0.501,0.0,0.0,0.0,110592.0,1224.0,482.0,0.0,0.0,398.0,860.0,1462114844.338
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,421.0,888.0,1462114845.338
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,385.0,827.0,1462114846.338
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1148.0,342.0,0.0,0.0,385.0,855.0,1462114847.338
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2140.0,570.0,0.0,0.0,404.0,864.0,1462114848.338
0.0,0.0,99.375,0.625,0.0,0.0,0.0,57344.0,1580.0,456.0,0.0,0.0,420.0,890.0,1462114849.338
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,401.0,877.0,1462114850.338
