"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_2500000000_0.35_24_150_teratest_88b86fa5-2b00-4791-bbf5-f229178b2860.csv",,,,"Date:","01 May 2016 17:05:13 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.672,1.213,79.576,2.401,0.000,0.139,1642966.480,5286360.692,0.0,0.0,2493.269,2329.002,1833.222,2130.895,1462115113.255
1.500,0.125,98.375,0.0,0.0,0.0,0.0,0.0,11891.0,17723.0,0.0,0.0,666.0,1097.0,1462115114.256
0.0,0.125,99.500,0.375,0.0,0.0,0.0,73728.0,2274.0,640.0,0.0,0.0,428.0,879.0,1462115115.256
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,391.0,849.0,1462115116.256
0.0,0.0,99.624,0.376,0.0,0.0,102400.0,0.0,6946.0,6630.0,102400.0,0.0,521.0,979.0,1462115117.256
0.125,0.125,99.625,0.125,0.0,0.0,98304.0,0.0,2140.0,570.0,98304.0,0.0,468.0,958.0,1462115118.256
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,399.0,862.0,1462115119.256
0.125,0.0,99.375,0.500,0.0,0.0,0.0,81920.0,1148.0,342.0,0.0,0.0,402.0,842.0,1462115120.256
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2140.0,570.0,0.0,0.0,403.0,852.0,1462115121.256
29.648,0.126,69.975,0.251,0.0,0.0,2015232.0,0.0,8495.0,334816.0,2015232.0,0.0,1633.0,1827.0,1462115122.256
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,8084.0,351336.0,0.0,0.0,474.0,936.0,1462115123.256
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,15166.0,478026.0,0.0,0.0,652.0,994.0,1462115124.256
0.0,0.0,99.501,0.499,0.0,0.0,0.0,45056.0,13404.0,286681.0,0.0,0.0,465.0,887.0,1462115125.256
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1764.0,9709.0,0.0,0.0,404.0,841.0,1462115126.256
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,3462.0,1484.0,0.0,0.0,443.0,890.0,1462115127.256
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2464.0,810.0,0.0,0.0,445.0,922.0,1462115128.256
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1528.0,460.0,0.0,0.0,396.0,837.0,1462115129.256
0.0,0.125,99.500,0.375,0.0,0.0,0.0,20480.0,2836.0,806.0,0.0,0.0,411.0,853.0,1462115130.256
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1836.0,456.0,0.0,0.0,355.0,780.0,1462115131.256
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1840.0,696.0,0.0,0.0,438.0,924.0,1462115132.256
