"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_300000000_0.35_24_100_teratest_dfa1e621-900c-47fd-9e18-9cc5a12b6b1c.csv",,,,"Date:","09 May 2016 20:32:57 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.997,1.188,80.061,2.616,0.000,0.138,1749783.767,5458980.308,0.0,0.0,2809.747,2730.409,1827.432,2126.667,1462818777.322
1.003,0.0,98.872,0.125,0.0,0.0,0.0,0.0,13040.0,17806.0,0.0,0.0,635.0,1070.0,1462818778.322
0.0,0.125,98.748,1.126,0.0,0.0,16384.0,139264.0,987.0,339.0,0.0,0.0,580.0,1090.0,1462818779.323
0.0,0.125,99.875,0.0,0.0,0.0,0.0,45056.0,1610.0,452.0,0.0,0.0,486.0,914.0,1462818780.323
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2105.0,565.0,0.0,0.0,481.0,910.0,1462818781.323
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,471.0,904.0,1462818782.323
0.0,0.0,100.0,0.0,0.0,0.0,16384.0,0.0,1764.0,452.0,0.0,0.0,494.0,939.0,1462818783.323
0.0,0.0,99.375,0.625,0.0,0.0,0.0,122880.0,2285.0,565.0,0.0,0.0,497.0,950.0,1462818784.323
0.125,0.0,99.750,0.125,0.0,0.0,16384.0,1806336.0,1051.0,339.0,0.0,0.0,531.0,994.0,1462818785.323
0.0,0.0,100.0,0.0,0.0,0.0,16384.0,0.0,1546.0,452.0,0.0,0.0,498.0,936.0,1462818786.323
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2233.0,565.0,0.0,0.0,477.0,904.0,1462818787.323
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1205.0,339.0,0.0,0.0,488.0,929.0,1462818788.323
0.0,0.125,98.999,0.876,0.0,0.0,0.0,155648.0,1610.0,452.0,0.0,0.0,499.0,934.0,1462818789.323
