"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_300000000_0.35_6_100_teratest_8634e5e1-89e6-4576-a164-891d27d016c6.csv",,,,"Date:","09 May 2016 21:09:26 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.999,1.189,80.057,2.617,0.000,0.138,1750054.006,5464651.014,0.0,0.0,2809.916,2730.017,1828.250,2127.409,1462820966.104
0.878,0.502,90.339,8.156,0.0,0.125,20480.0,86540288.0,12283.0,17693.0,0.0,0.0,1110.0,1315.0,1462820967.105
0.125,0.0,99.875,0.0,0.0,0.0,0.0,41689088.0,2169.0,565.0,0.0,0.0,608.0,928.0,1462820968.105
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,472.0,904.0,1462820969.105
0.0,0.125,99.0,0.875,0.0,0.0,49152.0,0.0,1610.0,452.0,0.0,0.0,518.0,980.0,1462820970.105
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2233.0,565.0,0.0,0.0,480.0,907.0,1462820971.105
0.0,0.0,99.124,0.876,0.0,0.0,0.0,1757184.0,1243.0,339.0,0.0,0.0,510.0,943.0,1462820972.105
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1930.0,452.0,0.0,0.0,476.0,897.0,1462820973.105
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2361.0,565.0,0.0,0.0,481.0,907.0,1462820974.105
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1435.0,339.0,0.0,0.0,509.0,942.0,1462820975.105
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1674.0,452.0,0.0,0.0,470.0,901.0,1462820976.105
0.0,0.0,99.625,0.375,0.0,0.0,0.0,40960.0,2233.0,565.0,0.0,0.0,511.0,951.0,1462820977.105
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,465.0,877.0,1462820978.105
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,472.0,908.0,1462820979.105
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2105.0,565.0,0.0,0.0,493.0,933.0,1462820980.105
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,480.0,909.0,1462820981.105
