"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_400000000_0.35_24_150_teratest_adc4f9fa-a454-40be-8bc6-d5d1973c5af5.csv",,,,"Date:","09 May 2016 19:11:50 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.994,1.187,80.070,2.610,0.000,0.138,1747366.173,5444259.660,0.0,0.0,2807.427,2725.550,1825.509,2124.834,1462813910.639
0.376,0.0,99.373,0.251,0.0,0.0,0.0,0.0,1145.0,487.0,0.0,0.0,513.0,886.0,1462813911.640
1.001,0.125,98.748,0.125,0.0,0.0,0.0,73728.0,6187.0,5901.0,0.0,0.0,690.0,1120.0,1462813912.640
0.125,0.0,99.625,0.250,0.0,0.0,0.0,454656.0,8563.0,12279.0,0.0,0.0,613.0,900.0,1462813913.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1067.0,339.0,0.0,0.0,501.0,932.0,1462813914.640
0.0,0.0,99.625,0.375,0.0,0.0,4096.0,0.0,2744.0,678.0,0.0,0.0,496.0,940.0,1462813915.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1323.0,339.0,0.0,0.0,486.0,929.0,1462813916.640
0.0,0.125,99.750,0.125,0.0,0.0,0.0,53248.0,1387.0,339.0,0.0,0.0,508.0,927.0,1462813917.640
0.0,0.0,99.624,0.376,0.0,0.0,0.0,393216.0,3064.0,1088.0,0.0,0.0,535.0,938.0,1462813918.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1323.0,339.0,0.0,0.0,461.0,879.0,1462813919.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1323.0,339.0,0.0,0.0,521.0,963.0,1462813920.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3064.0,678.0,0.0,0.0,464.0,894.0,1462813921.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,53248.0,1323.0,339.0,0.0,0.0,468.0,904.0,1462813922.640
0.125,0.0,99.499,0.376,0.0,0.0,0.0,4096.0,1451.0,339.0,0.0,0.0,512.0,918.0,1462813923.640
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,3739.0,1316.0,0.0,0.0,477.0,912.0,1462813924.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1195.0,339.0,0.0,0.0,476.0,908.0,1462813925.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1067.0,339.0,0.0,0.0,497.0,927.0,1462813926.640
0.0,0.0,99.875,0.125,0.0,0.0,0.0,12288.0,3000.0,678.0,0.0,0.0,454.0,880.0,1462813927.640
0.0,0.0,99.500,0.500,0.0,0.0,0.0,4096.0,1131.0,339.0,0.0,0.0,496.0,947.0,1462813928.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1131.0,339.0,0.0,0.0,502.0,917.0,1462813929.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2808.0,678.0,0.0,0.0,489.0,924.0,1462813930.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1259.0,339.0,0.0,0.0,471.0,901.0,1462813931.640
0.125,0.125,99.750,0.0,0.0,0.0,0.0,24576.0,1131.0,685.0,0.0,0.0,503.0,928.0,1462813932.640
0.125,0.0,99.501,0.375,0.0,0.0,0.0,4096.0,2808.0,678.0,0.0,0.0,483.0,915.0,1462813933.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1271.0,409.0,0.0,0.0,484.0,915.0,1462813934.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1131.0,339.0,0.0,0.0,494.0,922.0,1462813935.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2744.0,678.0,0.0,0.0,469.0,911.0,1462813936.640
0.0,0.0,99.875,0.125,0.0,0.0,0.0,12288.0,1067.0,339.0,0.0,0.0,458.0,887.0,1462813937.640
0.125,0.125,89.850,9.900,0.0,0.0,1576960.0,28672.0,1131.0,339.0,0.0,0.0,1384.0,2333.0,1462813938.640
0.125,0.125,88.486,11.264,0.0,0.0,2453504.0,0.0,2744.0,678.0,0.0,0.0,1813.0,3114.0,1462813939.640
0.125,0.250,87.860,11.640,0.0,0.125,3350528.0,16384.0,2140.0,2363.0,0.0,0.0,2218.0,3819.0,1462813940.640
0.125,0.752,87.719,11.278,0.0,0.125,10035200.0,0.0,7109.0,3532.0,0.0,0.0,5337.0,9135.0,1462813941.640
0.625,0.875,85.250,13.125,0.0,0.125,7340032.0,57344.0,2856.0,678.0,0.0,0.0,4110.0,7269.0,1462813942.640
9.512,1.377,72.966,16.020,0.0,0.125,4161536.0,16384.0,1371.0,339.0,0.0,0.0,3444.0,4867.0,1462813943.640
15.075,1.131,69.849,13.945,0.0,0.0,2703360.0,4096.0,1371.0,339.0,0.0,0.0,2598.0,3698.0,1462813944.640
26.976,1.380,58.846,12.798,0.0,0.0,1437696.0,0.0,3309.0,924.0,0.0,0.0,2883.0,2921.0,1462813945.640
16.541,0.752,68.546,13.910,0.0,0.251,6692864.0,4096.0,1371.0,339.0,0.0,0.0,3324.0,4934.0,1462813946.640
24.269,0.381,62.389,12.706,0.0,0.254,4706304.0,253952.0,6405143.0,40909.0,0.0,0.0,5790.0,6166.0,1462813947.640
7.384,0.626,71.089,20.901,0.0,0.0,1175552.0,1531904.0,1187905.0,5545.0,0.0,0.0,2164.0,2969.0,1462813948.640
9.799,0.251,74.121,15.829,0.0,0.0,2347008.0,163840.0,9812.0,326238.0,32768.0,0.0,2443.0,3451.0,1462813949.640
1.629,0.251,85.338,12.657,0.0,0.125,1966080.0,8192.0,10374.0,110010.0,0.0,0.0,1847.0,3005.0,1462813950.640
0.377,0.126,88.693,10.804,0.0,0.0,5771264.0,0.0,3400.0,1232.0,0.0,0.0,3305.0,5893.0,1462813951.640
0.125,0.251,88.346,11.153,0.0,0.125,5349376.0,0.0,1023.0,403.0,0.0,0.0,3201.0,5472.0,1462813952.640
0.0,0.378,87.137,12.484,0.0,0.0,7716864.0,208896.0,2735.0,1336.0,0.0,0.0,4436.0,7204.0,1462813953.639
0.252,0.377,87.925,11.447,0.0,0.0,8151040.0,0.0,4915.0,3258.0,0.0,0.0,4558.0,7333.0,1462813954.640
0.125,0.750,87.500,11.625,0.0,0.0,6955008.0,12288.0,1373.0,689.0,0.0,0.0,3940.0,6828.0,1462813955.640
0.501,0.125,87.719,11.654,0.0,0.0,3153920.0,8192.0,4888.0,2655.0,0.0,0.0,2253.0,3857.0,1462813956.640
1.509,0.126,87.044,11.321,0.0,0.0,2514944.0,0.0,3967.0,1122.0,0.0,0.0,2026.0,3424.0,1462813957.640
44.264,7.980,36.160,11.222,0.0,0.374,4583424.0,86016.0,33674.0,22636.0,0.0,0.0,7835.0,10793.0,1462813958.640
94.625,5.375,0.0,0.0,0.0,0.0,3420160.0,0.0,7352.0,9432.0,0.0,0.0,4376.0,5822.0,1462813959.640
96.871,3.004,0.0,0.0,0.0,0.125,5537792.0,0.0,6943.0,6811.0,0.0,0.0,5226.0,7353.0,1462813960.640
94.0,5.750,0.0,0.0,0.0,0.250,5279744.0,0.0,3017.0,1192.0,0.0,0.0,5439.0,7016.0,1462813961.640
92.750,6.375,0.125,0.0,0.0,0.750,5607424.0,0.0,6351.0,3510.0,0.0,0.0,6052.0,7094.0,1462813962.639
92.991,6.383,0.375,0.125,0.0,0.125,2891776.0,479232.0,12677.0,11394.0,0.0,0.0,4618.0,5808.0,1462813963.640
96.504,3.371,0.0,0.0,0.0,0.125,1863680.0,0.0,3461.0,1633.0,0.0,0.0,3760.0,6448.0,1462813964.640
96.621,3.129,0.0,0.0,0.0,0.250,4091904.0,0.0,3958.0,3642.0,0.0,0.0,5177.0,10831.0,1462813965.640
94.0,5.750,0.0,0.0,0.0,0.250,5599232.0,0.0,14404.0,30025.0,0.0,0.0,5618.0,8197.0,1462813966.640
67.503,27.353,1.255,3.262,0.0,0.627,9797632.0,0.0,12080.0,27665.0,0.0,0.0,5179.0,6713.0,1462813967.640
97.129,2.497,0.0,0.0,0.0,0.375,5709824.0,155648.0,0.0,0.0,0.0,0.0,4103.0,7298.0,1462813968.640
85.106,10.638,1.877,0.501,0.0,1.877,45391872.0,0.0,11178.0,15889.0,0.0,0.0,9688.0,25489.0,1462813969.640
86.0,12.500,0.0,0.125,0.0,1.375,47636480.0,0.0,4714.0,5212.0,0.0,0.0,5343.0,6560.0,1462813970.640
