"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_600000000_0.35_1_100_teratest_bca4a753-c771-4cac-a12d-4e85dd00a056.csv",,,,"Date:","10 May 2016 22:20:21 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.925,1.186,80.128,2.621,0.000,0.139,1758667.152,5488917.294,0.0,0.0,2802.133,2729.696,1828.917,2127.495,1462911621.784
0.876,0.125,98.248,0.751,0.0,0.0,0.0,118784.0,8241.0,11887.0,0.0,0.0,634.0,1012.0,1462911622.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5136.0,4606.0,0.0,0.0,462.0,899.0,1462911623.785
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,484.0,921.0,1462911624.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,490.0,918.0,1462911625.785
0.0,0.0,99.750,0.250,0.0,0.0,0.0,49152.0,2792.0,742.0,0.0,0.0,481.0,925.0,1462911626.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,303104.0,987.0,339.0,0.0,0.0,469.0,917.0,1462911627.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,488.0,930.0,1462911628.785
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2792.0,678.0,0.0,0.0,457.0,893.0,1462911629.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,489.0,933.0,1462911630.785
0.0,0.125,99.375,0.500,0.0,0.0,0.0,32768.0,987.0,339.0,0.0,0.0,493.0,927.0,1462911631.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,65536.0,2728.0,678.0,0.0,0.0,496.0,919.0,1462911632.785
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1179.0,685.0,0.0,0.0,471.0,911.0,1462911633.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,475.0,903.0,1462911634.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2792.0,678.0,0.0,0.0,484.0,915.0,1462911635.785
0.0,0.0,99.499,0.501,0.0,0.0,0.0,40960.0,1051.0,339.0,0.0,0.0,500.0,961.0,1462911636.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,40960.0,987.0,339.0,0.0,0.0,524.0,950.0,1462911637.785
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2664.0,742.0,0.0,0.0,502.0,964.0,1462911638.785
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,987.0,403.0,0.0,0.0,479.0,932.0,1462911639.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,403.0,0.0,0.0,492.0,936.0,1462911640.785
0.249,0.0,99.377,0.374,0.0,0.0,0.0,36864.0,2664.0,678.0,0.0,0.0,472.0,910.0,1462911641.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,462.0,914.0,1462911642.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,478.0,918.0,1462911643.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2728.0,678.0,0.0,0.0,467.0,907.0,1462911644.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1179.0,749.0,0.0,0.0,470.0,914.0,1462911645.785
0.125,0.0,99.749,0.125,0.0,0.0,0.0,24576.0,1051.0,339.0,0.0,0.0,488.0,933.0,1462911646.784
0.125,0.0,99.875,0.0,0.0,0.0,0.0,159744.0,2664.0,678.0,0.0,0.0,538.0,931.0,1462911647.785
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,491.0,953.0,1462911648.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,487.0,914.0,1462911649.785
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2664.0,678.0,0.0,0.0,454.0,888.0,1462911650.785
0.125,0.0,99.500,0.375,0.0,0.0,0.0,16384.0,1051.0,339.0,0.0,0.0,487.0,933.0,1462911651.785
0.376,0.251,98.371,1.003,0.0,0.0,69632.0,28672.0,1051.0,339.0,0.0,0.0,689.0,1205.0,1462911652.785
