"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_800000000_0.35_6_100_teratest_fe0211d3-1f1f-47d0-a022-b0300ccd27b2.csv",,,,"Date:","04 May 2016 08:39:51 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.535,1.218,79.516,2.591,0.000,0.141,1760145.455,5483398.362,0.0,0.0,2846.510,2663.090,1855.516,2149.301,1462343991.557
0.874,0.125,98.127,0.874,0.0,0.0,0.0,634880.0,6449.0,7303.0,0.0,0.0,603.0,955.0,1462343992.558
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6689.0,6763.0,0.0,0.0,484.0,922.0,1462343993.558
0.125,0.250,99.625,0.0,0.0,0.0,0.0,0.0,1212.0,342.0,0.0,0.0,458.0,868.0,1462343994.558
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2054.0,456.0,0.0,0.0,438.0,868.0,1462343995.558
0.125,0.0,99.374,0.501,0.0,0.0,0.0,86016.0,2486.0,570.0,0.0,0.0,489.0,949.0,1462343996.558
0.0,0.0,95.500,4.500,0.0,0.0,0.0,12288.0,1212.0,342.0,0.0,0.0,464.0,887.0,1462343997.558
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1644.0,546.0,0.0,0.0,454.0,882.0,1462343998.558
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,453.0,886.0,1462343999.558
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,482.0,936.0,1462344000.558
0.125,0.0,99.251,0.624,0.0,0.0,0.0,57344.0,1580.0,456.0,0.0,0.0,476.0,919.0,1462344001.558
0.0,0.0,99.875,0.125,0.0,0.0,0.0,0.0,2230.0,916.0,0.0,0.0,485.0,932.0,1462344002.558
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,447.0,880.0,1462344003.558
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1772.0,456.0,0.0,0.0,502.0,957.0,1462344004.558
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,450.0,889.0,1462344005.558
0.125,0.0,99.499,0.376,0.0,0.0,0.0,77824.0,1084.0,342.0,0.0,0.0,477.0,922.0,1462344006.559
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,1772.0,520.0,0.0,0.0,482.0,912.0,1462344007.558
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2268.0,634.0,0.0,0.0,466.0,905.0,1462344008.558
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1148.0,406.0,0.0,0.0,448.0,862.0,1462344009.558
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1836.0,456.0,0.0,0.0,460.0,908.0,1462344010.558
0.0,0.0,99.625,0.375,0.0,0.0,0.0,20480.0,2204.0,570.0,0.0,0.0,457.0,892.0,1462344011.558
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1148.0,342.0,0.0,0.0,462.0,909.0,1462344012.558
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,443.0,876.0,1462344013.558
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2268.0,570.0,0.0,0.0,462.0,899.0,1462344014.558
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1276.0,342.0,0.0,0.0,441.0,862.0,1462344015.558
0.0,0.0,99.625,0.375,0.0,0.0,0.0,28672.0,1708.0,456.0,0.0,0.0,459.0,894.0,1462344016.558
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2396.0,570.0,0.0,0.0,456.0,889.0,1462344017.558
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1340.0,342.0,0.0,0.0,445.0,868.0,1462344018.558
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1900.0,456.0,0.0,0.0,442.0,874.0,1462344019.558
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2396.0,570.0,0.0,0.0,463.0,907.0,1462344020.558
0.0,0.0,99.500,0.500,0.0,0.0,20480.0,20480.0,1276.0,342.0,20480.0,0.0,447.0,875.0,1462344021.558
0.125,0.0,99.124,0.751,0.0,0.0,0.0,299008.0,1772.0,456.0,0.0,0.0,576.0,931.0,1462344022.558
11.543,1.255,84.316,2.886,0.0,0.0,1331200.0,0.0,2524.0,980.0,0.0,0.0,1818.0,2041.0,1462344023.559
21.930,1.378,76.441,0.251,0.0,0.0,8192.0,0.0,1212.0,342.0,0.0,0.0,1503.0,1375.0,1462344024.558
22.778,0.876,75.845,0.501,0.0,0.0,118784.0,0.0,2097.0,702.0,24576.0,0.0,1497.0,1254.0,1462344025.558
29.709,0.885,65.613,3.540,0.0,0.253,16171008.0,258048.0,2204.0,570.0,217088.0,0.0,6239.0,7275.0,1462344026.559
11.765,0.626,79.224,8.385,0.0,0.0,348160.0,1224704.0,8465324.0,46232.0,0.0,0.0,1526.0,1469.0,1462344027.559
12.484,0.624,84.145,2.622,0.0,0.125,135168.0,81920.0,10485.0,343078.0,0.0,0.0,2054.0,2648.0,1462344028.559
4.506,0.375,92.991,2.128,0.0,0.0,540672.0,0.0,7391.0,116099.0,491520.0,0.0,1341.0,1713.0,1462344029.558
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2892.0,3443.0,0.0,0.0,527.0,995.0,1462344030.558
0.0,0.0,99.499,0.501,0.0,0.0,0.0,163840.0,3759.0,4720.0,0.0,0.0,485.0,943.0,1462344031.558
0.125,0.0,99.750,0.125,0.0,0.0,0.0,4096.0,4047.0,4190.0,0.0,0.0,484.0,963.0,1462344032.558
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1122.0,342.0,0.0,0.0,420.0,875.0,1462344033.558
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2166.0,876.0,0.0,0.0,436.0,880.0,1462344034.558
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,3884.0,1567.0,0.0,0.0,491.0,953.0,1462344035.558
0.627,0.0,99.122,0.251,0.0,0.0,0.0,20480.0,2015.0,807.0,0.0,0.0,473.0,928.0,1462344036.558
0.125,0.0,99.376,0.499,0.0,0.0,0.0,716800.0,2602.0,2194.0,0.0,0.0,585.0,974.0,1462344037.558
0.125,0.0,98.996,0.878,0.0,0.0,4096.0,16384.0,2625.0,1024.0,0.0,0.0,559.0,1018.0,1462344038.559
0.375,0.125,99.249,0.250,0.0,0.0,0.0,12288.0,5032.0,2723.0,0.0,0.0,667.0,1181.0,1462344039.559
0.375,0.125,99.125,0.375,0.0,0.0,12288.0,0.0,3164.0,972.0,4096.0,0.0,589.0,1091.0,1462344040.558
0.251,0.0,98.745,1.004,0.0,0.0,24576.0,0.0,8566.0,14997.0,16384.0,0.0,748.0,1183.0,1462344041.558
9.422,2.638,75.251,12.688,0.0,0.0,1015808.0,147456.0,36294.0,19867.0,839680.0,0.0,3608.0,4877.0,1462344042.559
