"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_900000000_0.35_24_100_teratest_e7b1d0d8-b9be-4b7e-9eac-3773b9c2512e.csv",,,,"Date:","04 May 2016 02:49:16 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.528,1.214,79.566,2.552,0.000,0.140,1733426.390,5430659.663,0.0,0.0,2830.965,2594.847,1847.301,2142.528,1462322956.348
0.626,0.0,98.748,0.626,0.0,0.0,0.0,0.0,6806.0,7724.0,0.0,0.0,549.0,937.0,1462322957.349
0.375,0.0,99.625,0.0,0.0,0.0,0.0,4096.0,7509.0,10045.0,0.0,0.0,475.0,908.0,1462322958.349
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1988.0,832.0,0.0,0.0,437.0,864.0,1462322959.349
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1580.0,802.0,0.0,0.0,442.0,880.0,1462322960.349
0.125,0.0,99.500,0.375,0.0,0.0,0.0,45056.0,1900.0,456.0,0.0,0.0,449.0,910.0,1462322961.349
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,440.0,877.0,1462322962.349
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,1836.0,456.0,0.0,0.0,446.0,895.0,1462322963.349
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1900.0,456.0,0.0,0.0,473.0,949.0,1462322964.349
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1964.0,456.0,0.0,0.0,448.0,895.0,1462322965.349
0.125,0.0,99.500,0.375,0.0,0.0,0.0,20480.0,1708.0,456.0,0.0,0.0,431.0,865.0,1462322966.349
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1772.0,456.0,0.0,0.0,431.0,882.0,1462322967.349
0.375,0.0,99.625,0.0,0.0,0.0,0.0,106496.0,1644.0,456.0,0.0,0.0,493.0,884.0,1462322968.349
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,420.0,845.0,1462322969.349
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,418.0,859.0,1462322970.349
0.125,0.0,99.374,0.501,0.0,0.0,0.0,45056.0,1580.0,456.0,0.0,0.0,428.0,863.0,1462322971.349
