"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_2500000000_0.35_6_150_teratest_56620e22-e2eb-4e6f-b4ec-f7e3a14f542a.csv",,,,"Date:","01 May 2016 15:58:45 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.677,1.214,79.569,2.402,0.000,0.139,1643541.040,5288228.485,0.0,0.0,2486.737,2329.828,1833.703,2131.330,1462111125.802
0.878,0.125,98.996,0.0,0.0,0.0,0.0,65536.0,11965.0,14895.0,0.0,0.0,649.0,1117.0,1462111126.803
0.0,0.0,100.0,0.0,0.0,0.0,0.0,208896.0,1862.0,3584.0,0.0,0.0,496.0,886.0,1462111127.803
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2268.0,570.0,0.0,0.0,446.0,893.0,1462111128.803
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,418.0,865.0,1462111129.803
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1148.0,342.0,0.0,0.0,423.0,873.0,1462111130.803
0.0,0.0,99.875,0.125,0.0,0.0,0.0,73728.0,2140.0,570.0,0.0,0.0,464.0,926.0,1462111131.803
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,1772.0,456.0,0.0,0.0,437.0,900.0,1462111132.803
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,420.0,855.0,1462111133.803
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2140.0,570.0,0.0,0.0,436.0,882.0,1462111134.803
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1580.0,802.0,0.0,0.0,425.0,882.0,1462111135.803
