"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_300000000_0.35_6_150_teratest_1040bf7b-9a45-4c25-89dd-c5556ef84e67.csv",,,,"Date:","09 May 2016 14:54:26 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.985,1.184,80.101,2.593,0.000,0.137,1741126.112,5403412.130,0.0,0.0,2804.269,2696.570,1819.488,2119.216,1462798466.693
0.874,0.125,98.752,0.250,0.0,0.0,0.0,0.0,8326.0,9018.0,0.0,0.0,644.0,1065.0,1462798467.694
0.0,0.0,99.749,0.251,0.0,0.0,0.0,61440.0,5680.0,8918.0,0.0,0.0,488.0,915.0,1462798468.694
0.125,0.0,98.127,1.748,0.0,0.0,0.0,4096.0,2249.0,565.0,0.0,0.0,495.0,942.0,1462798469.694
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1780.0,452.0,0.0,0.0,497.0,926.0,1462798470.694
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1259.0,339.0,0.0,0.0,483.0,907.0,1462798471.694
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2313.0,565.0,0.0,0.0,502.0,940.0,1462798472.694
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,1754.0,452.0,0.0,0.0,471.0,900.0,1462798473.694
0.0,0.0,99.499,0.501,0.0,0.0,0.0,4096.0,1067.0,339.0,0.0,0.0,492.0,937.0,1462798474.694
0.125,0.0,99.875,0.0,0.0,0.0,0.0,1622016.0,2185.0,565.0,0.0,0.0,484.0,905.0,1462798475.694
0.0,0.0,98.496,1.504,0.0,0.0,2211840.0,0.0,1818.0,452.0,0.0,0.0,566.0,1038.0,1462798476.694
0.0,0.125,98.373,1.502,0.0,0.0,831488.0,0.0,1387.0,339.0,0.0,0.0,627.0,1058.0,1462798477.694
0.125,0.0,99.625,0.250,0.0,0.0,0.0,53248.0,2662.0,731.0,0.0,0.0,497.0,943.0,1462798478.694
0.0,0.0,98.623,1.377,0.0,0.0,0.0,4096.0,1690.0,798.0,0.0,0.0,474.0,912.0,1462798479.694
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,1067.0,339.0,0.0,0.0,516.0,956.0,1462798480.694
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2505.0,565.0,0.0,0.0,482.0,905.0,1462798481.693
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1754.0,452.0,0.0,0.0,469.0,902.0,1462798482.694
0.0,0.0,99.750,0.250,0.0,0.0,0.0,28672.0,1195.0,339.0,0.0,0.0,520.0,954.0,1462798483.694
0.125,0.0,98.373,1.502,0.0,0.0,0.0,4096.0,2313.0,565.0,0.0,0.0,498.0,947.0,1462798484.694
0.0,0.0,100.0,0.0,0.0,0.0,0.0,98304.0,1690.0,452.0,0.0,0.0,523.0,933.0,1462798485.694
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1259.0,339.0,0.0,0.0,482.0,898.0,1462798486.694
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2441.0,565.0,0.0,0.0,490.0,923.0,1462798487.694
0.125,0.125,99.501,0.250,0.0,0.0,0.0,40960.0,1818.0,452.0,0.0,0.0,538.0,977.0,1462798488.694
0.0,0.0,99.875,0.125,0.0,0.0,0.0,4096.0,1323.0,339.0,0.0,0.0,491.0,930.0,1462798489.694
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2313.0,565.0,0.0,0.0,480.0,916.0,1462798490.694
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1754.0,452.0,0.0,0.0,475.0,900.0,1462798491.694
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1259.0,339.0,0.0,0.0,497.0,934.0,1462798492.694
0.125,0.0,99.750,0.125,0.0,0.0,0.0,12288.0,2377.0,565.0,0.0,0.0,498.0,937.0,1462798493.694
0.125,0.0,99.750,0.125,0.0,0.0,0.0,4096.0,1754.0,452.0,0.0,0.0,490.0,939.0,1462798494.694
0.0,0.0,100.0,0.0,0.0,0.0,0.0,184320.0,1195.0,339.0,0.0,0.0,549.0,904.0,1462798495.694
0.375,0.0,99.0,0.625,0.0,0.0,0.0,16384.0,2377.0,565.0,0.0,0.0,677.0,1123.0,1462798496.694
11.264,1.502,86.984,0.250,0.0,0.0,4096.0,0.0,188616.0,4979.0,0.0,0.0,1991.0,1862.0,1462798497.694
22.180,1.003,76.692,0.125,0.0,0.0,0.0,221184.0,2267.0,685.0,0.0,0.0,1721.0,1392.0,1462798498.694
3.745,0.125,95.381,0.749,0.0,0.0,0.0,4096.0,2501.0,952.0,0.0,0.0,594.0,975.0,1462798499.694
7.268,0.376,91.980,0.251,0.0,0.125,28672.0,954368.0,1996.0,611.0,0.0,0.0,1093.0,1143.0,1462798500.694
17.064,0.878,81.807,0.251,0.0,0.0,86016.0,405504.0,1118.0,415.0,0.0,0.0,1822.0,2100.0,1462798501.694
30.886,1.392,67.089,0.506,0.0,0.127,0.0,12288.0,2361.0,565.0,0.0,0.0,6708.0,7634.0,1462798502.694
