"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_500000000_0.35_12_100_teratest_f1285eee-59d4-49e3-899f-04c7819adaee.csv",,,,"Date:","10 May 2016 13:13:07 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.930,1.184,80.141,2.607,0.000,0.138,1743697.465,5448419.711,0.0,0.0,2800.941,2716.995,1823.632,2122.904,1462878787.127
0.624,0.125,99.251,0.0,0.0,0.0,0.0,0.0,5230.0,6124.0,0.0,0.0,591.0,1020.0,1462878788.128
0.876,0.0,99.124,0.0,0.0,0.0,0.0,0.0,9878.0,10726.0,0.0,0.0,608.0,988.0,1462878789.128
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1925.0,1853.0,0.0,0.0,514.0,951.0,1462878790.128
0.0,0.0,97.494,2.506,0.0,0.0,0.0,65536.0,1115.0,339.0,0.0,0.0,472.0,905.0,1462878791.128
0.375,0.0,98.876,0.749,0.0,0.0,98304.0,1712128.0,3703.0,1371.0,98304.0,0.0,682.0,1155.0,1462878792.128
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1115.0,339.0,0.0,0.0,475.0,912.0,1462878793.128
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1115.0,339.0,0.0,0.0,461.0,889.0,1462878794.128
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2792.0,824.0,0.0,0.0,510.0,940.0,1462878795.128
0.250,0.0,97.878,1.873,0.0,0.0,0.0,81920.0,1255.0,479.0,0.0,0.0,521.0,978.0,1462878796.128
0.0,0.0,100.0,0.0,0.0,0.0,0.0,274432.0,1115.0,339.0,0.0,0.0,468.0,904.0,1462878797.128
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2856.0,678.0,0.0,0.0,496.0,920.0,1462878798.128
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1115.0,339.0,0.0,0.0,553.0,1037.0,1462878799.128
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1179.0,339.0,0.0,0.0,489.0,945.0,1462878800.128
0.0,0.0,98.0,2.0,0.0,0.0,0.0,45056.0,2728.0,678.0,0.0,0.0,501.0,937.0,1462878801.128
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1115.0,339.0,0.0,0.0,471.0,914.0,1462878802.128
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,461.0,893.0,1462878803.128
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2920.0,678.0,0.0,0.0,495.0,931.0,1462878804.128
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1307.0,339.0,0.0,0.0,486.0,936.0,1462878805.128
0.0,0.125,99.500,0.375,0.0,0.0,0.0,16384.0,1307.0,339.0,0.0,0.0,487.0,939.0,1462878806.128
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2856.0,678.0,0.0,0.0,510.0,949.0,1462878807.128
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1243.0,339.0,0.0,0.0,480.0,926.0,1462878808.128
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1243.0,339.0,0.0,0.0,465.0,907.0,1462878809.128
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2792.0,678.0,0.0,0.0,495.0,937.0,1462878810.128
0.125,0.0,99.499,0.375,0.0,0.0,0.0,16384.0,987.0,339.0,0.0,0.0,498.0,956.0,1462878811.128
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,481.0,921.0,1462878812.128
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2664.0,678.0,0.0,0.0,482.0,909.0,1462878813.128
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,453.0,884.0,1462878814.128
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,475.0,926.0,1462878815.128
0.0,0.0,99.625,0.375,0.0,0.0,0.0,16384.0,2856.0,678.0,0.0,0.0,499.0,947.0,1462878816.128
0.0,0.125,99.250,0.625,0.0,0.0,4096.0,176128.0,987.0,339.0,0.0,0.0,537.0,917.0,1462878817.128
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,484.0,939.0,1462878818.128
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2792.0,678.0,0.0,0.0,509.0,943.0,1462878819.128
8.166,0.879,87.688,3.266,0.0,0.0,1409024.0,0.0,1051.0,339.0,0.0,0.0,1432.0,1828.0,1462878820.128
18.045,1.504,78.822,1.629,0.0,0.0,45056.0,180224.0,1127.0,639.0,0.0,0.0,1500.0,1328.0,1462878821.128
26.098,1.380,72.271,0.251,0.0,0.0,81920.0,1150976.0,3117.0,924.0,0.0,0.0,2371.0,1526.0,1462878822.128
29.389,1.145,68.193,1.018,0.0,0.254,14848000.0,4096.0,959643.0,12023.0,0.0,0.0,3870.0,4719.0,1462878823.128
19.697,0.631,78.662,0.884,0.0,0.126,9273344.0,8192.0,7680727.0,43231.0,0.0,0.0,3726.0,3648.0,1462878824.128
11.625,0.625,83.375,4.250,0.0,0.125,184320.0,86016.0,14901.0,553775.0,0.0,0.0,1986.0,2579.0,1462878825.128
5.875,0.625,90.875,2.500,0.0,0.125,294912.0,184320.0,11416.0,110897.0,0.0,0.0,1745.0,2270.0,1462878826.128
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1221.0,409.0,0.0,0.0,524.0,987.0,1462878827.128
0.125,0.125,99.750,0.0,0.0,0.0,0.0,274432.0,6072.0,291000.0,0.0,0.0,608.0,1044.0,1462878828.128
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2991.0,1336.0,0.0,0.0,547.0,996.0,1462878829.128
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2472.0,1103.0,0.0,0.0,536.0,981.0,1462878830.128
0.0,0.125,99.374,0.501,0.0,0.0,0.0,45056.0,3810.0,2745.0,0.0,0.0,547.0,1014.0,1462878831.128
0.250,0.125,99.0,0.625,0.0,0.0,0.0,565248.0,1534.0,793.0,0.0,0.0,689.0,1073.0,1462878832.128
0.250,0.0,99.124,0.626,0.0,0.0,0.0,16384.0,5550.0,2907.0,0.0,0.0,626.0,1097.0,1462878833.128
0.625,0.125,99.125,0.125,0.0,0.0,16384.0,0.0,5158.0,2530.0,0.0,0.0,645.0,1184.0,1462878834.128
36.755,7.224,55.133,0.760,0.0,0.127,61440.0,0.0,38266.0,30584.0,0.0,0.0,5359.0,7090.0,1462878835.128
93.992,6.008,0.0,0.0,0.0,0.0,0.0,540672.0,6028.0,6515.0,0.0,0.0,2657.0,3124.0,1462878836.128
97.253,2.622,0.0,0.0,0.0,0.125,0.0,0.0,4566.0,1531.0,0.0,0.0,2573.0,3105.0,1462878837.128
94.625,5.375,0.0,0.0,0.0,0.0,77824.0,0.0,6607.0,3510.0,0.0,0.0,2918.0,2853.0,1462878838.128
93.734,4.261,0.877,1.128,0.0,0.0,274432.0,0.0,4181.0,2401.0,0.0,0.0,3355.0,2582.0,1462878839.128
92.085,5.276,1.884,0.754,0.0,0.0,139264.0,0.0,11824.0,10696.0,0.0,0.0,3195.0,3349.0,1462878840.128
95.875,4.0,0.0,0.0,0.0,0.125,0.0,180224.0,2270.0,1079.0,0.0,0.0,3204.0,5221.0,1462878841.128
97.750,2.250,0.0,0.0,0.0,0.0,4096.0,1081344.0,6875.0,11246.0,0.0,0.0,3320.0,6192.0,1462878842.128
95.232,4.517,0.251,0.0,0.0,0.0,8192.0,1257472.0,11677.0,66122.0,0.0,0.0,3083.0,3973.0,1462878843.128
84.981,14.143,0.501,0.125,0.0,0.250,23556096.0,0.0,0.0,0.0,0.0,0.0,4103.0,4388.0,1462878844.128
96.0,3.500,0.0,0.0,0.0,0.500,40673280.0,0.0,20158.0,198051.0,0.0,0.0,4863.0,10929.0,1462878845.128
72.201,6.415,7.799,12.075,0.0,1.509,73383936.0,282624.0,414516.0,10837.0,0.0,0.0,7283.0,13484.0,1462878846.127
73.962,2.013,11.195,12.201,0.0,0.629,80367616.0,0.0,3968.0,3690.0,0.0,0.0,4545.0,3172.0,1462878847.128
88.553,3.648,2.013,5.283,0.0,0.503,52822016.0,0.0,3680.0,2866.0,0.0,0.0,4057.0,2973.0,1462878848.128
88.0,11.875,0.0,0.0,0.0,0.125,0.0,4096.0,13910.0,4834.0,0.0,0.0,2816.0,2356.0,1462878849.128
67.920,10.902,21.053,0.0,0.0,0.125,4096.0,0.0,14240.0,18986.0,0.0,0.0,3335.0,5661.0,1462878850.128
40.527,10.916,47.679,0.878,0.0,0.0,0.0,176128.0,17282.0,9126.0,0.0,0.0,3473.0,3505.0,1462878851.127
57.305,4.660,37.909,0.0,0.0,0.126,0.0,0.0,21072.0,9873.0,0.0,0.0,3921.0,3632.0,1462878852.128
92.182,5.296,2.522,0.0,0.0,0.0,0.0,0.0,14592.0,6942.0,0.0,0.0,4329.0,2837.0,1462878853.128
94.994,4.756,0.125,0.0,0.0,0.125,0.0,0.0,5277.0,3844.0,0.0,0.0,3144.0,3053.0,1462878854.128
96.871,3.129,0.0,0.0,0.0,0.0,0.0,0.0,6057.0,2345.0,0.0,0.0,3150.0,2750.0,1462878855.128
96.010,3.865,0.0,0.0,0.0,0.125,0.0,425984.0,6025.0,5056.0,0.0,0.0,3040.0,4009.0,1462878856.128
95.125,4.875,0.0,0.0,0.0,0.0,0.0,913408.0,5179.0,4507.0,0.0,0.0,3495.0,2731.0,1462878857.128
94.243,5.382,0.0,0.0,0.0,0.375,4096.0,70049792.0,16049.0,66796.0,0.0,0.0,3578.0,5744.0,1462878858.128
97.121,2.879,0.0,0.0,0.0,0.0,0.0,0.0,5605.0,14375.0,0.0,0.0,2927.0,3575.0,1462878859.127
91.625,8.0,0.0,0.0,0.0,0.375,0.0,0.0,8077.0,33863.0,0.0,0.0,4757.0,8798.0,1462878860.128
96.005,3.745,0.125,0.0,0.0,0.125,0.0,212992.0,155158.0,12359.0,0.0,0.0,3490.0,4443.0,1462878861.128
91.011,8.240,0.125,0.0,0.0,0.624,0.0,0.0,9225.0,43823.0,0.0,0.0,4733.0,9509.0,1462878862.128
93.750,5.375,0.250,0.0,0.0,0.625,4096.0,90243072.0,5811.0,5235.0,0.0,0.0,3769.0,7647.0,1462878863.128
89.862,9.011,0.0,0.0,0.0,1.126,8192.0,128585728.0,14312.0,143854.0,0.0,0.0,3976.0,8374.0,1462878864.128
78.974,7.134,6.633,7.009,0.0,0.250,8192.0,113397760.0,6145.0,5547.0,0.0,0.0,3044.0,2380.0,1462878865.128
74.969,10.314,10.063,4.277,0.0,0.377,4096.0,115597312.0,17594.0,11208.0,0.0,0.0,3774.0,4165.0,1462878866.128
73.864,12.374,12.247,1.515,0.0,0.0,0.0,42037248.0,7871.0,5792.0,0.0,0.0,4253.0,4083.0,1462878867.128
63.065,7.286,29.523,0.0,0.0,0.126,0.0,0.0,23308.0,14088.0,0.0,0.0,5094.0,4319.0,1462878868.128
91.457,4.523,3.894,0.0,0.0,0.126,0.0,0.0,15380.0,8913.0,0.0,0.0,3924.0,2591.0,1462878869.128
95.870,4.130,0.0,0.0,0.0,0.0,0.0,0.0,5097.0,1589.0,0.0,0.0,3497.0,4071.0,1462878870.128
95.375,4.500,0.125,0.0,0.0,0.0,0.0,516096.0,5819.0,12670.0,0.0,0.0,3265.0,3151.0,1462878871.128
94.250,5.625,0.0,0.0,0.0,0.125,0.0,0.0,6883.0,5451.0,0.0,0.0,3231.0,3019.0,1462878872.128
96.125,3.625,0.0,0.0,0.0,0.250,0.0,0.0,14281.0,57864.0,0.0,0.0,3011.0,3097.0,1462878873.128
93.492,5.882,0.0,0.0,0.0,0.626,0.0,0.0,8281.0,24291.0,0.0,0.0,4399.0,10502.0,1462878874.128
96.879,2.871,0.125,0.0,0.0,0.125,0.0,0.0,134389.0,120237.0,0.0,0.0,3203.0,2727.0,1462878875.128
94.750,5.0,0.0,0.0,0.0,0.250,0.0,139264.0,9879.0,115346.0,0.0,0.0,3143.0,5420.0,1462878876.128
92.616,7.134,0.0,0.0,0.0,0.250,0.0,0.0,6065.0,20885.0,0.0,0.0,3248.0,3976.0,1462878877.128
