"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_600000000_0.35_12_100_teratest_2e46de8b-2ef7-49a1-8e93-42e4b76328b6.csv",,,,"Date:","10 May 2016 15:29:18 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.929,1.185,80.137,2.611,0.000,0.138,1746410.863,5457580.292,0.0,0.0,2800.061,2716.755,1825.119,2124.117,1462886958.806
0.999,0.125,98.876,0.0,0.0,0.0,0.0,0.0,4228.0,4610.0,0.0,0.0,623.0,1046.0,1462886959.807
0.500,0.125,99.125,0.250,0.0,0.0,28672.0,0.0,8725.0,10553.0,28672.0,0.0,626.0,1049.0,1462886960.807
0.0,0.0,97.494,2.506,0.0,0.0,0.0,65536.0,3850.0,3574.0,0.0,0.0,476.0,900.0,1462886961.807
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1179.0,749.0,0.0,0.0,473.0,911.0,1462886962.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,502.0,936.0,1462886963.807
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2728.0,678.0,0.0,0.0,476.0,902.0,1462886964.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,473.0,915.0,1462886965.807
0.125,0.0,99.251,0.624,0.0,0.0,0.0,24576.0,987.0,339.0,0.0,0.0,507.0,949.0,1462886966.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,2064384.0,2728.0,678.0,0.0,0.0,499.0,919.0,1462886967.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1115.0,339.0,0.0,0.0,468.0,908.0,1462886968.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1115.0,339.0,0.0,0.0,487.0,929.0,1462886969.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2664.0,1024.0,0.0,0.0,494.0,937.0,1462886970.807
0.125,0.0,97.497,2.378,0.0,0.0,0.0,61440.0,1243.0,339.0,0.0,0.0,562.0,1066.0,1462886971.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1243.0,339.0,0.0,0.0,493.0,920.0,1462886972.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2728.0,678.0,0.0,0.0,486.0,918.0,1462886973.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,466.0,896.0,1462886974.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1243.0,339.0,0.0,0.0,499.0,928.0,1462886975.807
0.125,0.0,99.625,0.250,0.0,0.0,0.0,16384.0,2920.0,678.0,0.0,0.0,490.0,950.0,1462886976.807
0.0,0.125,99.500,0.375,0.0,0.0,0.0,344064.0,1179.0,339.0,0.0,0.0,564.0,933.0,1462886977.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,485.0,917.0,1462886978.807
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2728.0,678.0,0.0,0.0,481.0,947.0,1462886979.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,468.0,919.0,1462886980.807
0.125,0.0,99.250,0.625,0.0,0.0,0.0,45056.0,1051.0,339.0,0.0,0.0,480.0,922.0,1462886981.807
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2728.0,678.0,0.0,0.0,428.0,867.0,1462886982.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,440.0,880.0,1462886983.807
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1115.0,339.0,0.0,0.0,458.0,906.0,1462886984.807
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2856.0,678.0,0.0,0.0,430.0,871.0,1462886985.807
