"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_800000000_0.35_24_100_teratest_1ea8ced7-94d6-495c-a336-fe6d18328fe6.csv",,,,"Date:","03 May 2016 12:01:34 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.507,1.205,79.710,2.440,0.000,0.138,1667198.913,5312663.740,0.0,0.0,2522.266,2421.719,1829.778,2127.506,1462269694.964
0.500,0.125,99.125,0.250,0.0,0.0,0.0,0.0,5847.0,7303.0,0.0,0.0,594.0,1015.0,1462269695.965
0.501,0.0,97.497,2.003,0.0,0.0,0.0,53248.0,5917.0,6579.0,0.0,0.0,561.0,991.0,1462269696.965
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,456.0,886.0,1462269697.965
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,464.0,915.0,1462269698.965
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,459.0,896.0,1462269699.965
0.125,0.0,99.875,0.0,0.0,0.0,0.0,20480.0,1580.0,456.0,0.0,0.0,453.0,873.0,1462269700.965
0.0,0.0,97.997,2.003,0.0,0.0,0.0,36864.0,1580.0,456.0,0.0,0.0,456.0,892.0,1462269701.965
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,487.0,944.0,1462269702.965
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,481.0,912.0,1462269703.965
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,468.0,904.0,1462269704.965
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,465.0,907.0,1462269705.965
0.250,0.125,98.876,0.749,0.0,0.0,0.0,20480.0,1708.0,456.0,0.0,0.0,483.0,934.0,1462269706.965
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,470.0,912.0,1462269707.965
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,1580.0,456.0,0.0,0.0,497.0,951.0,1462269708.965
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,498.0,931.0,1462269709.965
0.376,0.0,99.624,0.0,0.0,0.0,0.0,233472.0,1580.0,456.0,0.0,0.0,551.0,935.0,1462269710.965
0.500,0.0,97.500,2.0,0.0,0.0,0.0,20480.0,1644.0,456.0,0.0,0.0,522.0,985.0,1462269711.965
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1772.0,456.0,0.0,0.0,464.0,887.0,1462269712.965
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,443.0,860.0,1462269713.965
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,455.0,884.0,1462269714.965
0.0,0.0,99.374,0.626,0.0,0.0,4096.0,0.0,1644.0,456.0,4096.0,0.0,515.0,993.0,1462269715.965
0.125,0.0,97.875,2.0,0.0,0.0,0.0,24576.0,1644.0,456.0,0.0,0.0,461.0,893.0,1462269716.965
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,461.0,909.0,1462269717.965
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1644.0,456.0,0.0,0.0,442.0,876.0,1462269718.965
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,456.0,905.0,1462269719.965
0.125,0.0,99.875,0.0,0.0,0.0,0.0,77824.0,1580.0,456.0,0.0,0.0,495.0,898.0,1462269720.965
0.0,0.0,98.123,1.877,0.0,0.0,0.0,32768.0,1580.0,456.0,0.0,0.0,447.0,871.0,1462269721.965
