"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_800000000_0.35_6_100_teratest_ed278c92-ce9b-46c2-a8d8-3c08248dcf9c.csv",,,,"Date:","03 May 2016 13:54:57 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.512,1.207,79.691,2.452,0.000,0.138,1674714.109,5330083.294,0.0,0.0,2648.949,2423.667,1832.564,2130.005,1462276497.018
0.376,0.125,99.248,0.251,0.0,0.0,0.0,516096.0,5435.0,6613.0,0.0,0.0,536.0,966.0,1462276498.019
0.375,0.125,99.500,0.0,0.0,0.0,0.0,0.0,5991.0,6169.0,0.0,0.0,550.0,980.0,1462276499.019
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,463.0,918.0,1462276500.019
0.125,0.0,97.250,2.625,0.0,0.0,0.0,81920.0,1084.0,342.0,0.0,0.0,475.0,944.0,1462276501.019
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2332.0,570.0,0.0,0.0,473.0,912.0,1462276502.019
0.0,0.0,100.0,0.0,0.0,0.0,0.0,405504.0,1708.0,456.0,0.0,0.0,591.0,887.0,1462276503.019
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,1020.0,342.0,0.0,0.0,443.0,886.0,1462276504.019
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2268.0,570.0,0.0,0.0,486.0,933.0,1462276505.019
0.0,0.0,98.373,1.627,0.0,0.0,0.0,45056.0,2084.0,614.0,0.0,0.0,467.0,936.0,1462276506.019
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1276.0,342.0,0.0,0.0,442.0,883.0,1462276507.019
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,468.0,922.0,1462276508.019
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1734.0,456.0,0.0,0.0,455.0,908.0,1462276509.019
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1212.0,432.0,0.0,0.0,438.0,881.0,1462276510.019
0.0,0.0,99.499,0.501,0.0,0.0,0.0,20480.0,2332.0,570.0,0.0,0.0,479.0,934.0,1462276511.019
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1926.0,456.0,0.0,0.0,467.0,917.0,1462276512.019
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1212.0,342.0,0.0,0.0,455.0,889.0,1462276513.019
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2332.0,570.0,0.0,0.0,445.0,891.0,1462276514.019
