"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_800000000_0.35_6_150_teratest_a6c76e74-1838-43cb-b250-3c8d74c933f0.csv",,,,"Date:","03 May 2016 15:06:30 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.515,1.208,79.674,2.465,0.000,0.139,1682394.652,5343804.458,0.0,0.0,2650.235,2422.756,1834.284,2131.537,1462280790.377
0.999,0.250,97.878,0.874,0.0,0.0,0.0,585728.0,8818.0,10580.0,0.0,0.0,681.0,1055.0,1462280791.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6185.0,7679.0,0.0,0.0,573.0,1058.0,1462280792.378
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1148.0,342.0,0.0,0.0,480.0,935.0,1462280793.378
0.125,0.125,98.502,1.248,0.0,0.0,0.0,102400.0,2204.0,570.0,0.0,0.0,491.0,932.0,1462280794.378
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,506.0,934.0,1462280795.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1020.0,342.0,0.0,0.0,495.0,957.0,1462280796.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2204.0,570.0,0.0,0.0,485.0,914.0,1462280797.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1708.0,456.0,0.0,0.0,474.0,920.0,1462280798.378
0.125,0.0,99.750,0.125,0.0,0.0,0.0,24576.0,1148.0,342.0,0.0,0.0,498.0,960.0,1462280799.378
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2396.0,570.0,0.0,0.0,485.0,923.0,1462280800.378
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2028.0,456.0,0.0,0.0,474.0,903.0,1462280801.378
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1276.0,342.0,0.0,0.0,483.0,939.0,1462280802.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2396.0,570.0,0.0,0.0,468.0,895.0,1462280803.378
0.125,0.0,99.124,0.751,0.0,0.0,0.0,20480.0,1772.0,456.0,0.0,0.0,499.0,955.0,1462280804.378
0.125,0.0,99.875,0.0,0.0,0.0,0.0,307200.0,1596.0,342.0,0.0,0.0,584.0,946.0,1462280805.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3049.0,570.0,0.0,0.0,479.0,916.0,1462280806.378
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,1900.0,456.0,0.0,0.0,476.0,901.0,1462280807.378
