"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_99840000_400000000_0.35_6.csv",,,,"Date:","23 Mar 2016 23:43:09 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
21.012,1.334,75.911,1.624,0.000,0.119,1432450.314,4202841.495,0.0,0.0,1198.001,1218.314,1753.400,2056.615,1458772989.980
0.502,0.125,72.020,27.353,0.0,0.0,3280896.0,12582912.0,9779.0,11971.0,0.0,0.0,1936.0,3354.0,1458772990.981
0.0,0.376,76.441,23.183,0.0,0.0,3223552.0,17301504.0,1967.0,1843.0,0.0,0.0,1994.0,3485.0,1458772991.981
0.0,0.251,76.035,23.714,0.0,0.0,3407872.0,21454848.0,1647.0,459.0,0.0,0.0,2112.0,3614.0,1458772992.981
0.125,0.125,74.937,24.812,0.0,0.0,1437696.0,13107200.0,2207.0,573.0,0.0,0.0,1243.0,2048.0,1458772993.981
0.0,0.250,75.500,24.250,0.0,0.0,704512.0,22089728.0,1087.0,345.0,0.0,0.0,939.0,1628.0,1458772994.981
0.0,0.125,76.441,23.434,0.0,0.0,1388544.0,23592960.0,1711.0,459.0,0.0,0.0,1245.0,2139.0,1458772995.981
0.125,0.375,76.529,22.971,0.0,0.0,1695744.0,8912896.0,2207.0,573.0,0.0,0.0,1303.0,2314.0,1458772996.981
0.0,0.126,76.604,23.270,0.0,0.0,3850240.0,9437184.0,1151.0,345.0,0.0,0.0,2305.0,4066.0,1458772997.981
0.126,0.377,76.382,23.116,0.0,0.0,7176192.0,19099648.0,1839.0,459.0,0.0,0.0,3826.0,6667.0,1458772998.981
0.0,0.250,76.596,23.029,0.0,0.125,3231744.0,22007808.0,2399.0,573.0,0.0,0.0,2043.0,3477.0,1458772999.981
0.125,0.0,73.024,26.851,0.0,0.0,2293760.0,12644352.0,1215.0,345.0,0.0,0.0,1551.0,2728.0,1458773000.981
0.125,0.501,75.720,23.655,0.0,0.0,4374528.0,18874368.0,1839.0,459.0,0.0,0.0,2604.0,4493.0,1458773001.981
0.0,0.125,80.100,19.775,0.0,0.0,610304.0,12058624.0,2271.0,573.0,0.0,0.0,866.0,1522.0,1458773002.981
0.0,0.125,76.190,23.684,0.0,0.0,610304.0,14680064.0,1279.0,345.0,0.0,0.0,899.0,1533.0,1458773003.981
0.125,0.0,75.845,24.030,0.0,0.0,479232.0,21196800.0,1583.0,459.0,0.0,0.0,827.0,1386.0,1458773004.981
0.0,0.125,78.195,21.679,0.0,0.0,663552.0,13406208.0,2271.0,573.0,0.0,0.0,985.0,1684.0,1458773005.981
0.0,0.376,81.704,17.794,0.0,0.125,5492736.0,11530240.0,1023.0,345.0,0.0,0.0,3080.0,5342.0,1458773006.981
0.125,0.502,83.563,15.809,0.0,0.0,6803456.0,14155776.0,1583.0,459.0,0.0,0.0,3742.0,6522.0,1458773007.981
