"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/4_1048576_200000000_0.5.csv",,,,"Date:","16 Feb 2016 11:34:29 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.074,1.243,78.093,0.525,0.000,0.064,375138.423,1436449.197,0.0,0.0,319.829,533.767,1359.545,1647.906,1455618869.572
0.375,0.0,99.126,0.499,0.0,0.0,32768.0,0.0,2980.0,3171.0,0.0,0.0,554.0,995.0,1455618870.573
0.375,0.0,98.125,1.500,0.0,0.0,0.0,212992.0,2956.0,678.0,0.0,0.0,629.0,1137.0,1455618871.573
0.374,0.0,99.626,0.0,0.0,0.0,0.0,0.0,1084.0,339.0,0.0,0.0,489.0,944.0,1455618872.573
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,1084.0,339.0,0.0,0.0,544.0,1013.0,1455618873.573
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2828.0,678.0,0.0,0.0,550.0,1015.0,1455618874.572
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,1084.0,339.0,0.0,0.0,742.0,1333.0,1455618875.573
0.250,0.0,99.625,0.125,0.0,0.0,0.0,102400.0,1084.0,339.0,0.0,0.0,757.0,1297.0,1455618876.573
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,2700.0,678.0,0.0,0.0,748.0,1327.0,1455618877.573
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1084.0,339.0,0.0,0.0,449.0,886.0,1455618878.573
0.0,0.250,99.750,0.0,0.0,0.0,0.0,0.0,1148.0,339.0,0.0,0.0,438.0,864.0,1455618879.573
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2956.0,678.0,0.0,0.0,515.0,975.0,1455618880.573
