"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_67108864_1500000000_0.35_24_400.csv",,,,"Date:","11 Apr 2016 04:11:06 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
19.605,1.405,76.215,2.617,0.000,0.158,1805515.238,5957815.142,0.0,0.0,2528.683,2359.309,2039.509,2313.025,1460340666.324
0.501,0.0,98.872,0.627,0.0,0.0,0.0,18104320.0,6272.0,8267.0,0.0,0.0,640.0,1025.0,1460340667.324
0.375,0.125,99.501,0.0,0.0,0.0,0.0,0.0,5408.0,4553.0,0.0,0.0,510.0,937.0,1460340668.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,1742.0,523.0,0.0,0.0,462.0,881.0,1460340669.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1870.0,523.0,0.0,0.0,440.0,873.0,1460340670.325
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1820.0,587.0,0.0,0.0,441.0,863.0,1460340671.325
0.125,0.125,97.753,1.998,0.0,0.0,0.0,28672.0,1742.0,523.0,0.0,0.0,472.0,918.0,1460340672.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2062.0,523.0,0.0,0.0,481.0,917.0,1460340673.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1870.0,523.0,0.0,0.0,465.0,912.0,1460340674.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1934.0,523.0,0.0,0.0,447.0,878.0,1460340675.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2126.0,523.0,0.0,0.0,466.0,923.0,1460340676.325
0.0,0.0,99.249,0.751,0.0,0.0,0.0,16384.0,1998.0,523.0,0.0,0.0,493.0,961.0,1460340677.325
0.250,0.125,98.625,1.0,0.0,0.0,167936.0,12288.0,2062.0,523.0,163840.0,0.0,584.0,1072.0,1460340678.325
0.125,0.0,99.875,0.0,0.0,0.0,0.0,24576.0,1998.0,523.0,0.0,0.0,472.0,918.0,1460340679.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1998.0,523.0,0.0,0.0,464.0,899.0,1460340680.325
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1948.0,660.0,0.0,0.0,453.0,879.0,1460340681.325
0.125,0.125,97.631,2.120,0.0,0.0,0.0,90112.0,1742.0,523.0,0.0,0.0,487.0,947.0,1460340682.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1742.0,596.0,0.0,0.0,438.0,862.0,1460340683.325
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1742.0,523.0,0.0,0.0,449.0,876.0,1460340684.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1806.0,596.0,0.0,0.0,457.0,893.0,1460340685.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1806.0,523.0,0.0,0.0,437.0,864.0,1460340686.325
0.125,0.0,99.250,0.625,0.0,0.0,0.0,20480.0,1806.0,523.0,0.0,0.0,457.0,883.0,1460340687.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1742.0,523.0,0.0,0.0,451.0,909.0,1460340688.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,98304.0,1742.0,523.0,0.0,0.0,483.0,877.0,1460340689.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1806.0,523.0,0.0,0.0,437.0,872.0,1460340690.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1820.0,587.0,0.0,0.0,454.0,900.0,1460340691.325
0.125,0.0,97.625,2.250,0.0,0.0,0.0,28672.0,2672.0,459.0,0.0,0.0,467.0,931.0,1460340692.325
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1583.0,459.0,0.0,0.0,466.0,910.0,1460340693.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,221184.0,1647.0,459.0,0.0,0.0,533.0,913.0,1460340694.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1583.0,459.0,0.0,0.0,437.0,869.0,1460340695.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1583.0,459.0,0.0,0.0,461.0,898.0,1460340696.325
0.0,0.0,98.248,1.752,0.0,0.0,0.0,20480.0,1583.0,459.0,0.0,0.0,448.0,891.0,1460340697.325
1.128,0.376,94.361,4.135,0.0,0.0,1036288.0,0.0,1839.0,459.0,0.0,0.0,947.0,1440.0,1460340698.325
2.615,0.623,86.800,9.963,0.0,0.0,8613888.0,12288.0,1647.0,459.0,0.0,0.0,1501.0,2196.0,1460340699.325
1.253,0.251,87.218,11.278,0.0,0.0,10252288.0,0.0,1711.0,459.0,0.0,0.0,1234.0,2054.0,1460340700.325
1.255,0.125,87.578,11.041,0.0,0.0,8736768.0,0.0,1967.0,459.0,0.0,0.0,1127.0,1871.0,1460340701.325
5.743,0.874,85.393,7.990,0.0,0.0,3649536.0,77824.0,1903.0,459.0,0.0,0.0,1515.0,1835.0,1460340702.325
14.555,0.627,81.179,3.639,0.0,0.0,1986560.0,0.0,1967.0,459.0,0.0,0.0,1430.0,1531.0,1460340703.325
13.875,0.500,78.375,7.250,0.0,0.0,1744896.0,1077248.0,2292.0,705.0,0.0,0.0,1519.0,1539.0,1460340704.325
13.642,0.751,81.852,3.630,0.0,0.125,6463488.0,0.0,1967.0,459.0,0.0,0.0,1989.0,2349.0,1460340705.325
19.799,0.251,77.068,2.757,0.0,0.125,1679360.0,0.0,1775.0,459.0,98304.0,0.0,1698.0,2241.0,1460340706.325
18.354,0.633,33.291,47.722,0.0,0.0,26001408.0,188416.0,1711.0,459.0,0.0,0.0,4047.0,4622.0,1460340707.325
7.663,0.126,40.704,51.508,0.0,0.0,53972992.0,4096.0,1775.0,459.0,0.0,0.0,1774.0,1588.0,1460340708.325
9.512,0.375,85.357,4.756,0.0,0.0,2420736.0,16384.0,4328.0,2209.0,0.0,0.0,1514.0,2071.0,1460340709.325
14.178,0.251,81.054,4.517,0.0,0.0,1236992.0,73728.0,16155.0,988390.0,0.0,0.0,2211.0,2676.0,1460340710.325
3.371,0.250,95.506,0.874,0.0,0.0,184320.0,0.0,10018.0,246454.0,24576.0,0.0,930.0,1424.0,1460340711.325
0.0,0.0,98.243,1.757,0.0,0.0,0.0,389120.0,4330.0,290432.0,0.0,0.0,596.0,1065.0,1460340712.325
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1685.0,459.0,0.0,0.0,488.0,959.0,1460340713.325
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1621.0,459.0,0.0,0.0,499.0,986.0,1460340714.325
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,4322.0,1991.0,0.0,0.0,576.0,1074.0,1460340715.325
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,4655.0,234180.0,0.0,0.0,600.0,1045.0,1460340716.325
0.125,0.0,96.746,3.129,0.0,0.0,0.0,36864.0,1685.0,459.0,0.0,0.0,505.0,1000.0,1460340717.325
0.752,0.125,98.997,0.125,0.0,0.0,0.0,8192.0,2961.0,1181.0,0.0,0.0,594.0,1093.0,1460340718.325
0.499,0.0,98.379,1.122,0.0,0.0,4096.0,1101824.0,5297.0,2548.0,0.0,0.0,770.0,1146.0,1460340719.325
