"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_100000000_0.35_6_100_teratest_61747906-4957-4c2b-bf52-5c20812a8894.csv",,,,"Date:","27 May 2016 19:28:30 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
0.451,0.046,98.894,0.603,0.000,0.006,260899.906,365828.416,0.0,0.0,22.107,112.720,224.898,312.942,1464370110.301
1.375,0.250,98.375,0.0,0.0,0.0,0.0,0.0,10647.0,14894.0,0.0,0.0,730.0,1155.0,1464370111.302
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,4152.0,3527.0,0.0,0.0,495.0,922.0,1464370112.302
0.0,0.0,99.625,0.375,0.0,0.0,0.0,446464.0,996.0,333.0,0.0,0.0,551.0,876.0,1464370113.302
0.125,0.0,99.499,0.375,0.0,0.0,0.0,77824.0,996.0,679.0,0.0,0.0,484.0,925.0,1464370114.302
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2664.0,663.0,0.0,0.0,463.0,885.0,1464370115.302
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,996.0,333.0,0.0,0.0,462.0,904.0,1464370116.302
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1060.0,333.0,0.0,0.0,474.0,898.0,1464370117.302
0.250,0.0,99.750,0.0,0.0,0.0,0.0,909312.0,2728.0,663.0,0.0,0.0,487.0,914.0,1464370118.302
0.125,0.0,99.625,0.250,0.0,0.0,0.0,36864.0,1060.0,333.0,0.0,0.0,462.0,897.0,1464370119.302
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1060.0,679.0,0.0,0.0,470.0,903.0,1464370120.302
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2664.0,663.0,0.0,0.0,449.0,869.0,1464370121.302
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1124.0,333.0,0.0,0.0,456.0,887.0,1464370122.302
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1300.0,451.0,0.0,0.0,464.0,887.0,1464370123.302
0.250,0.0,99.625,0.125,0.0,0.0,0.0,24576.0,2664.0,663.0,0.0,0.0,468.0,906.0,1464370124.302
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1124.0,397.0,0.0,0.0,448.0,863.0,1464370125.302
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1124.0,397.0,0.0,0.0,479.0,902.0,1464370126.302
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2856.0,727.0,0.0,0.0,436.0,849.0,1464370127.302
0.249,0.125,99.626,0.0,0.0,0.0,0.0,69632.0,1188.0,333.0,0.0,0.0,476.0,877.0,1464370128.302
0.0,0.0,99.624,0.376,0.0,0.0,0.0,28672.0,1124.0,333.0,0.0,0.0,478.0,905.0,1464370129.302
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2792.0,663.0,0.0,0.0,444.0,865.0,1464370130.302
0.125,0.249,99.626,0.0,0.0,0.0,0.0,0.0,1124.0,333.0,0.0,0.0,458.0,877.0,1464370131.302
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1060.0,333.0,0.0,0.0,470.0,898.0,1464370132.302
0.125,0.0,99.875,0.0,0.0,0.0,0.0,28672.0,2728.0,663.0,0.0,0.0,470.0,886.0,1464370133.302
0.0,0.0,99.501,0.375,0.0,0.125,0.0,28672.0,1124.0,333.0,0.0,0.0,474.0,926.0,1464370134.302
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1060.0,333.0,0.0,0.0,481.0,910.0,1464370135.302
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2728.0,663.0,0.0,0.0,484.0,922.0,1464370136.302
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,1252.0,743.0,0.0,0.0,441.0,858.0,1464370137.302
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1060.0,333.0,0.0,0.0,480.0,901.0,1464370138.302
0.125,0.125,99.375,0.375,0.0,0.0,0.0,77824.0,2792.0,663.0,0.0,0.0,536.0,1006.0,1464370139.302
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,996.0,333.0,0.0,0.0,444.0,872.0,1464370140.302
9.285,0.878,89.837,0.0,0.0,0.0,0.0,0.0,1060.0,333.0,0.0,0.0,1783.0,1719.0,1464370141.302
20.150,1.001,78.849,0.0,0.0,0.0,0.0,0.0,2728.0,663.0,0.0,0.0,1408.0,1302.0,1464370142.302
25.407,1.502,72.966,0.125,0.0,0.0,0.0,479232.0,1653.0,879.0,0.0,0.0,1746.0,1437.0,1464370143.302
29.644,1.272,68.448,0.509,0.0,0.127,0.0,929792.0,996.0,679.0,0.0,0.0,4834.0,6148.0,1464370144.302
14.824,0.628,82.789,1.759,0.0,0.0,0.0,69632.0,4758941.0,37034.0,0.0,0.0,2453.0,2415.0,1464370145.302
13.098,1.259,84.635,1.008,0.0,0.0,0.0,32768.0,1298800.0,416343.0,0.0,0.0,2781.0,2936.0,1464370146.302
0.251,0.0,99.749,0.0,0.0,0.0,0.0,274432.0,1147991.0,22441.0,0.0,0.0,877.0,1031.0,1464370147.302
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1144377.0,295882.0,0.0,0.0,817.0,983.0,1464370148.302
0.250,0.125,99.126,0.499,0.0,0.0,0.0,81920.0,1139852.0,5583.0,0.0,0.0,787.0,982.0,1464370149.302
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1140235.0,6049.0,0.0,0.0,862.0,1014.0,1464370150.302
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,1144024.0,8504.0,0.0,0.0,934.0,1013.0,1464370151.302
0.251,0.125,99.122,0.502,0.0,0.0,0.0,8192.0,1140728.0,11489.0,0.0,0.0,1070.0,1068.0,1464370152.302
0.627,0.125,98.747,0.501,0.0,0.0,0.0,589824.0,1126714.0,6805.0,0.0,0.0,1284.0,1129.0,1464370153.302
0.874,0.0,98.752,0.375,0.0,0.0,0.0,110592.0,678150.0,5622.0,0.0,0.0,635.0,1136.0,1464370154.302
46.008,6.337,47.402,0.0,0.0,0.253,0.0,0.0,12174.0,14154.0,0.0,0.0,4733.0,6542.0,1464370155.302
96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,42742.0,117896.0,0.0,0.0,2650.0,3078.0,1464370156.302
96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5248.0,1866.0,0.0,0.0,2630.0,3498.0,1464370157.302
94.750,5.125,0.0,0.0,0.0,0.125,0.0,585728.0,7656.0,1186.0,0.0,0.0,2850.0,2757.0,1464370158.302
84.500,4.125,11.375,0.0,0.0,0.0,0.0,1241088.0,6202.0,3154.0,0.0,0.0,2684.0,2651.0,1464370159.302
11.669,0.878,87.453,0.0,0.0,0.0,0.0,0.0,8352.0,6016.0,0.0,0.0,1573.0,2041.0,1464370160.302
38.018,1.757,60.226,0.0,0.0,0.0,0.0,0.0,5902.0,5168.0,0.0,0.0,2513.0,2598.0,1464370161.302
96.375,3.375,0.250,0.0,0.0,0.0,0.0,0.0,7896.0,1133.0,0.0,0.0,3222.0,3160.0,1464370162.302
96.629,3.246,0.0,0.0,0.0,0.125,0.0,0.0,7105.0,4500.0,0.0,0.0,3325.0,5431.0,1464370163.302
95.113,4.762,0.0,0.0,0.0,0.125,0.0,139264.0,6154.0,9548.0,0.0,0.0,3175.0,4953.0,1464370164.302
91.511,7.865,0.250,0.0,0.0,0.375,0.0,0.0,7971.0,15352.0,0.0,0.0,3716.0,6292.0,1464370165.302
91.729,7.895,0.0,0.0,0.0,0.376,0.0,0.0,15624.0,27268.0,0.0,0.0,4683.0,9339.0,1464370166.302
93.867,5.507,0.0,0.0,0.0,0.626,0.0,0.0,8303.0,18530.0,0.0,0.0,5396.0,12012.0,1464370167.302
93.250,6.0,0.0,0.0,0.0,0.750,0.0,0.0,3521.0,2502.0,0.0,0.0,4367.0,11463.0,1464370168.302
95.880,3.745,0.0,0.0,0.0,0.375,0.0,106496.0,10110.0,3456.0,0.0,0.0,2867.0,6600.0,1464370169.302
92.750,7.0,0.0,0.0,0.0,0.250,0.0,0.0,3429.0,2678.0,0.0,0.0,2736.0,2936.0,1464370170.302
88.611,11.264,0.0,0.0,0.0,0.125,0.0,0.0,2632.0,1664.0,0.0,0.0,2774.0,5088.0,1464370171.302
86.984,12.015,0.626,0.0,0.0,0.375,0.0,0.0,6180.0,5275.0,0.0,0.0,2868.0,8056.0,1464370172.302
88.736,9.887,0.751,0.0,0.0,0.626,0.0,0.0,268782.0,6812.0,0.0,0.0,3670.0,10252.0,1464370173.302
83.354,4.881,5.632,5.382,0.0,0.751,0.0,113426432.0,268833.0,115137.0,0.0,0.0,4099.0,5063.0,1464370174.302
87.234,7.760,2.753,2.253,0.0,0.0,0.0,36339712.0,6736.0,7298.0,0.0,0.0,2746.0,1797.0,1464370175.302
85.0,14.875,0.0,0.0,0.0,0.125,0.0,0.0,4282.0,3328.0,0.0,0.0,2731.0,2390.0,1464370176.302
83.605,16.395,0.0,0.0,0.0,0.0,0.0,0.0,4778.0,2823.0,0.0,0.0,2658.0,2163.0,1464370177.302
83.375,16.500,0.125,0.0,0.0,0.0,0.0,0.0,5069.0,2980.0,0.0,0.0,2637.0,3016.0,1464370178.302
81.750,18.250,0.0,0.0,0.0,0.0,0.0,30007296.0,5225.0,5208.0,0.0,0.0,2695.0,4825.0,1464370179.302
70.050,18.296,7.143,4.135,0.0,0.376,0.0,102776832.0,8310.0,6906.0,0.0,0.0,3193.0,5744.0,1464370180.302
48.055,9.912,27.102,14.429,0.0,0.502,0.0,114851840.0,12943.0,9873.0,0.0,0.0,3260.0,3580.0,1464370181.302
14.518,4.130,60.451,20.776,0.0,0.125,0.0,112209920.0,11522.0,9636.0,0.0,0.0,1941.0,2359.0,1464370182.302
4.020,3.015,82.538,10.302,0.0,0.126,0.0,83910656.0,7551.0,5522.0,0.0,0.0,2108.0,3054.0,1464370183.302
2.125,2.0,95.125,0.625,0.0,0.125,0.0,229376.0,9453.0,7541.0,0.0,0.0,1701.0,2901.0,1464370184.302
0.376,0.0,99.624,0.0,0.0,0.0,0.0,0.0,7483.0,4707.0,0.0,0.0,571.0,1041.0,1464370185.302
4.857,0.498,94.521,0.0,0.0,0.125,0.0,0.0,3691.0,2503.0,0.0,0.0,1474.0,1524.0,1464370186.302
29.161,1.502,69.337,0.0,0.0,0.0,0.0,0.0,13700.0,7234.0,0.0,0.0,2408.0,1804.0,1464370187.302
75.723,4.151,20.126,0.0,0.0,0.0,0.0,0.0,13589.0,9265.0,0.0,0.0,4843.0,3682.0,1464370188.304
94.088,5.535,0.377,0.0,0.0,0.0,0.0,393216.0,19391.0,5062.0,0.0,0.0,3318.0,3665.0,1464370189.302
96.255,3.620,0.0,0.0,0.0,0.125,0.0,4096.0,9298.0,15404.0,0.0,0.0,3122.0,3164.0,1464370190.302
95.500,4.250,0.0,0.0,0.0,0.250,0.0,0.0,7269.0,5690.0,0.0,0.0,3370.0,2878.0,1464370191.302
94.500,5.375,0.0,0.0,0.0,0.125,0.0,0.0,7216.0,12443.0,0.0,0.0,3417.0,4065.0,1464370192.302
95.750,4.125,0.0,0.0,0.0,0.125,0.0,0.0,9032.0,8054.0,0.0,0.0,3521.0,3561.0,1464370193.302
