"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_100000000_0.35_6_100_teratest_c6be7617-b0db-45d5-aff9-efc6b6eca095.csv",,,,"Date:","27 May 2016 19:36:34 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
0.466,0.048,98.875,0.605,0.000,0.006,260753.637,384314.589,0.0,0.0,22.094,112.657,227.738,315.738,1464370594.969
1.128,0.125,98.496,0.251,0.0,0.0,0.0,69632.0,11931.0,17854.0,0.0,0.0,736.0,1180.0,1464370595.970
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1060.0,333.0,0.0,0.0,463.0,893.0,1464370596.970
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2664.0,663.0,0.0,0.0,487.0,908.0,1464370597.970
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1060.0,333.0,0.0,0.0,456.0,878.0,1464370598.970
0.125,0.0,99.875,0.0,0.0,0.0,0.0,790528.0,1060.0,333.0,0.0,0.0,464.0,889.0,1464370599.970
0.250,0.0,99.376,0.375,0.0,0.0,0.0,40960.0,2818.0,1009.0,0.0,0.0,505.0,948.0,1464370600.970
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1150.0,423.0,0.0,0.0,456.0,888.0,1464370601.970
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1060.0,333.0,0.0,0.0,449.0,874.0,1464370602.970
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2994.0,781.0,0.0,0.0,474.0,898.0,1464370603.970
0.125,0.125,99.750,0.0,0.0,0.0,0.0,630784.0,1214.0,333.0,0.0,0.0,561.0,903.0,1464370604.970
0.0,0.125,99.750,0.125,0.0,0.0,0.0,45056.0,996.0,333.0,0.0,0.0,470.0,918.0,1464370605.970
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2664.0,663.0,0.0,0.0,468.0,879.0,1464370606.970
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1060.0,333.0,0.0,0.0,450.0,881.0,1464370607.970
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1124.0,333.0,0.0,0.0,482.0,941.0,1464370608.970
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2664.0,663.0,0.0,0.0,489.0,918.0,1464370609.970
0.125,0.0,99.500,0.375,0.0,0.0,0.0,16384.0,996.0,333.0,0.0,0.0,475.0,918.0,1464370610.970
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,996.0,333.0,0.0,0.0,519.0,978.0,1464370611.970
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3330.0,805.0,0.0,0.0,501.0,935.0,1464370612.970
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1252.0,333.0,0.0,0.0,455.0,887.0,1464370613.970
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1188.0,679.0,0.0,0.0,467.0,910.0,1464370614.970
