"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_100000000_0.35_6_100_teratest_efb10d18-a3a2-49fe-9a8c-e2c6a750781d.csv",,,,"Date:","27 May 2016 18:15:11 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
0.426,0.043,98.923,0.603,0.000,0.005,262234.874,339901.665,0.0,0.0,22.043,113.298,219.095,306.196,1464365711.053
1.375,0.250,98.375,0.0,0.0,0.0,0.0,0.0,12056.0,17478.0,0.0,0.0,735.0,1226.0,1464365712.054
0.499,0.125,99.126,0.250,0.0,0.0,0.0,12288.0,2588.0,1134.0,0.0,0.0,673.0,1173.0,1464365713.054
0.0,0.0,99.749,0.251,0.0,0.0,0.0,131072.0,2233.0,643.0,0.0,0.0,478.0,896.0,1464365714.054
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1361.0,451.0,0.0,0.0,471.0,906.0,1464365715.054
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1549.0,514.0,0.0,0.0,502.0,943.0,1464365716.054
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2329.0,764.0,0.0,0.0,473.0,911.0,1464365717.054
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1057.0,333.0,0.0,0.0,490.0,924.0,1464365718.054
0.125,0.0,99.376,0.499,0.0,0.0,0.0,1527808.0,1549.0,443.0,0.0,0.0,502.0,928.0,1464365719.054
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2233.0,553.0,0.0,0.0,482.0,909.0,1464365720.054
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,993.0,333.0,0.0,0.0,485.0,929.0,1464365721.054
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1613.0,443.0,0.0,0.0,467.0,897.0,1464365722.054
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2233.0,553.0,0.0,0.0,476.0,918.0,1464365723.054
0.0,0.0,99.625,0.375,0.0,0.0,0.0,45056.0,1185.0,333.0,0.0,0.0,475.0,910.0,1464365724.054
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1869.0,443.0,0.0,0.0,485.0,930.0,1464365725.054
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2425.0,553.0,0.0,0.0,493.0,936.0,1464365726.054
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1313.0,333.0,0.0,0.0,490.0,945.0,1464365727.054
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1933.0,443.0,0.0,0.0,521.0,968.0,1464365728.054
0.249,0.125,99.252,0.374,0.0,0.0,0.0,20480.0,2361.0,553.0,0.0,0.0,493.0,928.0,1464365729.054
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,993.0,333.0,0.0,0.0,476.0,925.0,1464365730.054
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1789.0,561.0,0.0,0.0,485.0,921.0,1464365731.054
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2105.0,553.0,0.0,0.0,456.0,892.0,1464365732.054
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,993.0,333.0,0.0,0.0,496.0,967.0,1464365733.054
0.125,0.0,99.374,0.501,0.0,0.0,0.0,315392.0,1613.0,443.0,0.0,0.0,619.0,982.0,1464365734.054
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2169.0,553.0,0.0,0.0,475.0,920.0,1464365735.054
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,993.0,333.0,0.0,0.0,473.0,918.0,1464365736.054
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1549.0,443.0,0.0,0.0,539.0,1002.0,1464365737.054
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2169.0,553.0,0.0,0.0,495.0,932.0,1464365738.054
0.0,0.0,99.499,0.501,0.0,0.0,0.0,73728.0,1057.0,333.0,0.0,0.0,470.0,911.0,1464365739.054
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1549.0,443.0,0.0,0.0,484.0,931.0,1464365740.054
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2105.0,553.0,0.0,0.0,464.0,904.0,1464365741.054
10.150,1.253,88.596,0.0,0.0,0.0,0.0,0.0,1057.0,333.0,0.0,0.0,1861.0,1783.0,1464365742.054
21.625,1.0,77.375,0.0,0.0,0.0,0.0,0.0,1945.0,743.0,0.0,0.0,1747.0,1407.0,1464365743.054
23.559,1.128,74.060,1.253,0.0,0.0,0.0,1089536.0,2750.0,799.0,0.0,0.0,2086.0,1430.0,1464365744.054
31.083,0.892,67.006,0.637,0.0,0.382,0.0,319488.0,933740.0,8787.0,0.0,0.0,5716.0,6985.0,1464365745.054
14.787,0.877,82.206,2.130,0.0,0.0,0.0,81920.0,6227540.0,33719.0,0.0,0.0,2563.0,2688.0,1464365746.054
13.693,0.503,85.302,0.503,0.0,0.0,0.0,16384.0,1531114.0,417921.0,0.0,0.0,2468.0,2514.0,1464365747.054
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1526942.0,23153.0,0.0,0.0,971.0,991.0,1464365748.054
0.251,0.0,99.248,0.501,0.0,0.0,0.0,192512.0,1519713.0,7443.0,0.0,0.0,943.0,1019.0,1464365749.054
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1520738.0,7925.0,0.0,0.0,904.0,1014.0,1464365750.054
0.376,0.0,99.624,0.0,0.0,0.0,0.0,0.0,1521436.0,8889.0,0.0,0.0,866.0,986.0,1464365751.054
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1520441.0,9165.0,0.0,0.0,843.0,999.0,1464365752.054
0.752,0.125,98.120,1.003,0.0,0.0,0.0,20480.0,1522730.0,9147.0,0.0,0.0,1034.0,1206.0,1464365753.054
0.252,0.0,99.623,0.126,0.0,0.0,0.0,24576.0,1423028.0,8192.0,0.0,0.0,749.0,1043.0,1464365754.054
