"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_1000000_0.35_6_100_teratest_87b06776-4805-4a5a-b3af-341dcd8648f6.csv",,,,"Date:","28 May 2016 11:41:24 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
0.468,0.049,98.905,0.572,0.000,0.006,244474.578,365029.946,0.0,0.0,20.778,105.581,239.372,350.534,1464428484.078
1.250,0.250,98.500,0.0,0.0,0.0,0.0,0.0,13038.0,17706.0,0.0,0.0,625.0,1054.0,1464428485.079
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,389.0,824.0,1464428486.079
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1746.0,450.0,0.0,0.0,433.0,851.0,1464428487.079
0.125,0.125,99.376,0.375,0.0,0.0,0.0,53248.0,2429.0,561.0,0.0,0.0,411.0,849.0,1464428488.079
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,398.0,820.0,1464428489.079
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1746.0,450.0,0.0,0.0,426.0,841.0,1464428490.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2301.0,561.0,0.0,0.0,408.0,850.0,1464428491.079
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1319.0,339.0,0.0,0.0,388.0,820.0,1464428492.079
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,1810.0,450.0,0.0,0.0,417.0,836.0,1464428493.079
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2237.0,561.0,0.0,0.0,365.0,790.0,1464428494.079
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,384.0,809.0,1464428495.079
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1746.0,450.0,0.0,0.0,392.0,815.0,1464428496.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,106496.0,2173.0,907.0,0.0,0.0,421.0,825.0,1464428497.079
0.125,0.0,99.625,0.250,0.0,0.0,0.0,49152.0,1063.0,339.0,0.0,0.0,392.0,819.0,1464428498.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,1554.0,450.0,0.0,0.0,376.0,789.0,1464428499.079
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2413.0,679.0,0.0,0.0,393.0,804.0,1464428500.079
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,1348.0,505.0,0.0,0.0,420.0,866.0,1464428501.079
0.125,0.125,99.750,0.0,0.0,0.0,0.0,180224.0,1554.0,450.0,0.0,0.0,452.0,806.0,1464428502.079
0.0,0.0,99.750,0.250,0.0,0.0,0.0,57344.0,2237.0,561.0,0.0,0.0,389.0,810.0,1464428503.079
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,379.0,821.0,1464428504.079
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1554.0,450.0,0.0,0.0,408.0,832.0,1464428505.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2109.0,561.0,0.0,0.0,383.0,827.0,1464428506.079
0.125,0.249,99.626,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,395.0,829.0,1464428507.079
0.125,0.0,99.500,0.375,0.0,0.0,0.0,20480.0,1554.0,450.0,0.0,0.0,396.0,814.0,1464428508.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2109.0,561.0,0.0,0.0,376.0,807.0,1464428509.079
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,381.0,803.0,1464428510.079
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1682.0,450.0,0.0,0.0,384.0,795.0,1464428511.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,2301.0,561.0,0.0,0.0,383.0,818.0,1464428512.079
0.125,0.0,99.625,0.250,0.0,0.0,0.0,16384.0,1319.0,339.0,0.0,0.0,404.0,844.0,1464428513.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1746.0,450.0,0.0,0.0,384.0,793.0,1464428514.079
10.362,1.873,87.765,0.0,0.0,0.0,0.0,0.0,2365.0,561.0,0.0,0.0,1663.0,1656.0,1464428515.079
22.083,1.129,76.788,0.0,0.0,0.0,0.0,0.0,1395.0,639.0,0.0,0.0,1503.0,1370.0,1464428516.079
23.058,1.003,75.940,0.0,0.0,0.0,0.0,1069056.0,2199.0,1042.0,0.0,0.0,1828.0,1330.0,1464428517.079
28.971,0.762,68.869,1.271,0.0,0.127,0.0,245760.0,2438746.0,19628.0,0.0,0.0,6057.0,6502.0,1464428518.079
15.704,0.628,81.281,2.387,0.0,0.0,0.0,77824.0,10754892.0,59188.0,0.0,0.0,2917.0,2571.0,1464428519.079
10.612,1.124,87.640,0.624,0.0,0.0,0.0,16384.0,1627860.0,411913.0,0.0,0.0,2106.0,2422.0,1464428520.079
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,8534.0,12326.0,0.0,0.0,505.0,968.0,1464428521.079
0.250,0.0,99.750,0.0,0.0,0.0,0.0,274432.0,1275.0,521.0,0.0,0.0,580.0,1028.0,1464428522.079
0.250,0.125,99.249,0.375,0.0,0.0,0.0,98304.0,5068.0,290632.0,0.0,0.0,562.0,998.0,1464428523.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5951.0,6638.0,0.0,0.0,514.0,970.0,1464428524.079
0.125,0.125,99.499,0.250,0.0,0.0,0.0,16384.0,1035.0,339.0,0.0,0.0,577.0,1031.0,1464428525.079
0.500,0.125,99.0,0.375,0.0,0.0,0.0,8192.0,5248.0,2250.0,0.0,0.0,618.0,1054.0,1464428526.079
0.625,0.125,98.250,1.0,0.0,0.0,0.0,577536.0,3832.0,1585.0,0.0,0.0,681.0,1089.0,1464428527.079
49.116,8.081,42.172,0.505,0.0,0.126,94208.0,0.0,40093.0,34011.0,0.0,0.0,5544.0,7623.0,1464428528.079
95.125,4.750,0.0,0.0,0.0,0.125,0.0,507904.0,4994.0,3559.0,0.0,0.0,2558.0,2951.0,1464428529.079
96.750,3.250,0.0,0.0,0.0,0.0,0.0,0.0,4273.0,1554.0,0.0,0.0,2602.0,3139.0,1464428530.079
94.770,5.106,0.0,0.0,0.0,0.125,0.0,0.0,5847.0,2953.0,0.0,0.0,2734.0,2764.0,1464428531.079
92.491,5.632,1.752,0.0,0.0,0.125,0.0,0.0,3675.0,1671.0,0.0,0.0,3110.0,3532.0,1464428532.080
95.250,4.250,0.375,0.0,0.0,0.125,0.0,12288.0,13114.0,12064.0,0.0,0.0,3120.0,3083.0,1464428533.079
96.738,3.262,0.0,0.0,0.0,0.0,0.0,184320.0,2796.0,1192.0,0.0,0.0,3266.0,9805.0,1464428534.079
97.631,2.369,0.0,0.0,0.0,0.0,0.0,0.0,4095.0,1769.0,0.0,0.0,3041.0,3067.0,1464428535.079
94.493,4.631,0.501,0.0,0.0,0.375,0.0,0.0,16574.0,32443.0,0.0,0.0,3445.0,4346.0,1464428536.079
86.875,12.500,0.500,0.0,0.0,0.125,0.0,8192.0,11714.0,23392.0,0.0,0.0,3090.0,5127.0,1464428537.079
97.997,2.003,0.0,0.0,0.0,0.0,0.0,0.0,15890.0,8284.0,0.0,0.0,2855.0,10505.0,1464428538.078
45.409,6.792,47.547,0.0,0.0,0.252,0.0,192512.0,28815.0,20390.0,0.0,0.0,3810.0,10531.0,1464428539.078
0.625,0.875,98.500,0.0,0.0,0.0,0.0,0.0,4231.0,4045.0,0.0,0.0,723.0,1333.0,1464428540.079
55.051,4.040,40.909,0.0,0.0,0.0,0.0,0.0,17305.0,9123.0,0.0,0.0,4551.0,3233.0,1464428541.079
92.375,4.125,3.375,0.125,0.0,0.0,0.0,19759104.0,7800.0,2676.0,0.0,0.0,3864.0,2396.0,1464428542.079
94.981,4.768,0.251,0.0,0.0,0.0,0.0,0.0,7999.0,3304.0,0.0,0.0,4017.0,3195.0,1464428543.079
95.636,4.364,0.0,0.0,0.0,0.0,0.0,479232.0,11563.0,7829.0,0.0,0.0,3150.0,3243.0,1464428544.079
96.863,3.137,0.0,0.0,0.0,0.0,0.0,0.0,7489.0,2541.0,0.0,0.0,3106.0,3963.0,1464428545.079
96.0,3.875,0.0,0.0,0.0,0.125,0.0,0.0,4492.0,2726.0,0.0,0.0,2950.0,2837.0,1464428546.079
93.151,6.725,0.0,0.0,0.0,0.125,0.0,0.0,9677.0,14027.0,0.0,0.0,3443.0,3307.0,1464428547.079
94.862,4.887,0.125,0.0,0.0,0.125,0.0,0.0,1277497.0,24725.0,0.0,0.0,3593.0,5608.0,1464428548.079
96.030,3.598,0.0,0.0,0.0,0.372,0.0,245760.0,861316.0,19655.0,0.0,0.0,3301.0,6902.0,1464428549.083
85.570,6.329,6.962,0.127,0.0,1.013,12288.0,2097152.0,8340476.0,71364.0,0.0,0.0,7809.0,7835.0,1464428550.079
32.658,2.532,64.557,0.0,0.0,0.253,0.0,2088960.0,16890073.0,200771.0,0.0,0.0,6616.0,5582.0,1464428551.079
3.279,0.631,95.839,0.0,0.0,0.252,0.0,1376256.0,18066955.0,203645.0,0.0,0.0,4017.0,3165.0,1464428552.079
0.751,0.375,98.874,0.0,0.0,0.0,0.0,1376256.0,360210.0,9342.0,0.0,0.0,1544.0,1432.0,1464428553.079
0.375,0.250,97.750,1.625,0.0,0.0,0.0,1576960.0,141893.0,8720329.0,0.0,0.0,1528.0,1351.0,1464428554.079
1.125,0.250,98.625,0.0,0.0,0.0,0.0,0.0,3638.0,3737.0,0.0,0.0,728.0,1276.0,1464428555.079
3.909,0.757,95.334,0.0,0.0,0.0,0.0,0.0,5101.0,4888.0,0.0,0.0,2060.0,2692.0,1464428556.079
4.625,1.250,94.125,0.0,0.0,0.0,0.0,0.0,5033.0,5599.0,0.0,0.0,1952.0,2517.0,1464428557.079
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,3964.0,4353.0,0.0,0.0,655.0,1214.0,1464428558.079
1.998,0.375,97.129,0.499,0.0,0.0,0.0,36864.0,4024.0,4440.0,0.0,0.0,811.0,1333.0,1464428559.079
1.378,0.125,98.496,0.0,0.0,0.0,0.0,0.0,5027.0,5385.0,0.0,0.0,747.0,1305.0,1464428560.079
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,3986.0,4471.0,0.0,0.0,716.0,1301.0,1464428561.079
1.502,0.250,98.248,0.0,0.0,0.0,0.0,0.0,4359.0,4313.0,0.0,0.0,791.0,1337.0,1464428562.079
1.0,0.125,98.875,0.0,0.0,0.0,0.0,0.0,4899.0,5385.0,0.0,0.0,711.0,1263.0,1464428563.079
0.375,0.125,99.001,0.499,0.0,0.0,0.0,20480.0,3612.0,4139.0,0.0,0.0,682.0,1249.0,1464428564.079
1.255,0.251,98.494,0.0,0.0,0.0,0.0,0.0,4228.0,4249.0,0.0,0.0,800.0,1363.0,1464428565.079
16.080,1.382,82.412,0.0,0.0,0.126,0.0,0.0,8112.0,6583.0,0.0,0.0,2446.0,2132.0,1464428566.079
27.216,1.748,71.036,0.0,0.0,0.0,0.0,0.0,9476.0,17395.0,0.0,0.0,2335.0,1801.0,1464428567.079
26.851,1.129,72.020,0.0,0.0,0.0,0.0,0.0,9163.0,16372.0,0.0,0.0,1890.0,2003.0,1464428568.079
14.950,1.633,82.663,0.754,0.0,0.0,0.0,159744.0,6613.0,10700.0,0.0,0.0,1328.0,1743.0,1464428569.079
21.930,0.501,77.569,0.0,0.0,0.0,0.0,1048576.0,3789.0,4697.0,0.0,0.0,2136.0,2384.0,1464428570.078
2.005,0.627,97.368,0.0,0.0,0.0,0.0,1032192.0,16176.0,734341.0,0.0,0.0,965.0,1652.0,1464428571.079
0.748,0.249,99.002,0.0,0.0,0.0,0.0,139264.0,4884.0,5669.0,0.0,0.0,753.0,1294.0,1464428572.079
