"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_205435297_0.5_24_100_teratest_bc57d767-093e-441f-9384-7583a0ab6537.csv",,,,"Date:","28 May 2016 14:41:16 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
0.777,0.078,98.541,0.592,0.000,0.012,246344.464,593500.245,0.0,0.0,20.541,104.556,283.466,392.238,1464439276.233
13.500,0.500,85.500,0.500,0.0,0.0,0.0,69632.0,11806.0,17720.0,0.0,0.0,995.0,1206.0,1464439277.234
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,738.0,930.0,1464439278.234
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,2734.0,675.0,0.0,0.0,723.0,914.0,1464439279.234
12.110,0.499,87.391,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,722.0,920.0,1464439280.234
12.155,0.376,87.469,0.0,0.0,0.0,0.0,147456.0,1063.0,339.0,0.0,0.0,764.0,911.0,1464439281.234
12.125,0.625,87.0,0.250,0.0,0.0,0.0,69632.0,2734.0,675.0,0.0,0.0,771.0,974.0,1464439282.234
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,728.0,923.0,1464439283.234
12.516,0.125,87.359,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,751.0,948.0,1464439284.234
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2734.0,675.0,0.0,0.0,749.0,935.0,1464439285.234
12.360,0.250,87.391,0.0,0.0,0.0,0.0,1347584.0,1127.0,339.0,0.0,0.0,737.0,926.0,1464439286.234
12.375,0.250,86.875,0.500,0.0,0.0,0.0,53248.0,999.0,339.0,0.0,0.0,732.0,933.0,1464439287.234
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,2670.0,675.0,0.0,0.0,722.0,913.0,1464439288.234
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,749.0,959.0,1464439289.234
