"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_205435297_0.95_12_100_teratest_458b0cae-0c3f-42c3-b0ec-367ebf7b9379.csv",,,,"Date:","31 May 2016 06:16:21 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.366,0.258,94.465,0.875,0.000,0.036,395070.297,1577145.646,0.0,0.0,156.132,404.334,732.557,904.668,1464668181.325
1.001,0.0,98.999,0.0,0.0,0.0,0.0,0.0,13129.0,17796.0,0.0,0.0,705.0,1170.0,1464668182.326
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1204.0,333.0,0.0,0.0,474.0,912.0,1464668183.326
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,1760.0,444.0,0.0,0.0,503.0,941.0,1464668184.326
0.0,0.125,99.499,0.375,0.0,0.0,0.0,122880.0,2188.0,555.0,0.0,0.0,503.0,945.0,1464668185.326
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1076.0,333.0,0.0,0.0,477.0,913.0,1464668186.326
0.250,0.125,99.625,0.0,0.0,0.0,0.0,53248.0,1632.0,444.0,0.0,0.0,485.0,908.0,1464668187.326
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2252.0,555.0,0.0,0.0,495.0,931.0,1464668188.326
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1076.0,333.0,0.0,0.0,465.0,906.0,1464668189.326
0.125,0.125,99.500,0.250,0.0,0.0,0.0,57344.0,1632.0,444.0,0.0,0.0,489.0,913.0,1464668190.326
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2188.0,555.0,0.0,0.0,493.0,920.0,1464668191.326
0.125,0.0,99.875,0.0,0.0,0.0,0.0,708608.0,1268.0,333.0,0.0,0.0,503.0,933.0,1464668192.326
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1824.0,444.0,0.0,0.0,595.0,1107.0,1464668193.326
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2508.0,555.0,0.0,0.0,502.0,928.0,1464668194.326
0.0,0.0,99.499,0.501,0.0,0.0,0.0,114688.0,1332.0,333.0,0.0,0.0,481.0,931.0,1464668195.326
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1760.0,444.0,0.0,0.0,506.0,953.0,1464668196.326
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2316.0,555.0,0.0,0.0,494.0,919.0,1464668197.326
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1204.0,333.0,0.0,0.0,461.0,888.0,1464668198.326
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1872.0,562.0,0.0,0.0,474.0,908.0,1464668199.326
0.249,0.249,99.252,0.249,0.0,0.0,0.0,126976.0,2188.0,555.0,0.0,0.0,527.0,975.0,1464668200.326
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1076.0,333.0,0.0,0.0,470.0,894.0,1464668201.326
0.125,0.0,99.875,0.0,0.0,0.0,0.0,397312.0,1632.0,444.0,0.0,0.0,609.0,912.0,1464668202.326
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2252.0,555.0,0.0,0.0,510.0,966.0,1464668203.326
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1204.0,333.0,0.0,0.0,491.0,936.0,1464668204.326
0.125,0.125,99.500,0.250,0.0,0.0,0.0,32768.0,1696.0,444.0,0.0,0.0,509.0,940.0,1464668205.326
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2188.0,555.0,0.0,0.0,492.0,912.0,1464668206.326
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1268.0,333.0,0.0,0.0,474.0,903.0,1464668207.326
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1760.0,444.0,0.0,0.0,476.0,892.0,1464668208.326
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2380.0,555.0,0.0,0.0,520.0,961.0,1464668209.326
