"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_410870595_0.35_6_100_teratest_7e2c18d2-4153-4329-938d-844d44c3e56f.csv",,,,"Date:","28 May 2016 14:57:35 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
0.815,0.083,98.492,0.597,0.000,0.013,246276.909,636150.813,0.0,0.0,20.555,105.614,290.393,398.949,1464440255.867
12.657,0.251,86.842,0.251,0.0,0.0,0.0,61440.0,5282.0,4686.0,0.0,0.0,822.0,1025.0,1464440256.868
13.141,0.375,86.483,0.0,0.0,0.0,0.0,0.0,9722.0,13491.0,0.0,0.0,902.0,1084.0,1464440257.868
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,724.0,921.0,1464440258.868
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,719.0,898.0,1464440259.868
12.265,0.250,87.359,0.125,0.0,0.0,0.0,512000.0,1556.0,451.0,0.0,0.0,849.0,923.0,1464440260.868
12.375,0.250,87.125,0.250,0.0,0.0,0.0,20480.0,999.0,339.0,0.0,0.0,732.0,945.0,1464440261.868
12.140,0.501,87.359,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,751.0,946.0,1464440262.868
12.235,0.375,86.642,0.749,0.0,0.0,16384.0,0.0,1748.0,451.0,0.0,0.0,753.0,960.0,1464440263.868
12.390,0.375,86.984,0.250,0.0,0.0,155648.0,0.0,1255.0,339.0,0.0,0.0,790.0,1040.0,1464440264.868
12.390,0.125,87.234,0.250,0.0,0.0,20480.0,675840.0,2241.0,563.0,0.0,0.0,788.0,976.0,1464440265.868
12.235,0.499,85.893,1.373,0.0,0.0,147456.0,188416.0,1620.0,451.0,0.0,0.0,818.0,975.0,1464440266.868
12.281,0.376,87.093,0.251,0.0,0.0,294912.0,0.0,1063.0,339.0,0.0,0.0,830.0,1004.0,1464440267.868
12.500,0.125,87.375,0.0,0.0,0.0,16384.0,0.0,2417.0,681.0,0.0,0.0,749.0,944.0,1464440268.868
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1748.0,451.0,0.0,0.0,706.0,882.0,1464440269.868
12.265,0.250,87.484,0.0,0.0,0.0,0.0,16384.0,1063.0,339.0,0.0,0.0,717.0,913.0,1464440270.868
12.375,0.250,86.500,0.875,0.0,0.0,0.0,172032.0,2177.0,563.0,0.0,0.0,740.0,916.0,1464440271.868
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,729.0,918.0,1464440272.868
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,726.0,938.0,1464440273.868
12.155,0.251,87.594,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,729.0,914.0,1464440274.868
12.265,0.250,87.234,0.250,0.0,0.0,0.0,327680.0,1620.0,451.0,0.0,0.0,833.0,920.0,1464440275.868
12.375,0.250,87.0,0.375,0.0,0.0,0.0,57344.0,1127.0,339.0,0.0,0.0,747.0,958.0,1464440276.868
12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,2241.0,563.0,0.0,0.0,736.0,925.0,1464440277.868
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,731.0,936.0,1464440278.868
12.484,0.250,87.266,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,736.0,940.0,1464440279.868
