"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_410870595_0.5_12_100_teratest_ad7fcb16-1639-4fb0-8d1d-0b0b762ee3d6.csv",,,,"Date:","31 May 2016 09:46:04 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.576,0.296,94.041,1.044,0.000,0.043,474519.518,1954597.200,0.0,0.0,169.235,527.382,794.747,967.006,1464680764.142
0.624,0.125,99.001,0.250,0.0,0.0,0.0,708608.0,6165.0,6160.0,0.0,0.0,623.0,1016.0,1464680765.143
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1194.0,339.0,0.0,0.0,449.0,880.0,1464680766.143
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,457.0,881.0,1464680767.143
0.125,0.0,99.001,0.874,0.0,0.0,0.0,159744.0,2180.0,561.0,0.0,0.0,485.0,922.0,1464680768.143
0.0,0.125,99.875,0.0,0.0,0.0,0.0,16384.0,1130.0,339.0,0.0,0.0,457.0,883.0,1464680769.143
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,445.0,850.0,1464680770.143
0.250,0.0,99.500,0.250,0.0,0.0,65536.0,0.0,2180.0,561.0,65536.0,0.0,546.0,1036.0,1464680771.143
0.0,0.0,100.0,0.0,0.0,0.0,32768.0,0.0,1306.0,457.0,32768.0,0.0,489.0,919.0,1464680772.143
0.125,0.125,99.250,0.500,0.0,0.0,0.0,49152.0,1687.0,450.0,0.0,0.0,504.0,937.0,1464680773.143
0.125,0.0,99.875,0.0,0.0,0.0,0.0,1839104.0,2180.0,561.0,0.0,0.0,504.0,915.0,1464680774.143
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,460.0,895.0,1464680775.143
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,471.0,903.0,1464680776.143
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2116.0,561.0,0.0,0.0,487.0,914.0,1464680777.143
0.0,0.0,99.624,0.376,0.0,0.0,0.0,40960.0,1066.0,339.0,0.0,0.0,459.0,890.0,1464680778.143
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,458.0,887.0,1464680779.143
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2436.0,561.0,0.0,0.0,509.0,935.0,1464680780.143
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1258.0,339.0,0.0,0.0,504.0,950.0,1464680781.143
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1751.0,450.0,0.0,0.0,445.0,854.0,1464680782.143
0.125,0.125,99.376,0.375,0.0,0.0,0.0,16384.0,2244.0,561.0,0.0,0.0,487.0,924.0,1464680783.143
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,450.0,884.0,1464680784.143
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1559.0,450.0,0.0,0.0,468.0,895.0,1464680785.143
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2116.0,561.0,0.0,0.0,456.0,876.0,1464680786.143
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1130.0,339.0,0.0,0.0,444.0,865.0,1464680787.143
0.125,0.0,99.376,0.499,0.0,0.0,0.0,16384.0,1559.0,450.0,0.0,0.0,506.0,946.0,1464680788.143
0.0,0.0,99.749,0.251,0.0,0.0,106496.0,196608.0,2420.0,679.0,0.0,0.0,542.0,905.0,1464680789.143
0.0,0.125,99.875,0.0,0.0,0.0,0.0,65536.0,1130.0,339.0,0.0,0.0,471.0,868.0,1464680790.143
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1559.0,450.0,0.0,0.0,458.0,882.0,1464680791.143
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2116.0,561.0,0.0,0.0,468.0,908.0,1464680792.143
0.125,0.0,99.374,0.501,0.0,0.0,0.0,20480.0,1066.0,339.0,0.0,0.0,473.0,916.0,1464680793.143
0.0,0.0,100.0,0.0,0.0,0.0,0.0,90112.0,1687.0,450.0,0.0,0.0,500.0,888.0,1464680794.143
7.134,1.252,90.238,1.377,0.0,0.0,143360.0,0.0,2244.0,561.0,0.0,0.0,1824.0,1731.0,1464680795.143
18.844,0.628,80.151,0.377,0.0,0.0,73728.0,0.0,1322.0,339.0,0.0,0.0,1601.0,1354.0,1464680796.143
27.694,1.504,70.677,0.125,0.0,0.0,94208.0,0.0,2268.0,696.0,0.0,0.0,1821.0,1509.0,1464680797.143
28.917,0.764,66.752,3.185,0.0,0.382,19369984.0,315392.0,4615854.0,33639.0,0.0,0.0,5759.0,7150.0,1464680798.143
15.955,0.754,81.407,1.884,0.0,0.0,5009408.0,8192.0,3351345.0,11402.0,0.0,0.0,2291.0,1635.0,1464680799.143
9.937,1.006,82.516,6.415,0.0,0.126,73728.0,1372160.0,1530050.0,470968.0,0.0,0.0,2706.0,2483.0,1464680800.143
6.415,0.252,91.195,2.138,0.0,0.0,110592.0,8192.0,1524978.0,15325.0,0.0,0.0,2072.0,2057.0,1464680801.143
0.0,0.126,99.874,0.0,0.0,0.0,0.0,0.0,1521913.0,14948.0,0.0,0.0,1100.0,1005.0,1464680802.143
0.125,0.0,99.122,0.753,0.0,0.0,0.0,307200.0,1519595.0,7514.0,0.0,0.0,1024.0,944.0,1464680803.142
0.375,0.125,99.500,0.0,0.0,0.0,0.0,274432.0,1523489.0,297665.0,0.0,0.0,1131.0,1026.0,1464680804.143
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1521445.0,8801.0,0.0,0.0,1076.0,991.0,1464680805.143
0.376,0.125,99.123,0.376,0.0,0.0,98304.0,0.0,1520579.0,9178.0,98304.0,0.0,1055.0,997.0,1464680806.143
0.251,0.125,99.624,0.0,0.0,0.0,0.0,0.0,1070888.0,5531.0,0.0,0.0,872.0,1006.0,1464680807.143
0.624,0.125,98.252,0.999,0.0,0.0,0.0,69632.0,15191.0,3354.0,0.0,0.0,667.0,1111.0,1464680808.143
0.250,0.125,99.374,0.250,0.0,0.0,8192.0,0.0,9908.0,1589.0,0.0,0.0,560.0,1021.0,1464680809.143
11.572,3.899,83.899,0.629,0.0,0.0,278528.0,0.0,40028.0,31078.0,262144.0,0.0,4309.0,5605.0,1464680810.143
92.365,6.633,0.876,0.0,0.0,0.125,0.0,0.0,12401.0,6391.0,0.0,0.0,3035.0,4018.0,1464680811.143
95.620,4.380,0.0,0.0,0.0,0.0,0.0,12288.0,3997.0,1443.0,0.0,0.0,2681.0,3637.0,1464680812.143
