"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_410870595_0.5_24_100_teratest_9ac6512a-4939-46b9-94c8-ea2f6e9043be.csv",,,,"Date:","31 May 2016 10:11:40 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.607,0.301,93.997,1.050,0.000,0.044,482685.079,1999929.926,0.0,0.0,179.444,540.398,801.447,973.022,1464682300.640
1.001,0.125,95.995,2.879,0.0,0.0,2641920.0,0.0,4736.0,4721.0,0.0,0.0,901.0,1291.0,1464682301.641
0.500,0.250,99.250,0.0,0.0,0.0,0.0,0.0,9821.0,13475.0,0.0,0.0,620.0,1037.0,1464682302.641
0.125,0.0,97.622,2.253,0.0,0.0,0.0,53248.0,2116.0,561.0,0.0,0.0,471.0,892.0,1464682303.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1559.0,450.0,0.0,0.0,476.0,911.0,1464682304.641
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,473.0,895.0,1464682305.641
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2244.0,561.0,0.0,0.0,480.0,898.0,1464682306.641
0.125,0.0,99.875,0.0,0.0,0.0,0.0,1605632.0,1623.0,514.0,0.0,0.0,519.0,903.0,1464682307.641
0.125,0.0,99.625,0.250,0.0,0.0,0.0,81920.0,1002.0,403.0,0.0,0.0,494.0,925.0,1464682308.641
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2180.0,625.0,0.0,0.0,475.0,886.0,1464682309.641
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1559.0,450.0,0.0,0.0,485.0,918.0,1464682310.641
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,504.0,924.0,1464682311.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2244.0,561.0,0.0,0.0,474.0,906.0,1464682312.641
0.0,0.0,99.623,0.377,0.0,0.0,0.0,24576.0,1559.0,450.0,0.0,0.0,536.0,999.0,1464682313.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,514.0,950.0,1464682314.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2420.0,679.0,0.0,0.0,464.0,883.0,1464682315.641
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1751.0,450.0,0.0,0.0,487.0,931.0,1464682316.641
0.0,0.0,100.0,0.0,0.0,0.0,0.0,225280.0,1066.0,339.0,0.0,0.0,560.0,914.0,1464682317.641
0.0,0.125,99.376,0.499,0.0,0.0,0.0,16384.0,2116.0,561.0,0.0,0.0,477.0,898.0,1464682318.641
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,481.0,912.0,1464682319.641
0.125,0.250,99.625,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,510.0,939.0,1464682320.641
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2116.0,561.0,0.0,0.0,465.0,879.0,1464682321.641
0.125,0.499,99.251,0.0,0.0,0.125,0.0,0.0,1623.0,450.0,0.0,0.0,489.0,910.0,1464682322.641
0.0,0.125,99.625,0.250,0.0,0.0,0.0,16384.0,1066.0,339.0,0.0,0.0,489.0,905.0,1464682323.641
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2116.0,561.0,0.0,0.0,468.0,904.0,1464682324.641
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1559.0,450.0,0.0,0.0,467.0,893.0,1464682325.641
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,473.0,892.0,1464682326.641
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,460.0,886.0,1464682327.641
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,1623.0,450.0,0.0,0.0,491.0,936.0,1464682328.641
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1130.0,339.0,0.0,0.0,483.0,895.0,1464682329.641
