"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_410870595_0.5_6_100_teratest_c9c586aa-de80-47ba-8202-f8d0c8857629.csv",,,,"Date:","28 May 2016 16:19:38 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.007,0.105,98.232,0.639,0.000,0.018,285313.205,836522.355,0.0,0.0,21.041,119.190,324.284,428.233,1464445178.352
12.766,0.375,86.733,0.125,0.0,0.0,0.0,0.0,4733.0,4722.0,0.0,0.0,838.0,1040.0,1464445179.353
13.141,0.375,86.483,0.0,0.0,0.0,0.0,0.0,10763.0,13603.0,0.0,0.0,911.0,1093.0,1464445180.353
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,719.0,890.0,1464445181.353
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,724.0,910.0,1464445182.353
12.375,0.250,84.750,2.625,0.0,0.0,0.0,49152.0,2113.0,563.0,0.0,0.0,726.0,910.0,1464445183.353
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,729.0,916.0,1464445184.353
12.030,0.501,87.469,0.0,0.0,0.0,0.0,466944.0,1556.0,451.0,0.0,0.0,739.0,920.0,1464445185.353
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,2353.0,681.0,0.0,0.0,725.0,899.0,1464445186.353
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1063.0,685.0,0.0,0.0,718.0,909.0,1464445187.353
12.390,0.250,84.606,2.753,0.0,0.0,0.0,45056.0,1556.0,451.0,0.0,0.0,738.0,937.0,1464445188.353
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,722.0,896.0,1464445189.353
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,728.0,893.0,1464445190.353
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1812.0,451.0,0.0,0.0,755.0,948.0,1464445191.353
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2305.0,627.0,0.0,0.0,740.0,917.0,1464445192.353
12.265,0.250,87.109,0.375,0.0,0.0,0.0,16384.0,1191.0,403.0,0.0,0.0,731.0,909.0,1464445193.353
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1620.0,515.0,0.0,0.0,720.0,901.0,1464445194.353
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,718.0,892.0,1464445195.353
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,750.0,945.0,1464445196.353
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,718.0,904.0,1464445197.353
12.360,0.250,86.891,0.499,0.0,0.0,0.0,16384.0,2113.0,563.0,0.0,0.0,729.0,910.0,1464445198.353
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,733.0,922.0,1464445199.352
12.390,0.125,87.484,0.0,0.0,0.0,0.0,253952.0,1556.0,451.0,0.0,0.0,827.0,933.0,1464445200.353
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2305.0,563.0,0.0,0.0,752.0,919.0,1464445201.353
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1431.0,457.0,0.0,0.0,745.0,928.0,1464445202.353
12.250,0.375,87.0,0.375,0.0,0.0,0.0,28672.0,1748.0,451.0,0.0,0.0,736.0,929.0,1464445203.353
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2561.0,973.0,0.0,0.0,730.0,905.0,1464445204.353
12.390,0.125,87.484,0.0,0.0,0.0,0.0,28672.0,1063.0,339.0,0.0,0.0,722.0,891.0,1464445205.353
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1748.0,451.0,0.0,0.0,711.0,897.0,1464445206.353
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,2305.0,657.0,0.0,0.0,714.0,886.0,1464445207.353
12.155,0.376,87.093,0.376,0.0,0.0,0.0,32768.0,1063.0,339.0,0.0,0.0,726.0,913.0,1464445208.353
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,721.0,910.0,1464445209.353
19.149,1.001,79.099,0.751,0.0,0.0,61440.0,49152.0,2177.0,563.0,0.0,0.0,1853.0,1721.0,1464445210.353
30.702,1.504,67.293,0.501,0.0,0.0,53248.0,0.0,1191.0,339.0,0.0,0.0,1622.0,1367.0,1464445211.353
40.050,1.126,58.698,0.125,0.0,0.0,94208.0,0.0,2009.0,697.0,0.0,0.0,2020.0,1491.0,1464445212.353
33.207,0.884,63.384,2.399,0.0,0.126,8192000.0,217088.0,2305.0,563.0,0.0,0.0,2935.0,4118.0,1464445213.353
33.709,0.877,62.782,2.381,0.0,0.251,10465280.0,8192.0,3341647.0,18735.0,0.0,0.0,3933.0,4075.0,1464445214.353
19.798,1.261,71.375,7.566,0.0,0.0,192512.0,1314816.0,787874.0,5676.0,0.0,0.0,2625.0,2341.0,1464445215.353
24.121,1.382,72.739,1.759,0.0,0.0,380928.0,12288.0,771775.0,467234.0,0.0,0.0,2460.0,2310.0,1464445216.353
12.531,0.376,86.216,0.877,0.0,0.0,0.0,8192.0,767615.0,19007.0,0.0,0.0,1251.0,1169.0,1464445217.353
12.155,0.501,86.717,0.627,0.0,0.0,0.0,225280.0,760720.0,3951.0,0.0,0.0,1084.0,1007.0,1464445218.353
12.296,0.251,87.453,0.0,0.0,0.0,0.0,0.0,761939.0,4436.0,0.0,0.0,1141.0,1093.0,1464445219.353
12.390,0.375,87.234,0.0,0.0,0.0,0.0,0.0,762506.0,5301.0,0.0,0.0,1115.0,1023.0,1464445220.353
12.406,0.251,87.343,0.0,0.0,0.0,0.0,0.0,761576.0,5677.0,0.0,0.0,1055.0,989.0,1464445221.353
12.547,0.376,86.449,0.627,0.0,0.0,0.0,20480.0,763077.0,5122.0,0.0,0.0,1188.0,1172.0,1464445222.353
12.516,0.375,86.733,0.375,0.0,0.0,16384.0,32768.0,308205.0,3878.0,0.0,0.0,858.0,1084.0,1464445223.353
19.600,2.622,76.904,0.624,0.0,0.250,36864.0,0.0,7722.0,10189.0,0.0,0.0,3453.0,4560.0,1464445224.353
90.428,7.305,2.141,0.0,0.0,0.126,8192.0,2027520.0,44171.0,25958.0,0.0,0.0,3981.0,5461.0,1464445225.353
95.875,4.125,0.0,0.0,0.0,0.0,0.0,0.0,5227.0,2865.0,0.0,0.0,2736.0,3197.0,1464445226.353
96.750,3.250,0.0,0.0,0.0,0.0,0.0,0.0,5658.0,1654.0,0.0,0.0,2835.0,2469.0,1464445227.353
95.750,4.250,0.0,0.0,0.0,0.0,0.0,573440.0,6227.0,2771.0,0.0,0.0,2896.0,2713.0,1464445228.353
93.625,6.250,0.0,0.0,0.0,0.125,0.0,0.0,4491.0,3127.0,0.0,0.0,3048.0,3578.0,1464445229.353
96.746,3.254,0.0,0.0,0.0,0.0,0.0,0.0,13132.0,9025.0,0.0,0.0,2907.0,3116.0,1464445230.353
97.625,2.375,0.0,0.0,0.0,0.0,0.0,0.0,4981.0,2556.0,0.0,0.0,2882.0,4046.0,1464445231.353
97.375,2.625,0.0,0.0,0.0,0.0,0.0,0.0,11493.0,26990.0,0.0,0.0,2898.0,4710.0,1464445232.352
96.125,3.750,0.0,0.0,0.0,0.125,0.0,139264.0,7403.0,26371.0,0.0,0.0,3084.0,5031.0,1464445233.353
86.733,13.016,0.125,0.0,0.0,0.125,8003584.0,0.0,14293.0,49156.0,0.0,0.0,3564.0,4349.0,1464445234.353
95.500,4.375,0.0,0.0,0.0,0.125,13914112.0,0.0,4086.0,1752.0,0.0,0.0,3406.0,5166.0,1464445235.353
91.760,6.866,0.0,0.125,0.0,1.248,64520192.0,0.0,3791.0,1374.0,0.0,0.0,6760.0,15733.0,1464445236.353
87.437,5.905,1.131,4.020,0.0,1.508,74018816.0,0.0,5272.0,4326.0,0.0,0.0,7001.0,9002.0,1464445237.353
94.856,3.262,0.753,0.251,0.0,0.878,90935296.0,0.0,6577.0,2162.0,0.0,0.0,5596.0,5514.0,1464445238.353
95.755,3.496,0.0,0.125,0.0,0.624,84434944.0,118784.0,3590.0,1304.0,0.0,0.0,5103.0,4308.0,1464445239.353
93.250,6.250,0.0,0.0,0.0,0.500,27869184.0,19783680.0,5032.0,5405.0,0.0,0.0,3963.0,3785.0,1464445240.353
89.750,10.250,0.0,0.0,0.0,0.0,0.0,487424.0,3436.0,3532.0,0.0,0.0,2706.0,1990.0,1464445241.353
87.250,11.875,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,3709.0,7289.0,1464445242.353
88.861,10.388,0.0,0.0,0.0,0.751,36708352.0,143360.0,9944.0,8703.0,0.0,0.0,3979.0,10002.0,1464445243.353
93.750,6.0,0.0,0.0,0.0,0.250,48709632.0,4096.0,5087.0,6461.0,0.0,0.0,4547.0,4594.0,1464445244.353
91.250,8.0,0.0,0.0,0.0,0.750,58929152.0,4096.0,3639.0,2089.0,0.0,0.0,4832.0,5843.0,1464445245.353
87.860,11.765,0.0,0.125,0.0,0.250,4820992.0,4096.0,5887.0,5660.0,0.0,0.0,2967.0,2290.0,1464445246.353
90.0,9.875,0.125,0.0,0.0,0.0,8192.0,0.0,10652.0,9079.0,0.0,0.0,2745.0,2196.0,1464445247.353
83.750,16.250,0.0,0.0,0.0,0.0,0.0,126976.0,0.0,0.0,0.0,0.0,2594.0,1960.0,1464445248.353
83.625,16.125,0.0,0.0,0.0,0.250,0.0,0.0,20967.0,11298.0,0.0,0.0,2852.0,2776.0,1464445249.353
83.875,16.125,0.0,0.0,0.0,0.0,0.0,0.0,10453.0,8837.0,0.0,0.0,2715.0,7961.0,1464445250.353
82.250,17.750,0.0,0.0,0.0,0.0,0.0,0.0,4036.0,3144.0,0.0,0.0,2557.0,3528.0,1464445251.353
71.393,17.440,10.790,0.376,0.0,0.0,16384.0,0.0,9734.0,9642.0,0.0,0.0,3565.0,5464.0,1464445252.353
47.804,10.414,41.656,0.125,0.0,0.0,139264.0,335872.0,10468.0,9755.0,0.0,0.0,3533.0,4103.0,1464445253.353
