"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_410870595_0.95_12_100_teratest_fde946a5-5046-4a76-abbf-fc89c5a5e914.csv",,,,"Date:","31 May 2016 08:03:20 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.471,0.276,94.319,0.894,0.000,0.040,399125.111,1741083.764,0.0,0.0,156.887,406.731,758.917,930.138,1464674600.545
1.0,0.125,98.875,0.0,0.0,0.0,0.0,0.0,10994.0,13983.0,0.0,0.0,708.0,1142.0,1464674601.546
0.125,0.125,98.625,1.125,0.0,0.0,16384.0,180224.0,3907.0,4286.0,0.0,0.0,514.0,958.0,1464674602.546
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1811.0,444.0,0.0,0.0,482.0,923.0,1464674603.546
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1811.0,444.0,0.0,0.0,487.0,914.0,1464674604.546
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1875.0,444.0,0.0,0.0,499.0,926.0,1464674605.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1875.0,444.0,0.0,0.0,463.0,889.0,1464674606.546
0.250,0.0,98.0,1.750,0.0,0.0,4096.0,1675264.0,1811.0,444.0,0.0,0.0,494.0,893.0,1464674607.546
0.125,0.0,99.500,0.375,0.0,0.0,16384.0,0.0,1811.0,444.0,0.0,0.0,501.0,947.0,1464674608.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1747.0,444.0,0.0,0.0,454.0,866.0,1464674609.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1683.0,444.0,0.0,0.0,470.0,887.0,1464674610.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1555.0,444.0,0.0,0.0,472.0,903.0,1464674611.546
0.250,0.0,98.625,1.125,0.0,0.0,16384.0,147456.0,1619.0,444.0,0.0,0.0,491.0,934.0,1464674612.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1555.0,444.0,0.0,0.0,489.0,897.0,1464674613.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1747.0,854.0,0.0,0.0,478.0,908.0,1464674614.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1859.0,562.0,0.0,0.0,462.0,876.0,1464674615.546
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,1555.0,444.0,0.0,0.0,482.0,908.0,1464674616.546
0.125,0.0,99.625,0.250,0.0,0.0,0.0,28672.0,1619.0,444.0,0.0,0.0,478.0,909.0,1464674617.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1555.0,444.0,0.0,0.0,525.0,974.0,1464674618.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1619.0,444.0,0.0,0.0,465.0,883.0,1464674619.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1683.0,444.0,0.0,0.0,485.0,916.0,1464674620.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1619.0,444.0,0.0,0.0,460.0,884.0,1464674621.546
0.250,0.0,99.501,0.250,0.0,0.0,0.0,368640.0,1555.0,444.0,0.0,0.0,581.0,890.0,1464674622.546
0.125,0.125,99.750,0.0,0.0,0.0,16384.0,0.0,1619.0,444.0,0.0,0.0,505.0,937.0,1464674623.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1555.0,444.0,0.0,0.0,463.0,897.0,1464674624.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1555.0,444.0,0.0,0.0,474.0,886.0,1464674625.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1619.0,444.0,0.0,0.0,481.0,912.0,1464674626.546
0.125,0.0,99.375,0.500,0.0,0.0,0.0,110592.0,1619.0,538.0,0.0,0.0,477.0,903.0,1464674627.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1683.0,790.0,0.0,0.0,499.0,937.0,1464674628.546
0.249,0.0,99.751,0.0,0.0,0.0,0.0,0.0,1866.0,444.0,0.0,0.0,486.0,903.0,1464674629.546
0.376,0.0,99.624,0.0,0.0,0.0,0.0,0.0,1811.0,444.0,0.0,0.0,467.0,878.0,1464674630.546
1.252,0.501,96.245,2.003,0.0,0.0,1081344.0,0.0,1939.0,444.0,0.0,0.0,841.0,1393.0,1464674631.546
14.931,0.878,83.061,1.129,0.0,0.0,204800.0,122880.0,1747.0,444.0,0.0,0.0,1971.0,1682.0,1464674632.546
26.658,1.001,72.090,0.250,0.0,0.0,86016.0,0.0,1875.0,444.0,0.0,0.0,2189.0,1532.0,1464674633.546
18.695,0.753,80.176,0.376,0.0,0.0,49152.0,0.0,2264.0,690.0,0.0,0.0,1333.0,1401.0,1464674634.546
30.025,0.636,68.066,1.018,0.0,0.254,36864.0,12288.0,3076709.0,21843.0,0.0,0.0,4975.0,6144.0,1464674635.546
17.189,0.502,79.925,2.258,0.0,0.125,4096.0,86016.0,2335207.0,300041.0,0.0,0.0,2617.0,2660.0,1464674636.546
5.500,0.500,92.500,1.500,0.0,0.0,0.0,2191360.0,1151825.0,186677.0,0.0,0.0,1897.0,1464.0,1464674637.546
0.125,0.125,99.749,0.0,0.0,0.0,0.0,0.0,1143216.0,13576.0,0.0,0.0,1134.0,1040.0,1464674638.546
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1143263.0,295664.0,0.0,0.0,1044.0,980.0,1464674639.546
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,1140347.0,5694.0,0.0,0.0,1089.0,1033.0,1464674640.546
0.126,0.0,99.874,0.0,0.0,0.0,0.0,0.0,1142818.0,7156.0,0.0,0.0,1075.0,989.0,1464674641.546
