"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.35_6_100_teratest_d239d6f0-588b-40f8-8e32-fbbb6008629a.csv",,,,"Date:","28 May 2016 12:18:05 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
0.491,0.050,98.881,0.572,0.000,0.006,243892.363,368368.928,0.0,0.0,20.728,105.329,241.318,353.010,1464430685.509
13.659,0.251,86.090,0.0,0.0,0.0,0.0,0.0,8150.0,9017.0,0.0,0.0,958.0,1166.0,1464430686.510
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,7136.0,9324.0,0.0,0.0,758.0,941.0,1464430687.510
12.484,0.250,87.266,0.0,0.0,0.0,0.0,471040.0,1425.0,493.0,0.0,0.0,766.0,905.0,1464430688.510
12.484,0.250,87.266,0.0,0.0,0.0,0.0,0.0,1828.0,515.0,0.0,0.0,791.0,1011.0,1464430689.510
12.390,0.125,86.733,0.751,0.0,0.0,0.0,155648.0,2667.0,563.0,0.0,0.0,719.0,891.0,1464430690.510
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1463.0,339.0,0.0,0.0,715.0,889.0,1464430691.510
12.516,0.375,86.733,0.375,0.0,0.0,0.0,16384.0,1892.0,451.0,0.0,0.0,886.0,1143.0,1464430692.510
12.390,0.125,87.109,0.375,0.0,0.0,0.0,770048.0,3322.0,1254.0,0.0,0.0,825.0,880.0,1464430693.510
12.500,0.250,87.250,0.0,0.0,0.0,0.0,0.0,1283.0,499.0,0.0,0.0,748.0,929.0,1464430694.510
12.360,0.250,87.141,0.250,0.0,0.0,0.0,102400.0,1700.0,522.0,0.0,0.0,725.0,897.0,1464430695.510
12.531,0.0,87.469,0.0,0.0,0.0,0.0,0.0,2321.0,1044.0,0.0,0.0,730.0,919.0,1464430696.510
12.500,0.375,86.625,0.500,0.0,0.0,0.0,20480.0,1149.0,409.0,0.0,0.0,990.0,1120.0,1464430697.510
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,360199.0,355069.0,0.0,0.0,745.0,931.0,1464430698.510
12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,714.0,899.0,1464430699.510
12.641,0.0,87.109,0.250,0.0,0.0,0.0,61440.0,999.0,339.0,0.0,0.0,731.0,924.0,1464430700.510
12.500,0.250,87.250,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,743.0,931.0,1464430701.510
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,2241.0,563.0,0.0,0.0,715.0,908.0,1464430702.510
12.390,0.125,86.984,0.501,0.0,0.0,0.0,569344.0,1063.0,339.0,0.0,0.0,800.0,900.0,1464430703.510
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,1860.0,569.0,0.0,0.0,729.0,907.0,1464430704.510
12.406,0.251,87.218,0.125,0.0,0.0,0.0,110592.0,2177.0,563.0,0.0,0.0,753.0,967.0,1464430705.510
12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,728.0,924.0,1464430706.510
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1812.0,451.0,0.0,0.0,736.0,905.0,1464430707.510
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2649.0,703.0,0.0,0.0,738.0,933.0,1464430708.510
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,714.0,895.0,1464430709.510
12.484,0.125,86.891,0.499,0.0,0.0,0.0,20480.0,1620.0,451.0,0.0,0.0,744.0,930.0,1464430710.510
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,719.0,912.0,1464430711.510
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1063.0,685.0,0.0,0.0,734.0,938.0,1464430712.510
12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,706.0,878.0,1464430713.510
12.406,0.125,87.469,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,744.0,943.0,1464430714.510
12.235,0.375,87.016,0.375,0.0,0.0,0.0,24576.0,1063.0,339.0,0.0,0.0,767.0,975.0,1464430715.510
22.431,1.754,75.815,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,1878.0,1789.0,1464430716.510
34.003,1.757,64.241,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,1894.0,1352.0,1464430717.510
36.080,1.373,62.422,0.125,0.0,0.0,0.0,1085440.0,1528.0,885.0,0.0,0.0,2049.0,1277.0,1464430718.510
40.990,1.015,57.614,0.127,0.0,0.254,0.0,8192.0,1556.0,451.0,0.0,0.0,4601.0,5406.0,1464430719.510
25.879,0.879,69.598,3.518,0.0,0.126,0.0,352256.0,4635832.0,39967.0,0.0,0.0,2817.0,2552.0,1464430720.510
24.874,1.256,73.241,0.628,0.0,0.0,0.0,24576.0,1305689.0,311182.0,0.0,0.0,3018.0,2664.0,1464430721.510
12.766,0.125,87.109,0.0,0.0,0.0,0.0,0.0,1151386.0,120048.0,0.0,0.0,1230.0,974.0,1464430722.510
12.625,0.125,87.125,0.125,0.0,0.0,0.0,757760.0,1140969.0,5877.0,0.0,0.0,1309.0,950.0,1464430723.510
12.657,0.125,87.218,0.0,0.0,0.0,0.0,0.0,1139791.0,5589.0,0.0,0.0,1294.0,1066.0,1464430724.510
12.782,0.0,87.218,0.0,0.0,0.0,0.0,0.0,1142627.0,7509.0,0.0,0.0,1263.0,1022.0,1464430725.510
12.0,1.0,86.500,0.500,0.0,0.0,0.0,135168.0,1143168.0,11065.0,0.0,0.0,1281.0,1044.0,1464430726.510
12.563,0.503,86.307,0.628,0.0,0.0,0.0,20480.0,1141900.0,6881.0,0.0,0.0,1340.0,1088.0,1464430727.510
13.016,0.125,86.859,0.0,0.0,0.0,0.0,0.0,1142939.0,7235.0,0.0,0.0,1210.0,1114.0,1464430728.510
51.327,7.332,41.214,0.0,0.0,0.126,0.0,0.0,683873.0,14986.0,0.0,0.0,4755.0,6514.0,1464430729.510
94.493,5.507,0.0,0.0,0.0,0.0,0.0,0.0,44934.0,26263.0,0.0,0.0,2790.0,3275.0,1464430730.510
97.625,2.375,0.0,0.0,0.0,0.0,0.0,450560.0,8076.0,1304.0,0.0,0.0,2749.0,2948.0,1464430731.510
96.625,3.375,0.0,0.0,0.0,0.0,0.0,0.0,4569.0,1766.0,0.0,0.0,2870.0,2579.0,1464430732.510
94.757,5.243,0.0,0.0,0.0,0.0,0.0,1888256.0,9592.0,2422.0,0.0,0.0,3266.0,2796.0,1464430733.510
94.500,5.375,0.0,0.0,0.0,0.125,0.0,0.0,4921.0,2492.0,0.0,0.0,3208.0,14015.0,1464430734.510
96.621,3.379,0.0,0.0,0.0,0.0,0.0,0.0,11523.0,10207.0,0.0,0.0,3051.0,4683.0,1464430735.510
96.754,3.121,0.0,0.0,0.0,0.125,0.0,200704.0,6833.0,2255.0,0.0,0.0,3150.0,5307.0,1464430736.510
97.247,2.753,0.0,0.0,0.0,0.0,0.0,0.0,12868.0,20646.0,0.0,0.0,2942.0,4786.0,1464430737.510
92.125,7.625,0.125,0.0,0.0,0.125,0.0,0.0,14755.0,32935.0,0.0,0.0,3137.0,3890.0,1464430738.510
92.509,7.116,0.125,0.0,0.0,0.250,0.0,0.0,5688.0,12587.0,0.0,0.0,3286.0,5550.0,1464430739.510
95.125,4.375,0.0,0.0,0.0,0.500,0.0,0.0,4835.0,1928.0,0.0,0.0,3751.0,10407.0,1464430740.510
91.250,7.750,0.0,0.0,0.0,1.0,0.0,139264.0,4321.0,1901.0,0.0,0.0,5133.0,16422.0,1464430741.510
92.250,7.0,0.0,0.0,0.0,0.750,0.0,0.0,3859.0,3617.0,0.0,0.0,4246.0,10695.0,1464430742.510
96.875,2.875,0.0,0.0,0.0,0.250,0.0,1482752.0,3880.0,2274.0,0.0,0.0,3107.0,3695.0,1464430743.510
98.250,1.750,0.0,0.0,0.0,0.0,0.0,0.0,8771.0,1970.0,0.0,0.0,2723.0,2150.0,1464430744.510
91.750,8.125,0.0,0.0,0.0,0.125,0.0,0.0,3539.0,5184.0,0.0,0.0,2709.0,2557.0,1464430745.510
80.625,19.250,0.0,0.0,0.0,0.125,0.0,282624.0,3342.0,2982.0,0.0,0.0,2795.0,2200.0,1464430746.510
86.250,12.750,0.0,0.0,0.0,1.0,0.0,0.0,4293.0,1700.0,0.0,0.0,3853.0,13142.0,1464430747.510
94.118,5.257,0.0,0.0,0.0,0.626,0.0,0.0,5321.0,6720.0,0.0,0.0,2873.0,11485.0,1464430748.510
99.375,0.500,0.0,0.0,0.0,0.125,0.0,0.0,6346.0,9856.0,0.0,0.0,2579.0,1445.0,1464430749.510
91.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4281.0,1630.0,0.0,0.0,2720.0,2805.0,1464430750.510
