"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.5_12_100_teratest_0a1dd085-a50c-449d-a9d4-eb02e221dce5.csv",,,,"Date:","29 May 2016 16:24:59 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
2.494,0.213,96.535,0.722,0.000,0.036,310719.834,1573664.570,0.0,0.0,120.747,434.760,572.077,625.829,1464531899.010
13.500,0.500,86.0,0.0,0.0,0.0,0.0,0.0,13391.0,17988.0,0.0,0.0,995.0,1173.0,1464531900.011
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1144.0,339.0,0.0,0.0,713.0,894.0,1464531901.011
12.250,0.250,87.0,0.500,0.0,0.0,0.0,229376.0,1701.0,451.0,0.0,0.0,739.0,916.0,1464531902.011
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,2322.0,563.0,0.0,0.0,748.0,933.0,1464531903.011
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1208.0,339.0,0.0,0.0,698.0,873.0,1464531904.011
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1701.0,451.0,0.0,0.0,721.0,907.0,1464531905.011
12.375,0.375,87.250,0.0,0.0,0.0,0.0,0.0,2398.0,633.0,0.0,0.0,737.0,916.0,1464531906.011
12.250,0.250,86.125,1.375,0.0,0.0,32768.0,999424.0,1144.0,339.0,32768.0,0.0,739.0,928.0,1464531907.011
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1701.0,451.0,0.0,0.0,731.0,910.0,1464531908.011
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2322.0,563.0,0.0,0.0,726.0,909.0,1464531909.011
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1208.0,339.0,0.0,0.0,749.0,966.0,1464531910.011
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1765.0,451.0,0.0,0.0,705.0,877.0,1464531911.011
12.140,0.375,87.109,0.375,0.0,0.0,0.0,40960.0,2258.0,563.0,0.0,0.0,750.0,939.0,1464531912.011
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1272.0,339.0,0.0,0.0,748.0,939.0,1464531913.011
12.235,0.375,87.391,0.0,0.0,0.0,0.0,0.0,1893.0,451.0,0.0,0.0,716.0,889.0,1464531914.011
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2450.0,563.0,0.0,0.0,736.0,920.0,1464531915.011
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1512.0,615.0,0.0,0.0,716.0,891.0,1464531916.011
12.281,0.251,87.093,0.376,0.0,0.0,0.0,118784.0,1919.0,541.0,0.0,0.0,778.0,954.0,1464531917.011
12.219,0.499,87.157,0.0,0.0,0.125,0.0,0.0,2438.0,563.0,0.0,0.0,740.0,925.0,1464531918.011
12.281,0.125,87.594,0.0,0.0,0.0,0.0,0.0,1208.0,339.0,0.0,0.0,718.0,911.0,1464531919.011
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1637.0,451.0,0.0,0.0,738.0,934.0,1464531920.011
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,2194.0,563.0,0.0,0.0,782.0,997.0,1464531921.011
12.375,0.250,86.875,0.500,0.0,0.0,0.0,380928.0,1144.0,339.0,0.0,0.0,831.0,925.0,1464531922.011
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1765.0,451.0,0.0,0.0,733.0,917.0,1464531923.011
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,2322.0,563.0,0.0,0.0,754.0,938.0,1464531924.011
12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,1234.0,339.0,0.0,0.0,731.0,919.0,1464531925.011
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2724.0,1089.0,0.0,0.0,754.0,945.0,1464531926.011
12.250,0.375,87.0,0.375,0.0,0.0,0.0,20480.0,2258.0,563.0,0.0,0.0,787.0,999.0,1464531927.011
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,1272.0,339.0,0.0,0.0,711.0,893.0,1464531928.011
12.375,0.250,87.250,0.125,0.0,0.0,0.0,8192.0,1765.0,451.0,0.0,0.0,759.0,939.0,1464531929.011
21.902,1.752,76.220,0.125,0.0,0.0,0.0,8192.0,8248.0,3609.0,0.0,0.0,1887.0,1750.0,1464531930.011
32.791,1.502,65.707,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,1555.0,1290.0,1464531931.011
37.390,1.129,60.226,1.129,0.0,0.125,0.0,1249280.0,2149.0,1045.0,0.0,0.0,2212.0,1424.0,1464531932.011
40.938,1.394,57.541,0.127,0.0,0.0,0.0,4096.0,2241.0,563.0,0.0,0.0,4747.0,5567.0,1464531933.011
26.574,1.008,70.277,2.015,0.0,0.126,0.0,69632.0,7102531.0,48234.0,0.0,0.0,2876.0,2372.0,1464531934.011
28.841,3.023,66.751,1.385,0.0,0.0,4096.0,32768.0,1529687.0,406534.0,0.0,0.0,4011.0,4405.0,1464531935.011
32.830,1.258,65.912,0.0,0.0,0.0,0.0,0.0,1505347.0,8643.0,0.0,0.0,3007.0,1514.0,1464531936.011
42.516,1.635,55.220,0.629,0.0,0.0,0.0,315392.0,1519367.0,7521.0,0.0,0.0,3071.0,1590.0,1464531937.011
28.050,0.881,71.069,0.0,0.0,0.0,0.0,0.0,1520672.0,8071.0,0.0,0.0,2022.0,1469.0,1464531938.011
31.336,0.999,67.665,0.0,0.0,0.0,0.0,0.0,1520177.0,7563.0,0.0,0.0,2203.0,1542.0,1464531939.011
34.253,0.878,64.492,0.376,0.0,0.0,0.0,8192.0,1519343.0,7479.0,0.0,0.0,3171.0,2733.0,1464531940.011
25.253,0.505,73.737,0.505,0.0,0.0,0.0,12288.0,1519620.0,7451.0,0.0,0.0,2330.0,2169.0,1464531941.011
13.819,0.503,83.417,2.261,0.0,0.0,4096.0,1208320.0,1520241.0,7563.0,0.0,0.0,1694.0,1484.0,1464531942.011
72.418,6.801,20.529,0.0,0.0,0.252,0.0,0.0,400538.0,100918.0,0.0,0.0,7000.0,8508.0,1464531943.011
96.120,3.880,0.0,0.0,0.0,0.0,0.0,0.0,13994.0,5322.0,0.0,0.0,2635.0,2873.0,1464531944.011
96.149,3.727,0.0,0.0,0.0,0.124,0.0,0.0,3071.0,563.0,0.0,0.0,2691.0,2936.0,1464531945.015
95.352,4.523,0.0,0.0,0.0,0.126,0.0,0.0,9844.0,1493.0,0.0,0.0,3098.0,2691.0,1464531946.011
93.734,5.138,0.752,0.0,0.0,0.376,0.0,1122304.0,3614.0,1019.0,0.0,0.0,3703.0,3884.0,1464531947.011
96.625,3.125,0.0,0.0,0.0,0.250,0.0,0.0,23743.0,17267.0,0.0,0.0,2956.0,2572.0,1464531948.011
96.500,3.500,0.0,0.0,0.0,0.0,0.0,0.0,2085.0,339.0,0.0,0.0,3015.0,7523.0,1464531949.011
96.500,3.375,0.125,0.0,0.0,0.0,0.0,0.0,8586.0,451.0,0.0,0.0,2959.0,3315.0,1464531950.011
91.719,7.779,0.125,0.0,0.0,0.376,0.0,0.0,6249.0,8316.0,0.0,0.0,3262.0,4561.0,1464531951.011
91.261,8.115,0.375,0.0,0.0,0.250,0.0,135168.0,21045.0,55867.0,0.0,0.0,3078.0,3750.0,1464531952.011
93.617,5.507,0.250,0.0,0.0,0.626,0.0,0.0,4896.0,4457.0,0.0,0.0,5069.0,15929.0,1464531953.011
92.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,7231.0,2119.0,0.0,0.0,5051.0,12777.0,1464531954.011
96.130,3.371,0.0,0.0,0.0,0.499,0.0,0.0,5901.0,1755.0,0.0,0.0,3676.0,5548.0,1464531955.011
99.374,0.501,0.0,0.0,0.0,0.125,0.0,0.0,2578.0,451.0,0.0,0.0,2570.0,1476.0,1464531956.011
92.250,7.625,0.0,0.0,0.0,0.125,0.0,21987328.0,3918.0,810.0,0.0,0.0,3311.0,3580.0,1464531957.011
81.375,18.500,0.0,0.0,0.0,0.125,0.0,0.0,19767.0,2994.0,0.0,0.0,3023.0,2626.0,1464531958.011
87.500,11.375,0.250,0.0,0.0,0.875,0.0,0.0,2648.0,665.0,0.0,0.0,5470.0,14796.0,1464531959.011
95.995,2.503,0.501,0.0,0.0,1.001,0.0,0.0,10313459.0,2945101.0,0.0,0.0,5412.0,4502.0,1464531960.011
98.500,1.375,0.0,0.0,0.0,0.125,0.0,0.0,1312901.0,10314.0,0.0,0.0,2651.0,1559.0,1464531961.011
80.649,18.976,0.250,0.0,0.0,0.125,0.0,77824.0,4544.0,1645.0,0.0,0.0,2760.0,1930.0,1464531962.011
88.722,11.278,0.0,0.0,0.0,0.0,0.0,0.0,3421.0,917.0,0.0,0.0,2862.0,2585.0,1464531963.011
84.519,15.356,0.125,0.0,0.0,0.0,0.0,0.0,16941.0,5883.0,0.0,0.0,2849.0,2354.0,1464531964.011
83.500,16.375,0.0,0.0,0.0,0.125,0.0,0.0,9785.0,5983.0,0.0,0.0,2665.0,4185.0,1464531965.011
86.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4481.0,1585.0,0.0,0.0,2628.0,9762.0,1464531966.011
