"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.5_12_100_teratest_0e11887e-9fe8-4bc7-b331-8b40e7a1b378.csv",,,,"Date:","29 May 2016 16:43:49 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
2.524,0.215,96.501,0.724,0.000,0.036,310378.604,1593183.645,0.0,0.0,121.700,434.281,575.540,629.463,1464533029.662
13.517,0.375,86.108,0.0,0.0,0.0,0.0,0.0,13925.0,17960.0,0.0,0.0,971.0,1158.0,1464533030.663
12.390,0.250,86.984,0.375,0.0,0.0,0.0,3366912.0,1255.0,339.0,0.0,0.0,759.0,934.0,1464533031.663
12.360,0.375,87.266,0.0,0.0,0.0,0.0,0.0,1319.0,339.0,0.0,0.0,727.0,920.0,1464533032.663
12.171,0.251,87.578,0.0,0.0,0.0,0.0,0.0,2990.0,675.0,0.0,0.0,737.0,919.0,1464533033.663
12.125,0.375,87.500,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,719.0,908.0,1464533034.663
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1431.0,457.0,0.0,0.0,727.0,917.0,1464533035.663
12.516,0.0,86.984,0.501,0.0,0.0,0.0,1265664.0,2804.0,745.0,0.0,0.0,769.0,958.0,1464533036.663
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,714.0,903.0,1464533037.663
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,802.0,1049.0,1464533038.663
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,2670.0,675.0,0.0,0.0,730.0,916.0,1464533039.663
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,770.0,992.0,1464533040.663
12.250,0.375,87.0,0.375,0.0,0.0,0.0,61440.0,1139.0,409.0,0.0,0.0,735.0,942.0,1464533041.663
12.281,0.125,87.594,0.0,0.0,0.0,0.0,0.0,2670.0,675.0,0.0,0.0,738.0,930.0,1464533042.663
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,728.0,920.0,1464533043.663
12.110,0.499,87.391,0.0,0.0,0.0,0.0,0.0,1127.0,403.0,0.0,0.0,733.0,939.0,1464533044.663
12.171,0.251,87.578,0.0,0.0,0.0,0.0,0.0,3016.0,833.0,0.0,0.0,742.0,932.0,1464533045.663
12.360,0.250,86.891,0.499,0.0,0.0,0.0,102400.0,1217.0,339.0,0.0,0.0,782.0,969.0,1464533046.663
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1153.0,339.0,0.0,0.0,772.0,985.0,1464533047.663
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,2888.0,675.0,0.0,0.0,780.0,987.0,1464533048.663
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,742.0,932.0,1464533049.663
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1319.0,339.0,0.0,0.0,750.0,949.0,1464533050.663
12.281,0.251,87.218,0.251,0.0,0.0,0.0,28672.0,3080.0,675.0,0.0,0.0,749.0,935.0,1464533051.663
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,1447.0,339.0,0.0,0.0,796.0,1043.0,1464533052.663
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,1447.0,339.0,0.0,0.0,744.0,944.0,1464533053.663
