"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.5_12_100_teratest_134791ac-3f74-4fd9-8656-598989b2a2cf.csv",,,,"Date:","29 May 2016 14:32:36 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
2.319,0.197,96.741,0.710,0.000,0.033,312766.129,1463205.749,0.0,0.0,111.309,437.639,551.813,605.483,1464525156.043
13.483,0.499,85.768,0.250,0.0,0.0,0.0,4096.0,8643.0,11972.0,0.0,0.0,958.0,1192.0,1464525157.044
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,4706.0,6464.0,0.0,0.0,718.0,908.0,1464525158.044
12.030,0.501,87.469,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,722.0,896.0,1464525159.044
12.125,0.500,87.375,0.0,0.0,0.0,0.0,491520.0,1620.0,451.0,0.0,0.0,834.0,922.0,1464525160.044
12.140,0.375,87.234,0.250,0.0,0.0,0.0,40960.0,999.0,339.0,0.0,0.0,743.0,948.0,1464525161.044
12.155,0.376,87.594,-0.125,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,739.0,942.0,1464525162.044
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,714.0,896.0,1464525163.044
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,714.0,908.0,1464525164.044
12.281,0.251,87.469,0.0,0.0,0.0,0.0,1531904.0,2113.0,563.0,0.0,0.0,757.0,945.0,1464525165.044
12.375,0.250,87.125,0.250,0.0,0.0,0.0,45056.0,1556.0,451.0,0.0,0.0,711.0,900.0,1464525166.044
12.375,0.250,87.125,0.250,0.0,0.0,0.0,4096.0,999.0,339.0,0.0,0.0,742.0,948.0,1464525167.044
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,752.0,957.0,1464525168.044
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1748.0,861.0,0.0,0.0,749.0,947.0,1464525169.044
12.360,0.375,87.266,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,727.0,915.0,1464525170.044
12.516,0.125,87.234,0.125,0.0,0.0,0.0,24576.0,2113.0,563.0,0.0,0.0,813.0,1064.0,1464525171.044
12.250,0.375,87.375,0.0,0.0,0.0,0.0,4096.0,1556.0,451.0,0.0,0.0,719.0,918.0,1464525172.044
12.219,0.499,87.282,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,733.0,918.0,1464525173.044
12.045,0.376,87.578,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,730.0,922.0,1464525174.044
12.250,0.375,87.375,0.0,0.0,0.0,32768.0,0.0,1556.0,451.0,32768.0,0.0,743.0,952.0,1464525175.044
12.125,0.625,87.0,0.250,0.0,0.0,0.0,28672.0,999.0,339.0,0.0,0.0,818.0,1047.0,1464525176.044
12.390,0.250,87.234,0.125,0.0,0.0,0.0,4096.0,2113.0,563.0,0.0,0.0,778.0,992.0,1464525177.044
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1796.0,569.0,0.0,0.0,750.0,976.0,1464525178.044
12.015,0.501,87.484,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,779.0,1002.0,1464525179.044
12.235,0.499,87.266,0.0,0.0,0.0,0.0,77824.0,2113.0,563.0,0.0,0.0,826.0,1016.0,1464525180.044
12.171,0.251,87.453,0.125,0.0,0.0,0.0,73728.0,1556.0,451.0,0.0,0.0,767.0,1001.0,1464525181.044
12.375,0.250,87.250,0.125,0.0,0.0,0.0,4096.0,999.0,339.0,0.0,0.0,745.0,925.0,1464525182.044
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,2241.0,563.0,0.0,0.0,761.0,963.0,1464525183.044
12.281,0.125,87.594,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,724.0,923.0,1464525184.044
12.375,0.250,87.375,0.0,0.0,0.0,0.0,28672.0,1063.0,339.0,0.0,0.0,745.0,938.0,1464525185.044
12.375,0.250,87.125,0.250,0.0,0.0,0.0,28672.0,2177.0,563.0,0.0,0.0,734.0,922.0,1464525186.044
22.153,1.877,75.845,0.125,0.0,0.0,0.0,4096.0,1684.0,451.0,0.0,0.0,2066.0,1762.0,1464525187.044
33.792,0.876,65.332,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,1659.0,1324.0,1464525188.044
36.763,1.255,61.982,0.0,0.0,0.0,0.0,0.0,3154.0,1109.0,0.0,0.0,1813.0,1360.0,1464525189.044
42.567,1.144,55.781,0.127,0.0,0.381,0.0,1130496.0,1876.0,797.0,0.0,0.0,4873.0,5684.0,1464525190.044
26.103,1.009,70.492,2.396,0.0,0.0,0.0,385024.0,4798732.0,31736.0,0.0,0.0,2507.0,2324.0,1464525191.044
25.500,1.250,71.0,2.125,0.0,0.125,0.0,36864.0,1275849.0,311745.0,0.0,0.0,2795.0,2632.0,1464525192.044
23.116,2.010,70.226,4.648,0.0,0.0,622592.0,20480.0,1144071.0,102843.0,622592.0,0.0,3087.0,3493.0,1464525193.044
34.586,1.128,64.286,0.0,0.0,0.0,0.0,0.0,1140017.0,5653.0,0.0,0.0,2192.0,1524.0,1464525194.043
38.491,1.887,59.623,0.0,0.0,0.0,0.0,274432.0,1143710.0,295928.0,0.0,0.0,1960.0,1474.0,1464525195.044
31.539,0.876,67.334,0.250,0.0,0.0,0.0,278528.0,1140765.0,5947.0,0.0,0.0,1744.0,1539.0,1464525196.044
31.289,0.876,67.209,0.626,0.0,0.0,0.0,4096.0,1139825.0,5589.0,0.0,0.0,1946.0,1638.0,1464525197.044
36.101,1.509,61.761,0.629,0.0,0.0,0.0,16384.0,1140933.0,5883.0,0.0,0.0,3016.0,2890.0,1464525198.044
15.829,0.628,83.417,0.126,0.0,0.0,0.0,4096.0,1140622.0,5889.0,0.0,0.0,2096.0,2203.0,1464525199.044
28.908,1.985,68.486,0.372,0.0,0.248,0.0,1445888.0,829897.0,4563.0,0.0,0.0,5088.0,6149.0,1464525200.046
93.734,5.514,0.627,0.0,0.0,0.125,4096.0,0.0,42681.0,98528.0,0.0,0.0,3249.0,4132.0,1464525201.044
95.995,4.005,0.0,0.0,0.0,0.0,0.0,495616.0,9550.0,5392.0,0.0,0.0,2766.0,2864.0,1464525202.044
96.250,3.750,0.0,0.0,0.0,0.0,0.0,0.0,1997.0,339.0,0.0,0.0,2944.0,2545.0,1464525203.044
94.869,5.006,0.0,0.0,0.0,0.125,0.0,0.0,10194.0,2126.0,0.0,0.0,2982.0,2715.0,1464525204.044
93.742,5.507,0.626,0.0,0.0,0.125,0.0,0.0,4345.0,1880.0,0.0,0.0,3645.0,4142.0,1464525205.044
96.754,3.246,0.0,0.0,0.0,0.0,0.0,0.0,20816.0,17519.0,0.0,0.0,3037.0,3849.0,1464525206.044
97.625,2.250,0.125,0.0,0.0,0.0,0.0,143360.0,4565.0,563.0,0.0,0.0,2922.0,5453.0,1464525207.044
95.875,3.875,0.125,0.0,0.0,0.125,0.0,0.0,5462.0,451.0,0.0,0.0,2930.0,2879.0,1464525208.044
