"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.5_12_100_teratest_5c4507dd-892f-48e8-8463-42338337df78.csv",,,,"Date:","29 May 2016 15:56:53 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
2.449,0.209,96.588,0.720,0.000,0.035,311229.725,1544307.227,0.0,0.0,119.441,435.476,566.951,620.733,1464530213.886
13.517,0.501,85.357,0.626,0.0,0.0,0.0,176128.0,12700.0,17596.0,0.0,0.0,971.0,1181.0,1464530214.887
12.265,0.250,87.484,0.0,0.0,0.0,0.0,864256.0,1144.0,339.0,0.0,0.0,814.0,874.0,1464530215.887
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2258.0,563.0,0.0,0.0,809.0,1031.0,1464530216.887
12.235,0.499,87.266,0.0,0.0,0.0,0.0,0.0,1637.0,451.0,0.0,0.0,725.0,904.0,1464530217.887
12.171,0.251,87.578,0.0,0.0,0.0,0.0,0.0,1144.0,339.0,0.0,0.0,710.0,892.0,1464530218.887
12.390,0.125,87.109,0.375,0.0,0.0,0.0,86016.0,2322.0,563.0,0.0,0.0,753.0,965.0,1464530219.887
12.375,0.250,87.375,0.0,0.0,0.0,0.0,1179648.0,1829.0,451.0,0.0,0.0,754.0,935.0,1464530220.887
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,1348.0,409.0,0.0,0.0,718.0,913.0,1464530221.887
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,2258.0,563.0,0.0,0.0,750.0,947.0,1464530222.887
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1829.0,451.0,0.0,0.0,714.0,906.0,1464530223.887
12.516,0.250,86.483,0.751,0.0,0.0,0.0,98304.0,336139.0,333946.0,0.0,0.0,943.0,1120.0,1464530224.887
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,3272.0,563.0,0.0,0.0,721.0,913.0,1464530225.887
12.155,0.251,87.594,0.0,0.0,0.0,0.0,0.0,1748.0,451.0,0.0,0.0,723.0,912.0,1464530226.887
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,711.0,908.0,1464530227.887
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,2305.0,563.0,0.0,0.0,773.0,986.0,1464530228.887
12.265,0.250,87.109,0.375,0.0,0.0,0.0,16384.0,1620.0,451.0,0.0,0.0,730.0,918.0,1464530229.887
12.045,0.376,87.453,0.125,0.0,0.0,0.0,557056.0,1303.0,457.0,0.0,0.0,817.0,917.0,1464530230.887
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,737.0,938.0,1464530231.887
12.641,0.250,86.233,0.876,0.0,0.0,65536.0,12288.0,2531.0,1143.0,65536.0,0.0,889.0,1179.0,1464530232.887
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,742.0,930.0,1464530233.887
12.250,0.250,87.125,0.375,0.0,0.0,0.0,98304.0,2521.0,703.0,0.0,0.0,791.0,1002.0,1464530234.887
12.155,0.501,87.343,0.0,0.0,0.0,0.0,0.0,1620.0,523.0,0.0,0.0,736.0,919.0,1464530235.887
12.484,0.250,87.266,0.0,0.0,0.0,0.0,0.0,1133.0,409.0,0.0,0.0,776.0,991.0,1464530236.887
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2369.0,635.0,0.0,0.0,757.0,962.0,1464530237.886
12.484,0.250,87.266,0.0,0.0,0.0,0.0,0.0,1754.0,521.0,0.0,0.0,753.0,949.0,1464530238.887
12.265,0.250,87.109,0.375,0.0,0.0,0.0,16384.0,999.0,339.0,0.0,0.0,723.0,923.0,1464530239.887
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,788.0,995.0,1464530240.886
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,742.0,935.0,1464530241.887
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,730.0,933.0,1464530242.887
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,741.0,937.0,1464530243.887
22.961,1.129,75.533,0.376,0.0,0.0,0.0,69632.0,1223.0,338.0,0.0,0.0,2125.0,1789.0,1464530244.887
33.833,0.999,65.169,0.0,0.0,0.0,0.0,0.0,1267.0,639.0,0.0,0.0,1899.0,1388.0,1464530245.887
36.637,1.506,61.606,0.251,0.0,0.0,0.0,1126400.0,2630.0,809.0,0.0,0.0,2585.0,1461.0,1464530246.887
41.042,1.017,57.306,0.381,0.0,0.254,0.0,8192.0,583237.0,8655.0,0.0,0.0,5041.0,5957.0,1464530247.887
26.633,0.754,70.226,2.261,0.0,0.126,0.0,81920.0,6793823.0,39028.0,0.0,0.0,2955.0,2603.0,1464530248.887
31.486,2.519,64.484,1.385,0.0,0.126,0.0,389120.0,1530602.0,406694.0,0.0,0.0,4024.0,4352.0,1464530249.887
31.830,1.629,66.541,0.0,0.0,0.0,0.0,0.0,1520034.0,8665.0,0.0,0.0,2201.0,1412.0,1464530250.887
43.019,1.384,55.472,0.126,0.0,0.0,0.0,1294336.0,1519756.0,7767.0,0.0,0.0,2870.0,1457.0,1464530251.887
28.141,1.131,70.729,0.0,0.0,0.0,0.0,0.0,1490416.0,7861.0,0.0,0.0,1718.0,1547.0,1464530252.887
