"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.5_12_100_teratest_97b5dce8-02d4-4905-a77f-6a5243271669.csv",,,,"Date:","29 May 2016 15:09:49 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
2.377,0.202,96.672,0.714,0.000,0.034,312086.815,1500895.983,0.0,0.0,115.854,436.681,558.693,612.570,1464527389.349
13.300,0.376,86.324,0.0,0.0,0.0,0.0,0.0,11871.0,16179.0,0.0,0.0,993.0,1197.0,1464527390.350
12.484,0.250,86.767,0.499,0.0,0.0,0.0,57344.0,1063.0,339.0,0.0,0.0,758.0,950.0,1464527391.350
12.375,0.250,87.250,0.0,0.0,0.125,0.0,344064.0,1684.0,451.0,0.0,0.0,806.0,894.0,1464527392.350
12.125,0.375,87.500,0.0,0.0,0.0,0.0,0.0,2241.0,563.0,0.0,0.0,731.0,905.0,1464527393.350
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,712.0,888.0,1464527394.350
12.344,0.499,87.157,0.0,0.0,0.0,0.0,0.0,1812.0,451.0,0.0,0.0,716.0,875.0,1464527395.350
12.360,0.375,86.891,0.375,0.0,0.0,0.0,20480.0,2497.0,563.0,0.0,0.0,813.0,1014.0,1464527396.350
12.390,0.250,87.359,0.0,0.0,0.0,0.0,806912.0,1319.0,339.0,0.0,0.0,762.0,938.0,1464527397.350
12.360,0.375,87.266,0.0,0.0,0.0,0.0,0.0,1876.0,451.0,0.0,0.0,730.0,908.0,1464527398.350
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,2305.0,563.0,0.0,0.0,730.0,904.0,1464527399.350
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1191.0,685.0,0.0,0.0,757.0,974.0,1464527400.350
12.265,0.250,87.234,0.250,0.0,0.0,0.0,61440.0,1800.0,545.0,0.0,0.0,719.0,903.0,1464527401.350
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,705.0,891.0,1464527402.350
12.516,0.125,87.359,0.0,0.0,0.0,0.0,0.0,1393.0,457.0,0.0,0.0,724.0,919.0,1464527403.350
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,729.0,934.0,1464527404.350
12.594,0.249,87.157,0.0,0.0,0.0,0.0,0.0,2177.0,653.0,0.0,0.0,729.0,923.0,1464527405.350
12.155,0.376,87.093,0.376,0.0,0.0,0.0,16384.0,1281.0,339.0,0.0,0.0,767.0,998.0,1464527406.350
12.484,0.250,87.266,0.0,0.0,0.0,0.0,77824.0,1620.0,451.0,0.0,0.0,763.0,932.0,1464527407.350
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,731.0,926.0,1464527408.350
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,746.0,949.0,1464527409.350
12.125,0.375,87.500,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,720.0,910.0,1464527410.350
12.250,0.375,86.750,0.625,0.0,0.0,0.0,28672.0,2177.0,563.0,0.0,0.0,743.0,935.0,1464527411.350
12.484,0.125,87.266,0.0,0.0,0.125,0.0,20480.0,1127.0,339.0,0.0,0.0,718.0,914.0,1464527412.350
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,726.0,912.0,1464527413.350
12.235,0.499,87.266,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,729.0,917.0,1464527414.350
12.140,0.501,87.359,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,712.0,904.0,1464527415.350
12.265,0.250,87.109,0.375,0.0,0.0,0.0,32768.0,1684.0,451.0,0.0,0.0,727.0,927.0,1464527416.350
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,2523.0,705.0,0.0,0.0,774.0,970.0,1464527417.350
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,723.0,898.0,1464527418.350
12.250,0.500,87.250,0.0,0.0,0.0,0.0,0.0,1966.0,529.0,0.0,0.0,752.0,936.0,1464527419.350
22.083,1.380,76.537,0.0,0.0,0.0,0.0,0.0,2305.0,563.0,0.0,0.0,2044.0,1715.0,1464527420.350
32.873,1.004,65.245,0.878,0.0,0.0,0.0,196608.0,1523.0,1033.0,0.0,0.0,1759.0,1360.0,1464527421.350
36.010,2.008,61.857,0.125,0.0,0.0,0.0,1261568.0,2265.0,697.0,0.0,0.0,2227.0,1352.0,1464527422.350
41.837,1.148,56.378,0.255,0.0,0.383,0.0,4096.0,6143895.0,47809.0,0.0,0.0,4781.0,5421.0,1464527423.350
27.854,1.129,69.385,1.506,0.0,0.125,0.0,53248.0,3432388.0,303847.0,0.0,0.0,2566.0,2110.0,1464527424.350
