"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.5_12_100_teratest_a94dbb1c-bc0a-484c-85f9-a96be47900d1.csv",,,,"Date:","29 May 2016 14:51:04 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
2.347,0.199,96.709,0.712,0.000,0.033,312429.229,1480327.582,0.0,0.0,114.154,437.163,554.922,608.654,1464526264.698
13.659,0.251,85.714,0.376,0.0,0.0,0.0,102400.0,13304.0,18194.0,0.0,0.0,990.0,1176.0,1464526265.699
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,717.0,889.0,1464526266.699
12.125,0.375,87.500,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,699.0,872.0,1464526267.699
12.296,0.251,87.453,0.0,0.0,0.0,0.0,8192.0,2177.0,563.0,0.0,0.0,740.0,928.0,1464526268.699
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,708.0,868.0,1464526269.699
12.250,0.375,87.0,0.375,0.0,0.0,0.0,16384.0,1620.0,451.0,0.0,0.0,703.0,881.0,1464526270.699
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,736.0,912.0,1464526271.699
12.265,0.501,86.358,0.876,0.0,0.0,131072.0,12288.0,1371.0,685.0,131072.0,0.0,905.0,1184.0,1464526272.699
12.390,0.125,87.359,0.0,0.0,0.125,32768.0,282624.0,1876.0,451.0,32768.0,0.0,740.0,927.0,1464526273.699
12.235,0.375,87.391,0.0,0.0,0.0,0.0,0.0,2523.0,563.0,0.0,0.0,744.0,917.0,1464526274.699
12.296,0.376,87.077,0.251,0.0,0.0,0.0,81920.0,1345.0,339.0,0.0,0.0,722.0,896.0,1464526275.699
12.125,0.375,87.500,0.0,0.0,0.0,0.0,0.0,1812.0,613.0,0.0,0.0,732.0,931.0,1464526276.699
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,731.0,905.0,1464526277.699
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,706.0,888.0,1464526278.699
12.360,0.375,87.266,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,720.0,895.0,1464526279.699
12.140,0.250,87.234,0.375,0.0,0.0,0.0,16384.0,2177.0,563.0,0.0,0.0,722.0,906.0,1464526280.699
12.015,0.501,87.484,0.0,0.0,0.0,0.0,0.0,1393.0,457.0,0.0,0.0,764.0,962.0,1464526281.699
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,726.0,920.0,1464526282.699
12.015,0.501,87.484,0.0,0.0,0.0,0.0,86016.0,2241.0,563.0,0.0,0.0,761.0,910.0,1464526283.699
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,718.0,892.0,1464526284.699
12.125,0.375,87.0,0.500,0.0,0.0,0.0,28672.0,1748.0,451.0,0.0,0.0,719.0,896.0,1464526285.699
12.406,0.251,87.343,0.0,0.0,0.0,32768.0,0.0,2305.0,909.0,32768.0,0.0,788.0,986.0,1464526286.699
12.484,0.250,87.266,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,728.0,909.0,1464526287.699
12.265,0.375,87.359,0.0,0.0,0.0,0.0,24576.0,1556.0,451.0,0.0,0.0,789.0,1040.0,1464526288.699
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,780.0,970.0,1464526289.699
12.125,0.375,87.0,0.500,0.0,0.0,0.0,40960.0,999.0,339.0,0.0,0.0,727.0,913.0,1464526290.699
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,1556.0,515.0,0.0,0.0,726.0,923.0,1464526291.699
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2177.0,627.0,0.0,0.0,758.0,960.0,1464526292.699
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1063.0,403.0,0.0,0.0,739.0,925.0,1464526293.699
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1812.0,451.0,0.0,0.0,715.0,904.0,1464526294.699
22.750,1.375,75.375,0.500,0.0,0.0,0.0,16384.0,2305.0,563.0,0.0,0.0,2114.0,1768.0,1464526295.699
33.250,1.125,65.500,0.0,0.0,0.125,0.0,0.0,1331.0,639.0,0.0,0.0,1772.0,1387.0,1464526296.699
36.432,1.759,61.809,0.0,0.0,0.0,0.0,0.0,2377.0,879.0,0.0,0.0,1938.0,1351.0,1464526297.699
41.890,1.533,54.917,1.405,0.0,0.255,0.0,1171456.0,172753.0,4913.0,0.0,0.0,5059.0,5439.0,1464526298.699
27.102,1.004,69.762,2.133,0.0,0.0,32768.0,57344.0,6797848.0,45581.0,32768.0,0.0,2495.0,2120.0,1464526299.699
27.854,1.506,67.503,3.137,0.0,0.0,28672.0,348160.0,1530251.0,406530.0,28672.0,0.0,3241.0,3507.0,1464526300.699
