"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.5_12_100_teratest_a9599e95-969a-4f9f-9d1d-44ca2303d435.csv",,,,"Date:","29 May 2016 14:05:11 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
2.276,0.193,96.791,0.708,0.000,0.032,313268.452,1436857.642,0.0,0.0,108.589,438.347,547.087,600.991,1464523511.403
12.766,0.375,86.859,0.0,0.0,0.0,0.0,0.0,10679.0,15951.0,0.0,0.0,908.0,1137.0,1464523512.404
12.265,0.250,87.109,0.375,0.0,0.0,0.0,110592.0,1153.0,339.0,0.0,0.0,739.0,927.0,1464523513.404
12.250,0.250,87.375,0.125,0.0,0.0,0.0,0.0,3038.0,793.0,0.0,0.0,750.0,929.0,1464523514.404
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,711.0,901.0,1464523515.404
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,726.0,920.0,1464523516.404
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,3180.0,1185.0,0.0,0.0,739.0,913.0,1464523517.404
12.265,0.375,87.109,0.250,0.0,0.0,0.0,16384.0,999.0,339.0,0.0,0.0,694.0,885.0,1464523518.404
12.140,0.375,87.359,0.125,0.0,0.0,0.0,954368.0,1089.0,339.0,0.0,0.0,706.0,876.0,1464523519.404
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2670.0,675.0,0.0,0.0,737.0,934.0,1464523520.404
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,1089.0,339.0,0.0,0.0,688.0,870.0,1464523521.404
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,1483.0,759.0,0.0,0.0,737.0,941.0,1464523522.404
12.516,0.125,86.984,0.375,0.0,0.0,0.0,53248.0,2798.0,675.0,0.0,0.0,711.0,881.0,1464523523.404
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,1255.0,749.0,0.0,0.0,707.0,913.0,1464523524.404
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,715.0,911.0,1464523525.404
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2926.0,675.0,0.0,0.0,730.0,911.0,1464523526.404
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,1605.0,689.0,0.0,0.0,716.0,887.0,1464523527.404
12.375,0.375,87.0,0.250,0.0,0.0,0.0,16384.0,1325.0,409.0,0.0,0.0,750.0,954.0,1464523528.404
12.516,0.0,86.984,0.501,0.0,0.0,0.0,401408.0,2990.0,675.0,0.0,0.0,854.0,927.0,1464523529.404
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.0,920.0,1464523530.404
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2686.0,796.0,0.0,0.0,723.0,940.0,1464523531.404
12.422,0.0,87.578,0.0,0.0,0.0,0.0,0.0,3346.0,1095.0,0.0,0.0,721.0,904.0,1464523532.404
12.125,0.500,87.125,0.250,0.0,0.0,0.0,40960.0,1191.0,339.0,0.0,0.0,699.0,894.0,1464523533.404
12.265,0.250,87.359,0.125,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,661.0,842.0,1464523534.404
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,2670.0,675.0,0.0,0.0,693.0,868.0,1464523535.404
12.500,0.250,87.250,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,675.0,879.0,1464523536.404
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1279.0,619.0,0.0,0.0,708.0,894.0,1464523537.404
12.250,0.375,87.0,0.375,0.0,0.0,0.0,20480.0,2810.0,815.0,0.0,0.0,699.0,886.0,1464523538.404
12.375,0.250,87.500,-0.125,0.0,0.0,0.0,8192.0,999.0,339.0,0.0,0.0,682.0,852.0,1464523539.404
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,999.0,685.0,0.0,0.0,694.0,892.0,1464523540.404
12.125,0.375,87.500,0.0,0.0,0.0,0.0,0.0,2798.0,675.0,0.0,0.0,690.0,876.0,1464523541.404
23.869,2.010,74.121,0.0,0.0,0.0,0.0,0.0,1419.0,759.0,0.0,0.0,2112.0,1790.0,1464523542.404
35.213,1.253,63.534,0.0,0.0,0.0,0.0,192512.0,1139.0,639.0,0.0,0.0,1830.0,1344.0,1464523543.404
35.625,1.375,63.0,0.0,0.0,0.0,20480.0,1208320.0,0.0,0.0,0.0,0.0,1952.0,1422.0,1464523544.404
41.519,1.519,56.076,0.633,0.0,0.253,16384.0,8192.0,5087157.0,45760.0,0.0,0.0,4623.0,5149.0,1464523545.404
26.322,1.134,70.025,2.519,0.0,0.0,0.0,77824.0,2855378.0,301347.0,0.0,0.0,3130.0,2595.0,1464523546.404
25.439,0.752,73.308,0.501,0.0,0.0,0.0,20480.0,1535617.0,132769.0,0.0,0.0,3035.0,2487.0,1464523547.404
12.155,0.501,87.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263.0,968.0,1464523548.404
12.281,0.376,86.466,0.877,0.0,0.0,0.0,204800.0,3038408.0,14888.0,0.0,0.0,1258.0,948.0,1464523549.404
12.422,0.376,87.202,0.0,0.0,0.0,0.0,0.0,1522953.0,9046.0,0.0,0.0,1320.0,1067.0,1464523550.404
12.516,0.375,87.109,0.0,0.0,0.0,0.0,0.0,1520650.0,9874.0,0.0,0.0,1291.0,1092.0,1464523551.404
12.673,0.125,86.826,0.376,0.0,0.0,0.0,12288.0,1521314.0,8748.0,0.0,0.0,1306.0,1045.0,1464523552.404
12.563,0.503,86.683,0.251,0.0,0.0,0.0,8192.0,1524249.0,9561.0,0.0,0.0,1307.0,1095.0,1464523553.404
12.907,0.251,86.591,0.251,0.0,0.0,0.0,839680.0,1037485.0,6803.0,0.0,0.0,1201.0,1153.0,1464523554.404
73.316,9.149,17.281,0.127,0.0,0.127,0.0,4096.0,45882.0,32791.0,0.0,0.0,5899.0,7702.0,1464523555.404
95.256,4.744,0.0,0.0,0.0,0.0,0.0,0.0,12991.0,97242.0,0.0,0.0,2847.0,3152.0,1464523556.404
96.746,3.129,0.0,0.0,0.0,0.125,0.0,0.0,3787.0,1682.0,0.0,0.0,2838.0,2789.0,1464523557.404
95.375,4.625,0.0,0.0,0.0,0.0,0.0,0.0,10868.0,2338.0,0.0,0.0,3131.0,2731.0,1464523558.404
94.507,5.243,0.0,0.0,0.0,0.250,8192.0,1880064.0,6837.0,3104.0,0.0,0.0,3797.0,2912.0,1464523559.404
94.521,5.230,0.125,0.0,0.0,0.125,0.0,4096.0,11071.0,10731.0,0.0,0.0,3381.0,3607.0,1464523560.408
96.734,3.266,0.0,0.0,0.0,0.0,0.0,0.0,3607.0,2097.0,0.0,0.0,2985.0,2945.0,1464523561.404
97.625,2.250,0.0,0.0,0.0,0.125,0.0,0.0,18320.0,19148.0,0.0,0.0,3176.0,6408.0,1464523562.404
96.996,3.004,0.0,0.0,0.0,0.0,0.0,0.0,10215.0,24758.0,0.0,0.0,2960.0,3469.0,1464523563.404
94.368,5.507,0.0,0.0,0.0,0.125,32768.0,135168.0,9849.0,22741.0,0.0,0.0,3142.0,4168.0,1464523564.404
88.390,11.361,0.125,0.0,0.0,0.125,0.0,4096.0,5616.0,2082.0,0.0,0.0,3118.0,4816.0,1464523565.404
95.745,3.880,0.0,0.0,0.0,0.375,0.0,0.0,3106.0,1326.0,0.0,0.0,3513.0,11741.0,1464523566.404
89.888,8.614,0.0,0.0,0.0,1.498,8192.0,0.0,3362.0,3668.0,0.0,0.0,4427.0,19682.0,1464523567.404
94.243,5.131,0.0,0.0,0.0,0.626,0.0,0.0,5584.0,3333.0,0.0,0.0,3565.0,9423.0,1464523568.404
97.375,2.125,0.0,0.0,0.0,0.500,0.0,1830912.0,9041.0,1192.0,0.0,0.0,3325.0,3134.0,1464523569.404
97.250,2.625,0.0,0.0,0.0,0.125,0.0,0.0,14723.0,2900283.0,0.0,0.0,2809.0,2532.0,1464523570.404
87.391,12.609,0.0,0.0,0.0,0.0,0.0,0.0,5595.0,5642.0,0.0,0.0,2645.0,2307.0,1464523571.404
82.103,17.647,0.0,0.0,0.0,0.250,229376.0,16384.0,13830.0,2898013.0,229376.0,0.0,3102.0,3631.0,1464523572.404
87.750,11.375,0.125,0.0,0.0,0.750,0.0,0.0,4266.0,2750.0,0.0,0.0,4342.0,18658.0,1464523573.404
93.009,2.497,3.745,0.0,0.0,0.749,0.0,102400.0,8699034.0,57297.0,0.0,0.0,4704.0,4344.0,1464523574.404
99.625,0.375,0.0,0.0,0.0,0.0,0.0,4096.0,3286.0,2261.0,0.0,0.0,2622.0,1513.0,1464523575.404
87.250,12.750,0.0,0.0,0.0,0.0,0.0,8192.0,6311.0,3718.0,0.0,0.0,2723.0,1730.0,1464523576.404
83.396,16.355,0.0,0.0,0.0,0.250,12288.0,0.0,11722.0,10696.0,0.0,0.0,2897.0,2451.0,1464523577.404
89.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8355.0,5280.0,0.0,0.0,2651.0,2442.0,1464523578.404
81.750,18.125,0.0,0.0,0.0,0.125,0.0,48128000.0,7794.0,5041.0,0.0,0.0,2958.0,2314.0,1464523579.404
73.658,14.107,0.125,11.985,0.0,0.125,0.0,100356096.0,16087.0,13031.0,0.0,0.0,2971.0,5474.0,1464523580.404
84.981,15.019,0.0,0.0,0.0,0.0,0.0,0.0,3582.0,1520.0,0.0,0.0,2631.0,7900.0,1464523581.404
80.201,17.794,1.880,0.0,0.0,0.125,0.0,0.0,6711.0,7256.0,0.0,0.0,3004.0,4072.0,1464523582.404
53.962,12.453,33.459,0.0,0.0,0.126,0.0,0.0,17765.0,15401.0,0.0,0.0,4692.0,5608.0,1464523583.404
64.403,6.541,29.057,0.0,0.0,0.0,0.0,0.0,18146.0,8194.0,0.0,0.0,4144.0,3628.0,1464523584.404
91.572,5.031,2.642,0.252,0.0,0.503,0.0,82796544.0,20715.0,25087.0,32768.0,0.0,4139.0,2927.0,1464523585.404
95.995,3.755,0.0,0.0,0.0,0.250,32768.0,94728192.0,6544.0,4848.0,0.0,0.0,3269.0,3175.0,1464523586.404
95.630,3.745,0.125,0.0,0.0,0.499,0.0,117272576.0,9319.0,16289.0,0.0,0.0,3599.0,2740.0,1464523587.404
94.110,4.887,0.376,0.0,0.0,0.627,0.0,108003328.0,10134.0,12085.0,0.0,0.0,3589.0,2759.0,1464523588.404
93.992,5.632,0.0,0.0,0.0,0.375,4096.0,99979264.0,9448.0,14430.0,0.0,0.0,3408.0,5432.0,1464523589.404
96.629,2.871,0.125,0.0,0.0,0.375,0.0,91348992.0,3137.0,1331.0,0.0,0.0,3034.0,3766.0,1464523590.404
90.818,7.296,1.509,0.0,0.0,0.377,0.0,100139008.0,0.0,0.0,0.0,0.0,4203.0,4898.0,1464523591.404
92.115,6.884,0.375,0.0,0.0,0.626,0.0,119894016.0,7311.0,3660.0,0.0,0.0,3763.0,4255.0,1464523592.404
91.375,6.500,0.750,0.125,0.0,1.250,0.0,108883968.0,3220685.0,20673.0,0.0,0.0,7511.0,10849.0,1464523593.404
89.375,7.125,0.0,0.0,0.0,3.500,0.0,114126848.0,0.0,0.0,0.0,0.0,14553.0,5134.0,1464523594.404
90.738,3.755,4.506,0.0,0.0,1.001,0.0,93458432.0,92037782.0,6102669.0,0.0,0.0,6123.0,2803.0,1464523595.404
88.833,4.768,6.274,0.0,0.0,0.125,0.0,9793536.0,402925.0,13734.0,0.0,0.0,2952.0,3318.0,1464523596.404
84.625,13.250,2.0,0.0,0.0,0.125,0.0,0.0,389591.0,17275.0,0.0,0.0,3170.0,2930.0,1464523597.404
87.625,11.375,0.125,0.0,0.0,0.875,0.0,0.0,3254642.0,17661.0,0.0,0.0,6144.0,8366.0,1464523598.404
92.750,4.875,0.125,0.0,0.0,2.250,0.0,0.0,48430545.0,190237.0,0.0,0.0,9178.0,5911.0,1464523599.404
96.245,3.755,0.0,0.0,0.0,0.0,0.0,172032.0,6960.0,3969.0,0.0,0.0,2759.0,1917.0,1464523600.404
88.250,11.625,0.0,0.0,0.0,0.125,0.0,0.0,11647.0,9853.0,0.0,0.0,2789.0,2023.0,1464523601.404
86.875,13.0,0.125,0.0,0.0,0.0,0.0,0.0,13206.0,7986.0,0.0,0.0,2824.0,2942.0,1464523602.404
88.750,11.125,0.0,0.0,0.0,0.125,0.0,0.0,4761.0,4167.0,0.0,0.0,2929.0,3637.0,1464523603.404
86.625,13.250,0.0,0.0,0.0,0.125,0.0,0.0,5719.0,6651.0,0.0,0.0,2643.0,2403.0,1464523604.404
87.0,12.875,0.0,0.0,0.0,0.125,0.0,184320.0,4555.0,3739.0,0.0,0.0,2903.0,7415.0,1464523605.404
86.750,13.125,0.125,0.0,0.0,0.0,0.0,0.0,3895.0,2733.0,0.0,0.0,2799.0,3169.0,1464523606.404
79.699,12.281,7.143,0.251,0.0,0.627,4096.0,0.0,13988.0,14725.0,0.0,0.0,4949.0,7786.0,1464523607.407
55.233,5.170,37.327,0.631,0.0,1.639,245760.0,0.0,497779.0,43921957.0,0.0,0.0,9840.0,5441.0,1464523608.404
41.582,12.372,43.112,0.638,0.0,2.296,102400.0,63393792.0,28486829.0,73157236.0,0.0,0.0,11801.0,7429.0,1464523609.404
35.714,3.954,45.408,13.265,0.0,1.658,86016.0,8839168.0,0.0,0.0,0.0,0.0,13683.0,6948.0,1464523610.404
28.109,3.756,66.969,0.0,0.0,1.166,0.0,0.0,63971427.0,139109175.0,0.0,0.0,13698.0,8487.0,1464523611.404
28.036,1.680,68.863,0.0,0.0,1.421,0.0,0.0,37348769.0,74649433.0,0.0,0.0,13922.0,9440.0,1464523612.404
27.378,2.314,68.766,0.0,0.0,1.542,0.0,0.0,53585256.0,77215536.0,0.0,0.0,16717.0,12251.0,1464523613.404
50.320,12.036,33.803,0.0,0.0,3.841,0.0,0.0,53274714.0,79783474.0,0.0,0.0,17003.0,11024.0,1464523614.404
37.806,7.355,51.871,0.258,0.0,2.710,0.0,12234752.0,63149535.0,81766282.0,0.0,0.0,18331.0,11914.0,1464523615.404
33.890,6.418,57.895,0.0,0.0,1.797,0.0,11702272.0,55749318.0,76626799.0,0.0,0.0,13947.0,7153.0,1464523616.404
34.518,5.203,58.756,0.0,0.0,1.523,0.0,44830720.0,1223075.0,65481836.0,0.0,0.0,8730.0,2740.0,1464523617.404
32.952,5.598,60.814,0.0,0.0,0.636,0.0,26148864.0,1213498.0,64711157.0,0.0,0.0,7808.0,2500.0,1464523618.404
27.446,4.956,66.836,0.0,0.0,0.762,0.0,39948288.0,1234662.0,65026579.0,0.0,0.0,7650.0,3436.0,1464523619.404
23.560,4.353,69.270,1.921,0.0,0.896,0.0,55832576.0,1279581.0,81492539.0,0.0,0.0,11949.0,3420.0,1464523620.404
20.179,2.427,76.373,0.0,0.0,1.022,0.0,59322368.0,1176591.0,94874686.0,0.0,0.0,10675.0,3227.0,1464523621.404
12.692,1.026,85.769,0.0,0.0,0.513,0.0,14516224.0,1271281.0,74868343.0,0.0,0.0,12696.0,3732.0,1464523622.404
13.049,1.550,84.755,0.0,0.0,0.646,0.0,68726784.0,1393175.0,97606344.0,0.0,0.0,15110.0,5489.0,1464523623.404
13.032,1.032,85.161,0.0,0.0,0.774,0.0,57925632.0,1237820.0,108826803.0,0.0,0.0,14244.0,3778.0,1464523624.404
12.678,1.164,81.501,4.010,0.0,0.647,0.0,72622080.0,1030544.0,123250583.0,0.0,0.0,13532.0,4610.0,1464523625.404
12.661,1.163,85.271,0.0,0.0,0.904,0.0,23822336.0,1186472.0,123377064.0,0.0,0.0,14314.0,4264.0,1464523626.404
12.965,1.155,85.494,0.0,0.0,0.385,0.0,83124224.0,1060162.0,123377345.0,0.0,0.0,13325.0,2955.0,1464523627.404
12.645,1.032,85.419,0.0,0.0,0.903,0.0,71516160.0,1989356.0,98708797.0,0.0,0.0,14764.0,4195.0,1464523628.404
13.359,1.556,84.565,0.0,0.0,0.519,0.0,98185216.0,6082306.0,110468877.0,0.0,0.0,17199.0,5938.0,1464523629.404
13.472,1.295,79.793,5.052,0.0,0.389,0.0,81952768.0,5361922.0,99366555.0,0.0,0.0,16828.0,4795.0,1464523630.404
12.739,1.656,85.350,0.0,0.0,0.255,0.0,98357248.0,5746372.0,77018576.0,0.0,0.0,15221.0,3729.0,1464523631.404
12.579,0.629,86.792,0.0,0.0,0.0,0.0,7139328.0,7484262.0,8480366.0,0.0,0.0,2842.0,2665.0,1464523632.404
12.923,0.376,86.575,0.0,0.0,0.125,0.0,0.0,6014359.0,54117.0,0.0,0.0,2515.0,2406.0,1464523633.404
12.657,0.752,86.591,0.0,0.0,0.0,0.0,0.0,7860463.0,67723.0,0.0,0.0,2816.0,2768.0,1464523634.404
13.158,0.501,85.840,0.501,0.0,0.0,0.0,339968.0,6507462.0,57815.0,0.0,0.0,3518.0,2964.0,1464523635.403
13.561,0.760,85.171,0.380,0.0,0.127,0.0,8192.0,19087870.0,158876.0,0.0,0.0,7694.0,6025.0,1464523636.404
18.262,2.141,79.345,0.0,0.0,0.252,0.0,0.0,0.0,0.0,0.0,0.0,5575.0,3781.0,1464523637.404
22.431,2.882,74.687,0.0,0.0,0.0,0.0,0.0,25902582.0,211655.0,0.0,0.0,1073.0,1047.0,1464523638.404
31.790,2.503,65.207,0.501,0.0,0.0,0.0,12288.0,4407.0,3536.0,0.0,0.0,1592.0,1440.0,1464523639.404
22.528,2.753,73.467,1.252,0.0,0.0,0.0,479232.0,8719.0,5038.0,0.0,0.0,1282.0,1158.0,1464523640.404
23.780,2.003,73.467,0.751,0.0,0.0,0.0,28672.0,7647.0,4541.0,0.0,0.0,1267.0,1238.0,1464523641.404
49.875,2.005,47.368,0.627,0.0,0.125,0.0,16384.0,5517.0,4947.0,0.0,0.0,4437.0,3289.0,1464523642.404
29.449,3.133,66.291,0.752,0.0,0.376,0.0,24576.0,12937.0,6759.0,0.0,0.0,3819.0,8098.0,1464523643.404
28.141,2.513,69.095,0.0,0.0,0.251,0.0,0.0,2797.0,1409.0,0.0,0.0,4390.0,7415.0,1464523644.404
29.020,3.141,61.055,6.658,0.0,0.126,0.0,61526016.0,4089.0,2824.0,0.0,0.0,4564.0,7459.0,1464523645.404
29.508,3.026,53.972,13.241,0.0,0.252,0.0,93335552.0,6948.0,2503.0,0.0,0.0,4457.0,7319.0,1464523646.404
27.466,3.246,50.437,18.352,0.0,0.499,0.0,98054144.0,8197.0,3031.0,0.0,0.0,4600.0,7343.0,1464523647.404
29.338,3.246,52.060,15.231,0.0,0.125,0.0,92565504.0,4377.0,3646.0,0.0,0.0,4764.0,7531.0,1464523648.404
