"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.5_12_100_teratest_ac513a5b-a304-455d-90c0-6036f4278680.csv",,,,"Date:","29 May 2016 17:02:28 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
2.554,0.218,96.466,0.725,0.000,0.037,310041.342,1613463.978,0.0,0.0,122.269,433.808,578.962,632.815,1464534148.294
13.625,0.375,86.0,0.0,0.0,0.0,0.0,0.0,7679.0,10395.0,0.0,0.0,949.0,1153.0,1464534149.295
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,6496.0,7722.0,0.0,0.0,726.0,898.0,1464534150.295
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,694.0,871.0,1464534151.295
12.265,0.250,87.484,0.0,0.0,0.0,0.0,12288.0,999.0,339.0,0.0,0.0,732.0,920.0,1464534152.295
12.281,0.251,87.218,0.251,0.0,0.0,0.0,53248.0,2113.0,563.0,0.0,0.0,749.0,942.0,1464534153.295
12.110,0.499,87.391,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,701.0,874.0,1464534154.295
12.030,0.501,87.469,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,715.0,883.0,1464534155.295
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,727.0,910.0,1464534156.295
12.360,0.375,87.266,0.0,0.0,0.0,0.0,675840.0,1556.0,451.0,0.0,0.0,760.0,919.0,1464534157.295
12.250,0.250,87.125,0.375,0.0,0.0,0.0,53248.0,999.0,339.0,0.0,0.0,710.0,894.0,1464534158.295
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,722.0,901.0,1464534159.295
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,738.0,947.0,1464534160.295
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,712.0,893.0,1464534161.295
12.281,0.125,87.594,0.0,0.0,0.0,0.0,24576.0,2113.0,563.0,0.0,0.0,742.0,926.0,1464534162.295
12.125,0.500,87.125,0.250,0.0,0.0,0.0,28672.0,1796.0,569.0,0.0,0.0,724.0,915.0,1464534163.295
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,724.0,933.0,1464534164.295
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,745.0,935.0,1464534165.295
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,718.0,903.0,1464534166.295
