"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.5_12_100_teratest_d6687328-697a-49b4-8ff7-05fa594a15fe.csv",,,,"Date:","29 May 2016 15:00:30 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
2.362,0.201,96.690,0.713,0.000,0.033,312257.117,1490634.653,0.0,0.0,115.114,436.921,556.861,610.673,1464526830.085
13.392,0.501,86.108,0.0,0.0,0.0,0.0,2904064.0,7513.0,8975.0,0.0,0.0,1015.0,1135.0,1464526831.086
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,6041.0,9030.0,0.0,0.0,733.0,893.0,1464526832.086
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,726.0,912.0,1464526833.086
12.235,0.499,87.266,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,716.0,887.0,1464526834.086
12.250,0.375,86.875,0.500,0.0,0.0,0.0,114688.0,1556.0,451.0,0.0,0.0,734.0,905.0,1464526835.086
12.250,0.375,87.375,0.0,0.0,0.0,0.0,679936.0,2113.0,563.0,0.0,0.0,741.0,913.0,1464526836.086
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,723.0,900.0,1464526837.086
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,718.0,889.0,1464526838.086
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,761.0,945.0,1464526839.086
12.125,0.500,87.0,0.375,0.0,0.0,0.0,61440.0,1367.0,457.0,0.0,0.0,723.0,899.0,1464526840.086
12.375,0.250,87.375,0.0,0.0,0.0,0.0,1077248.0,1620.0,451.0,0.0,0.0,828.0,908.0,1464526841.086
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,716.0,895.0,1464526842.086
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,721.0,910.0,1464526843.086
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1556.0,797.0,0.0,0.0,721.0,894.0,1464526844.086
12.500,0.250,86.750,0.500,0.0,0.0,0.0,69632.0,2113.0,563.0,0.0,0.0,738.0,929.0,1464526845.086
12.140,0.375,87.484,0.0,0.0,0.0,0.0,4096.0,999.0,339.0,0.0,0.0,714.0,887.0,1464526846.086
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,773.0,970.0,1464526847.086
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,735.0,921.0,1464526848.086
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,727.0,904.0,1464526849.086
12.406,0.125,87.093,0.376,0.0,0.0,0.0,16384.0,1556.0,451.0,0.0,0.0,758.0,948.0,1464526850.086
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,735.0,928.0,1464526851.086
12.360,0.375,87.266,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,739.0,917.0,1464526852.086
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1748.0,451.0,0.0,0.0,751.0,940.0,1464526853.086
