"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.5_12_100_teratest_dd373844-3d82-4950-ad05-eb3d1ec21a07.csv",,,,"Date:","29 May 2016 16:06:06 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
2.463,0.210,96.571,0.721,0.000,0.035,311062.291,1553702.549,0.0,0.0,119.664,435.241,568.612,622.386,1464530766.412
13.642,0.250,86.108,0.0,0.0,0.0,0.0,0.0,10706.0,15579.0,0.0,0.0,985.0,1197.0,1464530767.413
12.484,0.250,87.266,0.0,0.0,0.0,0.0,0.0,2706.0,563.0,0.0,0.0,726.0,908.0,1464530768.413
12.265,0.250,87.234,0.250,0.0,0.0,0.0,499712.0,1957.0,451.0,0.0,0.0,810.0,895.0,1464530769.413
12.155,0.376,87.218,0.251,0.0,0.0,0.0,65536.0,1592.0,339.0,0.0,0.0,720.0,896.0,1464530770.413
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2514.0,563.0,0.0,0.0,721.0,896.0,1464530771.413
12.531,0.376,86.717,0.376,0.0,0.0,98304.0,16384.0,3522.0,1675.0,98304.0,0.0,898.0,1165.0,1464530772.413
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1336.0,339.0,0.0,0.0,726.0,890.0,1464530773.413
12.390,0.250,87.359,0.0,0.0,0.0,32768.0,1343488.0,2258.0,563.0,32768.0,0.0,727.0,891.0,1464530774.413
12.265,0.375,86.984,0.375,0.0,0.0,0.0,65536.0,1765.0,523.0,0.0,0.0,722.0,915.0,1464530775.413
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,1150.0,409.0,0.0,0.0,692.0,870.0,1464530776.413
12.140,0.501,87.359,0.0,0.0,0.0,0.0,0.0,2328.0,705.0,0.0,0.0,713.0,894.0,1464530777.413
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1707.0,521.0,0.0,0.0,766.0,978.0,1464530778.413
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,1669.0,339.0,0.0,0.0,706.0,884.0,1464530779.413
12.469,0.374,86.783,0.374,0.0,0.0,0.0,20480.0,2194.0,563.0,0.0,0.0,753.0,955.0,1464530780.413
12.140,0.501,87.359,0.0,0.0,0.0,0.0,0.0,1701.0,451.0,0.0,0.0,705.0,878.0,1464530781.413
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1494.0,689.0,0.0,0.0,722.0,905.0,1464530782.413
12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,2258.0,563.0,0.0,0.0,745.0,942.0,1464530783.413
13.534,0.376,86.090,0.0,0.0,0.0,0.0,0.0,19628.0,283725.0,0.0,0.0,1147.0,1353.0,1464530784.413
12.484,0.375,86.642,0.375,0.0,0.125,0.0,20480.0,4202.0,10618.0,0.0,0.0,1519.0,2456.0,1464530785.413
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,2194.0,563.0,0.0,0.0,697.0,876.0,1464530786.413
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,1989.0,521.0,0.0,0.0,717.0,913.0,1464530787.413
