"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.5_24_100_teratest_98325b6b-1342-4ddc-a7ce-b95ede476535.csv",,,,"Date:","28 May 2016 13:06:19 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
0.581,0.058,98.775,0.578,0.000,0.008,243140.682,433994.720,0.0,0.0,20.668,105.199,254.037,365.746,1464433579.359
13.625,0.375,86.0,0.0,0.0,0.0,0.0,208896.0,12318.0,17624.0,0.0,0.0,1028.0,1201.0,1464433580.360
12.484,0.125,87.266,0.0,0.0,0.125,0.0,0.0,2369.0,563.0,0.0,0.0,749.0,919.0,1464433581.360
12.265,0.375,86.984,0.375,0.0,0.0,0.0,86016.0,1876.0,451.0,0.0,0.0,726.0,906.0,1464433582.360
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,710.0,885.0,1464433583.360
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,724.0,889.0,1464433584.360
12.500,0.250,87.250,0.0,0.0,0.0,0.0,40960.0,1556.0,451.0,0.0,0.0,711.0,890.0,1464433585.360
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,717.0,887.0,1464433586.360
12.265,0.250,86.984,0.501,0.0,0.0,0.0,49152.0,2177.0,563.0,0.0,0.0,732.0,911.0,1464433587.360
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,710.0,893.0,1464433588.360
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,735.0,925.0,1464433589.360
12.265,0.250,87.484,0.0,0.0,0.0,0.0,1474560.0,2113.0,563.0,0.0,0.0,745.0,903.0,1464433590.360
12.406,0.125,87.469,0.0,0.0,0.0,0.0,0.0,1860.0,569.0,0.0,0.0,711.0,883.0,1464433591.360
12.250,0.375,86.875,0.500,0.0,0.0,0.0,53248.0,999.0,339.0,0.0,0.0,735.0,930.0,1464433592.360
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,736.0,899.0,1464433593.360
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,711.0,882.0,1464433594.360
12.265,0.250,87.484,0.0,0.0,0.0,0.0,225280.0,999.0,339.0,0.0,0.0,801.0,915.0,1464433595.360
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,762.0,955.0,1464433596.360
12.375,0.250,87.250,0.125,0.0,0.0,0.0,16384.0,1620.0,451.0,0.0,0.0,713.0,901.0,1464433597.360
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,728.0,906.0,1464433598.360
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,2241.0,563.0,0.0,0.0,724.0,886.0,1464433599.360
