"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.95_12_100_teratest_d72474b0-9a22-4d4c-bf94-45cf124fcf27.csv",,,,"Date:","31 May 2016 04:48:53 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.307,0.248,94.546,0.864,0.000,0.035,396125.127,1491617.353,0.0,0.0,154.031,403.491,718.219,890.032,1464662933.957
1.504,0.0,98.496,0.0,0.0,0.0,0.0,450560.0,12551.0,17589.0,0.0,0.0,795.0,1149.0,1464662934.958
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1552.0,444.0,0.0,0.0,441.0,866.0,1464662935.958
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1744.0,444.0,0.0,0.0,467.0,897.0,1464662936.958
0.125,0.0,99.499,0.375,0.0,0.0,0.0,53248.0,1616.0,444.0,0.0,0.0,506.0,945.0,1464662937.958
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1552.0,444.0,0.0,0.0,468.0,907.0,1464662938.958
0.125,0.125,99.750,0.0,0.0,0.0,0.0,593920.0,1552.0,444.0,0.0,0.0,522.0,955.0,1464662939.958
0.501,0.0,99.499,0.0,0.0,0.0,0.0,0.0,1552.0,444.0,0.0,0.0,484.0,955.0,1464662940.958
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1616.0,444.0,0.0,0.0,455.0,885.0,1464662941.958
0.125,0.125,99.376,0.375,0.0,0.0,0.0,69632.0,1680.0,444.0,0.0,0.0,459.0,878.0,1464662942.958
0.375,0.125,99.501,0.0,0.0,0.0,0.0,0.0,2102.0,996.0,0.0,0.0,539.0,991.0,1464662943.958
0.125,0.0,99.625,0.250,0.0,0.0,4096.0,253952.0,2594.0,1178.0,0.0,0.0,500.0,953.0,1464662944.958
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1868.0,562.0,0.0,0.0,439.0,859.0,1464662945.958
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2180.0,798.0,0.0,0.0,516.0,968.0,1464662946.958
0.125,0.0,99.499,0.375,0.0,0.0,0.0,32768.0,2174.0,798.0,0.0,0.0,466.0,894.0,1464662947.958
0.125,0.250,99.625,0.0,0.0,0.0,0.0,0.0,2378.0,3460.0,0.0,0.0,664.0,1877.0,1464662948.958
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2584.0,19616.0,0.0,0.0,490.0,900.0,1464662949.958
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1750.0,444.0,0.0,0.0,464.0,891.0,1464662950.958
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,1616.0,444.0,0.0,0.0,481.0,895.0,1464662951.958
0.125,0.0,99.499,0.376,0.0,0.0,0.0,20480.0,1680.0,444.0,0.0,0.0,475.0,910.0,1464662952.958
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1680.0,444.0,0.0,0.0,480.0,928.0,1464662953.958
0.125,0.0,99.875,0.0,0.0,0.0,0.0,86016.0,1744.0,444.0,0.0,0.0,501.0,915.0,1464662954.958
0.500,0.125,99.375,0.0,0.0,0.0,0.0,0.0,1808.0,444.0,0.0,0.0,471.0,879.0,1464662955.958
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1872.0,444.0,0.0,0.0,489.0,929.0,1464662956.958
0.250,0.0,99.501,0.250,0.0,0.0,0.0,32768.0,1808.0,444.0,0.0,0.0,459.0,887.0,1464662957.958
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1680.0,444.0,0.0,0.0,455.0,881.0,1464662958.958
0.250,0.0,99.750,0.0,0.0,0.0,0.0,24576.0,1552.0,444.0,0.0,0.0,468.0,894.0,1464662959.958
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1552.0,444.0,0.0,0.0,454.0,895.0,1464662960.958
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1616.0,444.0,0.0,0.0,459.0,912.0,1464662961.958
0.125,0.125,99.375,0.375,0.0,0.0,0.0,28672.0,1616.0,444.0,0.0,0.0,454.0,880.0,1464662962.958
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1927.0,444.0,0.0,0.0,465.0,913.0,1464662963.958
10.362,1.498,88.015,0.125,0.0,0.0,4096.0,430080.0,1792.0,562.0,0.0,0.0,2001.0,1806.0,1464662964.958
21.625,1.0,77.375,0.0,0.0,0.0,0.0,679936.0,1622.0,744.0,0.0,0.0,1751.0,1372.0,1464662965.958
24.687,0.627,74.687,0.0,0.0,0.0,0.0,0.0,2011.0,690.0,0.0,0.0,1830.0,1345.0,1464662966.958
32.066,1.267,65.399,0.887,0.0,0.380,12288.0,237568.0,6671445.0,60219.0,0.0,0.0,5343.0,6063.0,1464662967.958
14.662,0.627,82.581,2.005,0.0,0.125,0.0,65536.0,2916690.0,304203.0,0.0,0.0,2685.0,2572.0,1464662968.958
14.806,1.255,82.936,1.004,0.0,0.0,0.0,36864.0,1911872.0,128659.0,0.0,0.0,2859.0,2761.0,1464662969.958
0.625,0.125,99.250,0.0,0.0,0.0,0.0,0.0,1901965.0,17718.0,0.0,0.0,1190.0,1106.0,1464662970.958
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1899088.0,9258.0,0.0,0.0,1064.0,975.0,1464662971.958
0.376,0.125,98.997,0.501,0.0,0.0,0.0,90112.0,1901334.0,10628.0,0.0,0.0,1082.0,1010.0,1464662972.958
0.377,0.0,99.623,0.0,0.0,0.0,0.0,0.0,1901534.0,14416.0,0.0,0.0,1083.0,1052.0,1464662973.958
0.252,0.0,99.497,0.252,0.0,0.0,0.0,389120.0,1899088.0,9264.0,0.0,0.0,1094.0,986.0,1464662974.958
0.877,0.125,98.246,0.752,0.0,0.0,0.0,487424.0,1903713.0,11766.0,0.0,0.0,1191.0,1153.0,1464662975.958
0.754,0.126,99.121,0.0,0.0,0.0,0.0,0.0,1582859.0,9012.0,0.0,0.0,949.0,1099.0,1464662976.958
16.815,3.439,78.981,0.637,0.0,0.127,0.0,98304.0,192667.0,24532.0,0.0,0.0,7231.0,8386.0,1464662977.958
90.201,7.915,1.633,0.126,0.0,0.126,131072.0,0.0,16744.0,13274.0,0.0,0.0,3512.0,4820.0,1464662978.958
97.500,2.500,0.0,0.0,0.0,0.0,0.0,0.0,4060.0,1577.0,0.0,0.0,2607.0,3156.0,1464662979.958
96.500,3.500,0.0,0.0,0.0,0.0,0.0,1433600.0,0.0,0.0,0.0,0.0,2832.0,2506.0,1464662980.958
94.375,5.625,0.0,0.0,0.0,0.0,0.0,0.0,18630.0,4814.0,0.0,0.0,3539.0,2592.0,1464662981.958
93.726,5.646,0.627,0.0,0.0,0.0,0.0,503808.0,12354.0,11601.0,0.0,0.0,3447.0,3770.0,1464662982.958
96.375,3.625,0.0,0.0,0.0,0.0,0.0,0.0,4414.0,1186.0,0.0,0.0,2842.0,4379.0,1464662983.958
97.118,2.882,0.0,0.0,0.0,0.0,0.0,0.0,10645.0,3853.0,0.0,0.0,3272.0,7975.0,1464662984.958
95.381,4.494,0.125,0.0,0.0,0.0,0.0,0.0,12388.0,27794.0,0.0,0.0,3085.0,3183.0,1464662985.958
87.218,12.030,0.501,0.0,0.0,0.251,24576.0,0.0,14254.0,31303.0,0.0,0.0,3536.0,4570.0,1464662986.958
95.880,3.745,0.0,0.0,0.0,0.375,0.0,163840.0,4560.0,4694.0,0.0,0.0,3618.0,9185.0,1464662987.958
91.500,7.750,0.0,0.0,0.0,0.750,24576.0,0.0,4826.0,3172.0,0.0,0.0,4786.0,14308.0,1464662988.958
94.236,5.388,0.0,0.0,0.0,0.376,0.0,0.0,4340.0,3722.0,0.0,0.0,2812.0,3122.0,1464662989.958
97.253,2.247,0.0,0.0,0.0,0.499,0.0,1777664.0,3585.0,1297.0,0.0,0.0,2774.0,1920.0,1464662990.958
95.375,4.625,0.0,0.0,0.0,0.0,0.0,0.0,9158.0,2697.0,0.0,0.0,2745.0,2826.0,1464662991.958
87.610,12.390,0.0,0.0,0.0,0.0,77824.0,143360.0,8199.0,7149.0,0.0,0.0,2910.0,3003.0,1464662992.958
78.750,20.500,0.250,0.0,0.0,0.500,0.0,0.0,4025.0,2296.0,0.0,0.0,3705.0,7086.0,1464662993.958
90.375,8.125,0.750,0.0,0.0,0.750,0.0,0.0,3843592.0,846785.0,0.0,0.0,5214.0,11571.0,1464662994.958
95.244,3.755,0.250,0.0,0.0,0.751,77824.0,0.0,10659801.0,2133084.0,0.0,0.0,4732.0,5392.0,1464662995.958
93.367,6.633,0.0,0.0,0.0,0.0,0.0,0.0,4496.0,2003.0,0.0,0.0,2601.0,1509.0,1464662996.958
84.461,15.288,0.251,0.0,0.0,0.0,0.0,90112.0,4000.0,1715.0,0.0,0.0,2635.0,1920.0,1464662997.958
84.894,14.856,0.125,0.0,0.0,0.125,0.0,0.0,5187.0,7609.0,0.0,0.0,2900.0,2761.0,1464662998.958
80.899,18.976,0.0,0.0,0.0,0.125,0.0,8192.0,8267.0,4882.0,0.0,0.0,2749.0,3359.0,1464662999.958
81.227,18.648,0.0,0.0,0.0,0.125,4096.0,93130752.0,13021.0,6632.0,0.0,0.0,2925.0,5154.0,1464663000.958
78.375,20.625,0.750,0.0,0.0,0.250,0.0,55062528.0,6673.0,9556.0,0.0,0.0,3168.0,7351.0,1464663001.958
63.098,18.010,18.136,0.756,0.0,0.0,0.0,192512.0,25040.0,16054.0,0.0,0.0,3718.0,4257.0,1464663002.958
53.401,7.809,38.665,0.126,0.0,0.0,4096.0,0.0,17918.0,14624.0,0.0,0.0,4897.0,5499.0,1464663003.958
73.797,4.430,21.646,0.0,0.0,0.127,0.0,0.0,11238.0,6488.0,0.0,0.0,4324.0,2935.0,1464663004.958
93.719,4.523,1.759,0.0,0.0,0.0,0.0,29552640.0,6096.0,4082.0,0.0,0.0,3809.0,2377.0,1464663005.958
95.745,3.504,0.250,0.0,0.0,0.501,8192.0,103284736.0,4961.0,3145.0,0.0,0.0,3492.0,2823.0,1464663006.958
88.525,5.296,4.540,1.387,0.0,0.252,0.0,104038400.0,18050.0,13763.0,0.0,0.0,3904.0,3142.0,1464663007.958
94.0,4.250,1.125,0.125,0.0,0.500,4096.0,108359680.0,4714.0,4911.0,0.0,0.0,4062.0,5403.0,1464663008.958
82.663,5.779,8.920,1.884,0.0,0.754,4096.0,116748288.0,0.0,0.0,0.0,0.0,5189.0,6705.0,1464663009.958
81.179,5.897,9.410,3.011,0.0,0.502,4096.0,102236160.0,14797.0,23138.0,0.0,0.0,4261.0,5696.0,1464663010.958
78.086,2.645,13.350,5.164,0.0,0.756,4096.0,112029696.0,11606.0,24486.0,0.0,0.0,5551.0,7444.0,1464663011.958
75.500,5.875,6.0,12.375,0.0,0.250,0.0,104828928.0,5385.0,6750.0,0.0,0.0,3118.0,2497.0,1464663012.958
66.457,6.910,15.955,10.302,0.0,0.377,4096.0,92110848.0,4350.0,3196.0,0.0,0.0,4285.0,5034.0,1464663013.958
64.750,8.250,17.750,8.625,0.0,0.625,4096.0,109051904.0,4215.0,3863.0,0.0,0.0,3340.0,3197.0,1464663014.958
66.078,5.296,23.581,4.666,0.0,0.378,4096.0,96825344.0,2901205.0,16920.0,0.0,0.0,4562.0,5967.0,1464663015.958
63.283,5.013,31.579,0.0,0.0,0.125,0.0,61173760.0,5417.0,6345.0,0.0,0.0,2721.0,2166.0,1464663016.958
61.827,8.886,28.661,0.501,0.0,0.125,0.0,131072.0,4199.0,2368.0,0.0,0.0,2269.0,1631.0,1464663017.958
57.519,10.777,31.704,0.0,0.0,0.0,0.0,0.0,4655.0,3083.0,0.0,0.0,2289.0,1814.0,1464663018.958
63.875,10.0,26.0,0.0,0.0,0.125,0.0,0.0,5553.0,4710.0,0.0,0.0,2573.0,3134.0,1464663019.958
54.318,13.016,32.666,0.0,0.0,0.0,0.0,0.0,4505.0,2763.0,0.0,0.0,2346.0,1928.0,1464663020.958
38.568,10.302,51.131,0.0,0.0,0.0,0.0,0.0,8889.0,6549.0,0.0,0.0,2828.0,3250.0,1464663021.958
39.375,7.500,52.375,0.750,0.0,0.0,0.0,143360.0,11082.0,7877.0,0.0,0.0,3168.0,2751.0,1464663022.958
27.547,2.893,69.560,0.0,0.0,0.0,0.0,0.0,12194.0,14624.0,0.0,0.0,2548.0,3040.0,1464663023.958
15.461,0.623,83.541,0.249,0.0,0.125,98304.0,0.0,21888.0,1368196.0,0.0,0.0,1768.0,1821.0,1464663024.958
1.394,0.380,98.226,0.0,0.0,0.0,0.0,0.0,240873.0,74816444.0,0.0,0.0,6543.0,3254.0,1464663025.958
0.630,0.252,99.118,0.0,0.0,0.0,0.0,0.0,75648.0,19224327.0,0.0,0.0,2067.0,1670.0,1464663026.958
0.876,0.0,98.999,0.125,0.0,0.0,0.0,131072.0,8553.0,398544.0,0.0,0.0,717.0,1081.0,1464663027.958
0.875,0.125,99.0,0.0,0.0,0.0,0.0,0.0,6686.0,381875.0,0.0,0.0,749.0,1109.0,1464663028.958
0.378,0.126,99.496,0.0,0.0,0.0,0.0,0.0,98026.0,32092254.0,0.0,0.0,3337.0,2074.0,1464663029.958
0.375,0.0,99.500,0.0,0.0,0.125,0.0,339968.0,40753.0,13641775.0,0.0,0.0,1208.0,1272.0,1464663030.958
0.626,0.125,98.874,0.375,0.0,0.0,139264.0,0.0,2550.0,1572.0,0.0,0.0,663.0,1059.0,1464663031.958
