"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_134217728_68478432_0.95_6_100_teratest_35200815-c619-4da4-81e9-c3b7b8980272.csv",,,,"Date:","31 May 2016 04:41:05 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.306,0.248,94.548,0.864,0.000,0.035,396279.448,1488624.776,0.0,0.0,154.093,403.654,717.492,889.338,1464662465.847
0.623,0.125,98.878,0.249,0.0,0.125,0.0,0.0,12736.0,17722.0,0.0,0.0,510.0,917.0,1464662466.848
0.501,0.0,99.374,0.125,0.0,0.0,0.0,131072.0,1929.0,437.0,0.0,0.0,506.0,914.0,1464662467.848
0.498,0.125,99.253,0.125,0.0,0.0,0.0,4096.0,1929.0,437.0,0.0,0.0,496.0,937.0,1464662468.848
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1929.0,437.0,0.0,0.0,482.0,918.0,1464662469.848
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1801.0,437.0,0.0,0.0,464.0,890.0,1464662470.848
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1865.0,437.0,0.0,0.0,456.0,877.0,1464662471.848
0.375,0.0,98.375,1.250,0.0,0.0,0.0,565248.0,1865.0,437.0,0.0,0.0,667.0,986.0,1464662472.848
7.615,0.499,91.760,0.125,0.0,0.0,0.0,4096.0,2231.0,791.0,0.0,0.0,1149.0,1574.0,1464662473.848
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2497.0,2129.0,0.0,0.0,457.0,897.0,1464662474.848
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1609.0,437.0,0.0,0.0,460.0,901.0,1464662475.848
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1545.0,437.0,0.0,0.0,454.0,898.0,1464662476.848
0.125,0.0,99.749,0.125,0.0,0.0,0.0,49152.0,1545.0,437.0,0.0,0.0,452.0,898.0,1464662477.848
0.125,0.0,99.624,0.251,0.0,0.0,0.0,4096.0,1673.0,501.0,0.0,0.0,466.0,895.0,1464662478.848
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,1545.0,437.0,0.0,0.0,454.0,886.0,1464662479.848
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1545.0,437.0,0.0,0.0,453.0,888.0,1464662480.848
1.247,0.0,98.005,0.623,0.0,0.125,0.0,20480.0,1545.0,437.0,0.0,0.0,729.0,1257.0,1464662481.848
0.250,0.0,99.750,0.0,0.0,0.0,0.0,32768.0,1673.0,437.0,0.0,0.0,452.0,879.0,1464662482.848
0.250,0.0,99.625,0.125,0.0,0.0,0.0,4096.0,1609.0,437.0,0.0,0.0,491.0,945.0,1464662483.848
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1849.0,555.0,0.0,0.0,478.0,922.0,1464662484.848
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1545.0,529.0,0.0,0.0,437.0,882.0,1464662485.848
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1545.0,550.0,0.0,0.0,453.0,899.0,1464662486.848
0.375,0.125,99.499,0.0,0.0,0.0,0.0,0.0,1545.0,437.0,0.0,0.0,464.0,893.0,1464662487.848
31.915,1.252,64.581,2.253,0.0,0.0,139264.0,1200128.0,1545.0,437.0,0.0,0.0,2131.0,2228.0,1464662488.848
32.750,1.875,63.500,1.875,0.0,0.0,8192.0,1409024.0,1701.0,593.0,0.0,0.0,2378.0,2253.0,1464662489.848
12.030,0.125,82.581,5.263,0.0,0.0,311296.0,344064.0,2955.0,4318.0,0.0,0.0,1188.0,1599.0,1464662490.848
0.627,0.0,99.373,0.0,0.0,0.0,20480.0,0.0,8497.0,113317.0,0.0,0.0,606.0,1000.0,1464662491.848
0.627,0.0,99.373,0.0,0.0,0.0,0.0,0.0,7539.0,102569.0,0.0,0.0,547.0,942.0,1464662492.848
6.030,0.0,92.588,1.382,0.0,0.0,1134592.0,0.0,10033.0,94892.0,0.0,0.0,853.0,1239.0,1464662493.848
5.639,0.251,93.233,0.877,0.0,0.0,790528.0,0.0,4875.0,92598.0,0.0,0.0,967.0,1460.0,1464662494.848
1.125,0.500,97.875,0.500,0.0,0.0,8192.0,118784.0,5092.0,14402.0,0.0,0.0,679.0,1225.0,1464662495.848
16.125,1.375,82.375,0.125,0.0,0.0,24576.0,0.0,2075.0,437.0,0.0,0.0,1767.0,1588.0,1464662496.848
26.976,0.878,71.895,0.251,0.0,0.0,57344.0,0.0,1609.0,437.0,0.0,0.0,1711.0,1395.0,1464662497.848
16.917,0.752,81.579,0.752,0.0,0.0,217088.0,4096.0,2278.0,1053.0,0.0,0.0,1171.0,1459.0,1464662498.848
0.250,0.375,99.375,0.0,0.0,0.0,0.0,0.0,1615.0,977.0,0.0,0.0,585.0,1101.0,1464662499.848
0.0,0.0,98.872,1.128,0.0,0.0,827392.0,0.0,1855.0,555.0,0.0,0.0,503.0,936.0,1464662500.848
0.375,0.125,97.747,1.752,0.0,0.0,1093632.0,159744.0,1617.0,507.0,0.0,0.0,550.0,1023.0,1464662501.848
0.0,0.0,98.623,1.377,0.0,0.0,0.0,622592.0,1973.0,743.0,0.0,0.0,575.0,898.0,1464662502.848
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1618.0,571.0,0.0,0.0,412.0,841.0,1464662503.848
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1548.0,501.0,0.0,0.0,428.0,862.0,1464662504.848
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1758.0,711.0,0.0,0.0,409.0,848.0,1464662505.848
0.0,0.0,99.625,0.375,0.0,0.0,0.0,102400.0,1682.0,507.0,0.0,0.0,416.0,885.0,1464662506.848
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1548.0,437.0,0.0,0.0,397.0,843.0,1464662507.848
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1612.0,437.0,0.0,0.0,413.0,858.0,1464662508.848
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1548.0,437.0,0.0,0.0,397.0,829.0,1464662509.848
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1548.0,437.0,0.0,0.0,375.0,814.0,1464662510.848
0.250,0.0,99.750,0.0,0.0,0.0,0.0,16384.0,1548.0,437.0,0.0,0.0,443.0,902.0,1464662511.848
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1752.0,577.0,0.0,0.0,406.0,866.0,1464662512.848
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,1746.0,507.0,0.0,0.0,422.0,868.0,1464662513.848
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1874.0,507.0,0.0,0.0,393.0,834.0,1464662514.848
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1944.0,577.0,0.0,0.0,402.0,849.0,1464662515.848
0.125,0.0,99.625,0.250,0.0,0.0,0.0,20480.0,1944.0,577.0,0.0,0.0,399.0,840.0,1464662516.848
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1804.0,501.0,0.0,0.0,370.0,806.0,1464662517.848
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1804.0,437.0,0.0,0.0,345.0,778.0,1464662518.848
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1804.0,437.0,0.0,0.0,363.0,813.0,1464662519.848
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2194.0,437.0,0.0,0.0,364.0,808.0,1464662520.848
0.0,0.0,99.749,0.251,0.0,0.0,0.0,20480.0,1676.0,437.0,0.0,0.0,364.0,803.0,1464662521.848
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1618.0,507.0,0.0,0.0,346.0,791.0,1464662522.848
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1992.0,695.0,0.0,0.0,351.0,781.0,1464662523.848
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1618.0,507.0,0.0,0.0,352.0,807.0,1464662524.848
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1752.0,577.0,0.0,0.0,343.0,761.0,1464662525.848
0.375,0.125,99.251,0.250,0.0,0.0,0.0,16384.0,1842.0,577.0,0.0,0.0,381.0,844.0,1464662526.848
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1702.0,437.0,0.0,0.0,365.0,802.0,1464662527.848
0.375,0.125,99.501,0.0,0.0,0.0,0.0,0.0,1766.0,527.0,0.0,0.0,367.0,808.0,1464662528.848
