"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_136956866_0.35_12_100_teratest_a2bd6c23-c6f6-47a3-b199-bc09df497803.csv",,,,"Date:","28 May 2016 17:37:00 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.189,0.125,97.968,0.696,0.000,0.022,333213.272,1031571.220,0.0,0.0,28.439,209.820,354.737,456.613,1464449820.430
13.392,0.375,86.233,0.0,0.0,0.0,0.0,0.0,13108.0,17874.0,0.0,0.0,917.0,1111.0,1464449821.431
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,679.0,887.0,1464449822.431
12.281,0.251,86.967,0.501,0.0,0.0,0.0,327680.0,999.0,339.0,0.0,0.0,759.0,883.0,1464449823.431
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,684.0,874.0,1464449824.431
12.516,0.125,87.359,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,666.0,845.0,1464449825.431
12.030,0.501,87.469,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,673.0,878.0,1464449826.431
12.235,0.375,87.391,0.0,0.0,0.0,0.0,0.0,2301.0,563.0,0.0,0.0,681.0,852.0,1464449827.431
12.250,0.375,86.750,0.625,0.0,0.0,0.0,40960.0,1618.0,451.0,0.0,0.0,687.0,887.0,1464449828.431
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,676.0,873.0,1464449829.431
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,677.0,856.0,1464449830.431
12.250,0.250,87.375,0.0,0.0,0.125,0.0,0.0,1682.0,797.0,0.0,0.0,673.0,870.0,1464449831.431
12.155,0.251,87.594,0.0,0.0,0.0,0.0,0.0,1319.0,339.0,0.0,0.0,705.0,909.0,1464449832.431
