"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_136956866_0.35_24_100_teratest_0483f66c-d3af-4523-8535-982d8a1bbca9.csv",,,,"Date:","28 May 2016 17:42:25 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.193,0.125,97.964,0.696,0.000,0.022,333116.881,1031225.315,0.0,0.0,28.533,209.747,354.873,456.770,1464450145.534
13.233,0.749,86.017,0.0,0.0,0.0,0.0,0.0,12291.0,17762.0,0.0,0.0,904.0,1127.0,1464450146.535
12.406,0.251,87.343,0.0,0.0,0.0,0.0,0.0,1127.0,749.0,0.0,0.0,754.0,980.0,1464450147.535
12.375,0.250,87.375,0.0,0.0,0.0,0.0,73728.0,2109.0,563.0,0.0,0.0,726.0,925.0,1464450148.535
12.235,0.499,87.266,0.0,0.0,0.0,0.0,208896.0,1554.0,451.0,0.0,0.0,727.0,871.0,1464450149.535
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,670.0,866.0,1464450150.535
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,691.0,877.0,1464450151.535
12.015,0.501,87.484,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,688.0,904.0,1464450152.535
12.265,0.250,86.859,0.626,0.0,0.0,0.0,40960.0,999.0,339.0,0.0,0.0,690.0,881.0,1464450153.535
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,692.0,883.0,1464450154.535
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,671.0,874.0,1464450155.535
