"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_136956866_0.5_12_100_teratest_9ce80641-9641-4382-910a-4ddae86dd5aa.csv",,,,"Date:","28 May 2016 17:53:15 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.201,0.125,97.956,0.696,0.000,0.022,332890.249,1030531.253,0.0,0.0,28.514,209.603,355.133,457.079,1464450795.885
13.409,0.501,86.090,0.0,0.0,0.0,0.0,0.0,8987.0,10523.0,0.0,0.0,971.0,1189.0,1464450796.886
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,6177.0,8060.0,0.0,0.0,666.0,851.0,1464450797.886
12.360,0.375,87.266,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,681.0,873.0,1464450798.886
12.500,0.125,86.875,0.500,0.0,0.0,0.0,49152.0,2109.0,563.0,0.0,0.0,688.0,868.0,1464450799.886
12.281,0.251,87.469,0.0,0.0,0.0,0.0,69632.0,1554.0,451.0,0.0,0.0,699.0,855.0,1464450800.886
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,685.0,882.0,1464450801.886
12.219,0.499,87.282,0.0,0.0,0.0,0.0,0.0,2301.0,563.0,0.0,0.0,673.0,847.0,1464450802.886
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,2271.0,451.0,0.0,0.0,661.0,847.0,1464450803.886
12.500,0.125,86.750,0.625,0.0,0.0,16384.0,36864.0,1191.0,685.0,0.0,0.0,721.0,934.0,1464450804.886
12.265,0.250,87.484,0.0,0.0,0.0,16384.0,229376.0,2109.0,563.0,0.0,0.0,782.0,916.0,1464450805.886
12.375,0.375,87.250,0.0,0.0,0.0,49152.0,0.0,1554.0,451.0,0.0,0.0,728.0,950.0,1464450806.886
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,759.0,993.0,1464450807.886
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,710.0,895.0,1464450808.886
12.250,0.375,86.625,0.750,0.0,0.0,16384.0,163840.0,1618.0,451.0,0.0,0.0,688.0,890.0,1464450809.886
12.250,0.375,87.375,0.0,0.0,0.0,0.0,8192.0,1191.0,339.0,0.0,0.0,686.0,868.0,1464450810.886
12.484,0.250,87.266,0.0,0.0,0.0,0.0,0.0,2237.0,563.0,0.0,0.0,678.0,858.0,1464450811.886
12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,1682.0,451.0,0.0,0.0,690.0,891.0,1464450812.886
12.235,0.375,87.391,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,684.0,872.0,1464450813.886
12.296,0.251,87.077,0.376,0.0,0.0,0.0,98304.0,2173.0,909.0,0.0,0.0,691.0,872.0,1464450814.886
12.235,0.375,87.391,0.0,0.0,0.0,0.0,0.0,1682.0,451.0,0.0,0.0,671.0,861.0,1464450815.886
12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,701.0,906.0,1464450816.886
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,2301.0,563.0,0.0,0.0,689.0,883.0,1464450817.886
12.360,0.250,87.391,0.0,0.0,0.0,16384.0,0.0,1682.0,451.0,0.0,0.0,705.0,915.0,1464450818.886
12.265,0.375,86.859,0.501,0.0,0.0,0.0,102400.0,1303.0,521.0,0.0,0.0,700.0,905.0,1464450819.886
12.140,0.375,87.484,0.0,0.0,0.0,16384.0,0.0,2109.0,627.0,0.0,0.0,713.0,924.0,1464450820.886
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1554.0,515.0,0.0,0.0,690.0,889.0,1464450821.886
12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,681.0,855.0,1464450822.886
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,2301.0,563.0,0.0,0.0,674.0,856.0,1464450823.886
12.594,0.125,86.658,0.623,0.0,0.0,0.0,106496.0,1682.0,451.0,0.0,0.0,704.0,906.0,1464450824.886
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1127.0,749.0,0.0,0.0,687.0,874.0,1464450825.886
22.528,1.126,76.345,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,1905.0,1744.0,1464450826.886
33.041,1.252,65.707,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,1806.0,1286.0,1464450827.886
36.954,1.248,61.798,0.0,0.0,0.0,0.0,0.0,1580.0,585.0,0.0,0.0,1969.0,1350.0,1464450828.886
18.113,0.755,80.252,0.881,0.0,0.0,0.0,167936.0,2237.0,563.0,0.0,0.0,1083.0,1362.0,1464450829.886
12.265,0.250,87.234,0.250,0.0,0.0,4096.0,360448.0,1746.0,451.0,0.0,0.0,782.0,875.0,1464450830.886
12.344,0.374,87.282,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,693.0,901.0,1464450831.886
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,695.0,896.0,1464450832.886
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,670.0,853.0,1464450833.886
12.422,0.125,86.826,0.627,0.0,0.0,0.0,155648.0,1127.0,685.0,0.0,0.0,694.0,910.0,1464450834.886
12.344,0.374,87.032,0.249,0.0,0.0,0.0,204800.0,2301.0,563.0,0.0,0.0,743.0,855.0,1464450835.886
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1746.0,451.0,0.0,0.0,665.0,855.0,1464450836.886
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,653.0,850.0,1464450837.886
12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,677.0,850.0,1464450838.886
12.265,0.250,86.984,0.501,0.0,0.0,0.0,49152.0,1618.0,451.0,0.0,0.0,670.0,873.0,1464450839.886
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,677.0,875.0,1464450840.886
12.484,0.250,87.266,0.0,0.0,0.0,0.0,0.0,2605.0,681.0,0.0,0.0,664.0,842.0,1464450841.886
12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,658.0,839.0,1464450842.886
12.235,0.375,87.391,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,670.0,868.0,1464450843.886
12.125,0.625,85.750,1.500,0.0,0.0,32768.0,98304.0,2109.0,909.0,0.0,0.0,743.0,983.0,1464450844.886
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,656.0,856.0,1464450845.886
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,693.0,903.0,1464450846.886
12.609,0.125,87.266,0.0,0.0,0.0,0.0,0.0,2429.0,563.0,0.0,0.0,669.0,850.0,1464450847.886
12.281,0.125,87.594,0.0,0.0,0.0,0.0,0.0,1746.0,451.0,0.0,0.0,658.0,849.0,1464450848.886
12.390,0.250,86.859,0.501,0.0,0.0,0.0,94208.0,1063.0,339.0,0.0,0.0,679.0,877.0,1464450849.886
12.360,0.375,87.266,0.0,0.0,0.0,16384.0,0.0,2237.0,563.0,0.0,0.0,682.0,880.0,1464450850.886
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1810.0,451.0,0.0,0.0,661.0,849.0,1464450851.886
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,762.0,1008.0,1464450852.886
12.281,0.376,87.343,0.0,0.0,0.0,16384.0,0.0,2301.0,563.0,0.0,0.0,693.0,901.0,1464450853.886
12.235,0.499,86.767,0.499,0.0,0.0,0.0,114688.0,1746.0,451.0,0.0,0.0,685.0,872.0,1464450854.886
12.484,0.250,87.266,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,676.0,887.0,1464450855.886
12.516,0.0,87.484,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,684.0,896.0,1464450856.886
