"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_136956866_0.95_12_100_teratest_abfe173d-f69a-4ace-9605-382ea8c8168d.csv",,,,"Date:","31 May 2016 10:36:19 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.639,0.305,93.950,1.061,0.000,0.045,491842.211,2032066.148,0.0,0.0,182.824,556.738,806.190,977.325,1464683779.500
1.375,0.125,98.0,0.500,0.0,0.0,0.0,57344.0,12862.0,18019.0,0.0,0.0,767.0,1209.0,1464683780.501
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1450.0,339.0,0.0,0.0,463.0,883.0,1464683781.501
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2500.0,561.0,0.0,0.0,473.0,885.0,1464683782.501
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2199.0,450.0,0.0,0.0,472.0,896.0,1464683783.501
0.0,0.0,99.875,0.125,0.0,0.0,4096.0,163840.0,1514.0,339.0,0.0,0.0,542.0,888.0,1464683784.501
0.0,0.0,99.625,0.375,0.0,0.0,0.0,94208.0,2500.0,561.0,0.0,0.0,482.0,909.0,1464683785.501
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1815.0,450.0,0.0,0.0,467.0,895.0,1464683786.501
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,455.0,882.0,1464683787.501
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2244.0,561.0,0.0,0.0,460.0,881.0,1464683788.501
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1559.0,450.0,0.0,0.0,458.0,887.0,1464683789.501
0.0,0.125,99.375,0.500,0.0,0.0,0.0,24576.0,1066.0,339.0,0.0,0.0,457.0,880.0,1464683790.501
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2116.0,561.0,0.0,0.0,461.0,882.0,1464683791.501
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1559.0,450.0,0.0,0.0,476.0,914.0,1464683792.501
