"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_410870598_0.35_24_100_teratest_e8a32017-87a2-491e-b323-7f36f946382a.csv",,,,"Date:","28 May 2016 18:14:55 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.218,0.126,97.940,0.695,0.000,0.022,332436.915,1029143.472,0.0,0.0,28.509,209.315,355.625,457.669,1464452095.821
13.517,0.375,85.232,0.876,0.0,0.0,0.0,159744.0,11787.0,15146.0,0.0,0.0,891.0,1103.0,1464452096.822
12.516,0.125,87.359,0.0,0.0,0.0,0.0,0.0,2033.0,3305.0,0.0,0.0,631.0,815.0,1464452097.821
12.250,0.375,87.375,0.0,0.0,0.0,16384.0,0.0,2365.0,563.0,0.0,0.0,655.0,840.0,1464452098.822
12.390,0.250,87.359,0.0,0.0,0.0,16384.0,0.0,2002.0,861.0,0.0,0.0,674.0,879.0,1464452099.822
12.375,0.250,87.375,0.0,0.0,0.0,16384.0,0.0,1319.0,339.0,0.0,0.0,679.0,901.0,1464452100.822
12.484,0.250,86.017,1.248,0.0,0.0,32768.0,180224.0,2429.0,563.0,0.0,0.0,693.0,901.0,1464452101.822
12.015,0.501,87.234,0.250,0.0,0.0,0.0,294912.0,1682.0,451.0,0.0,0.0,730.0,818.0,1464452102.822
12.250,0.375,87.375,0.0,0.0,0.0,16384.0,0.0,1063.0,339.0,0.0,0.0,653.0,852.0,1464452103.822
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2413.0,681.0,0.0,0.0,648.0,845.0,1464452104.822
12.484,0.250,87.266,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,651.0,855.0,1464452105.822
12.265,0.250,86.733,0.751,0.0,0.0,0.0,180224.0,999.0,339.0,0.0,0.0,661.0,868.0,1464452106.822
12.030,0.501,87.469,0.0,0.0,0.0,0.0,0.0,2237.0,563.0,0.0,0.0,648.0,849.0,1464452107.822
12.219,0.499,87.282,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,637.0,845.0,1464452108.822
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,638.0,824.0,1464452109.822
