"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_410870598_0.35_6_100_teratest_0c4004b2-3331-4d1e-b820-62f4e2f4f2da.csv",,,,"Date:","28 May 2016 18:04:05 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.209,0.125,97.948,0.695,0.000,0.022,332664.610,1029837.877,0.0,0.0,28.494,209.459,355.388,457.381,1464451445.958
13.625,0.375,86.0,0.0,0.0,0.0,0.0,0.0,7513.0,9077.0,0.0,0.0,885.0,1123.0,1464451446.959
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,6664.0,9276.0,0.0,0.0,634.0,815.0,1464451447.959
12.281,0.125,87.594,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,630.0,829.0,1464451448.959
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,642.0,832.0,1464451449.959
12.516,0.125,87.234,0.125,0.0,0.0,0.0,49152.0,2173.0,563.0,0.0,0.0,634.0,836.0,1464451450.959
12.015,0.501,87.484,0.0,0.0,0.0,0.0,69632.0,1682.0,451.0,0.0,0.0,654.0,811.0,1464451451.959
12.0,0.625,87.375,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,659.0,868.0,1464451452.959
12.015,0.501,87.484,0.0,0.0,0.0,0.0,0.0,2173.0,909.0,0.0,0.0,646.0,829.0,1464451453.959
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,608.0,792.0,1464451454.959
12.0,0.500,87.125,0.375,0.0,0.0,0.0,36864.0,1063.0,339.0,0.0,0.0,646.0,841.0,1464451455.959
12.030,0.501,87.469,0.0,0.0,0.0,0.0,77824.0,2301.0,563.0,0.0,0.0,666.0,851.0,1464451456.959
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1682.0,451.0,0.0,0.0,617.0,800.0,1464451457.959
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,643.0,854.0,1464451458.959
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2605.0,681.0,0.0,0.0,631.0,804.0,1464451459.959
12.250,0.375,86.875,0.500,0.0,0.0,0.0,28672.0,2072.0,451.0,0.0,0.0,635.0,841.0,1464451460.959
12.375,0.250,87.375,0.0,0.0,0.0,0.0,8192.0,1319.0,339.0,0.0,0.0,643.0,837.0,1464451461.959
12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2429.0,563.0,0.0,0.0,629.0,820.0,1464451462.959
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,1874.0,797.0,0.0,0.0,625.0,809.0,1464451463.959
12.0,0.625,87.375,0.0,0.0,0.0,0.0,0.0,1383.0,339.0,0.0,0.0,645.0,850.0,1464451464.959
12.281,0.251,87.093,0.376,0.0,0.0,0.0,24576.0,2301.0,563.0,0.0,0.0,644.0,831.0,1464451465.959
12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,1810.0,451.0,0.0,0.0,619.0,814.0,1464451466.959
12.375,0.375,87.250,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,693.0,897.0,1464451467.959
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,2109.0,627.0,0.0,0.0,654.0,836.0,1464451468.959
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1554.0,515.0,0.0,0.0,618.0,801.0,1464451469.959
12.265,0.250,86.984,0.501,0.0,0.0,0.0,20480.0,999.0,403.0,0.0,0.0,635.0,838.0,1464451470.959
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,2109.0,909.0,0.0,0.0,623.0,805.0,1464451471.959
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,629.0,824.0,1464451472.959
12.015,0.501,87.484,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,631.0,836.0,1464451473.959
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,628.0,796.0,1464451474.959
