"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_410870598_0.5_24_100_teratest_aa35bd81-73b6-4a0c-a5ca-5e0fc30eb1f7.csv",,,,"Date:","31 May 2016 11:30:31 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.629,0.305,93.964,1.058,0.000,0.045,490521.476,2026541.688,0.0,0.0,193.971,555.204,805.346,977.157,1464687031.082
1.375,0.125,98.500,0.0,0.0,0.0,0.0,0.0,5907.0,6456.0,0.0,0.0,688.0,1137.0,1464687032.083
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,8703.0,11796.0,0.0,0.0,436.0,875.0,1464687033.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,447.0,899.0,1464687034.083
0.125,0.125,99.376,0.375,0.0,0.0,0.0,65536.0,2116.0,561.0,0.0,0.0,450.0,900.0,1464687035.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,196608.0,1559.0,450.0,0.0,0.0,498.0,915.0,1464687036.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1194.0,339.0,0.0,0.0,438.0,865.0,1464687037.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2116.0,561.0,0.0,0.0,425.0,864.0,1464687038.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1751.0,450.0,0.0,0.0,424.0,860.0,1464687039.083
0.125,0.0,99.750,0.125,0.0,0.0,0.0,86016.0,1066.0,339.0,0.0,0.0,434.0,852.0,1464687040.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,428.0,860.0,1464687041.083
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,426.0,870.0,1464687042.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,436.0,886.0,1464687043.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,433.0,878.0,1464687044.083
1.001,0.0,98.248,0.751,0.0,0.0,32768.0,20480.0,1559.0,450.0,32768.0,0.0,476.0,918.0,1464687045.082
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1242.0,457.0,0.0,0.0,435.0,870.0,1464687046.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,441.0,898.0,1464687047.083
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,444.0,899.0,1464687048.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,451.0,900.0,1464687049.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,431.0,886.0,1464687050.083
0.0,0.0,99.749,0.251,0.0,0.0,0.0,16384.0,1623.0,450.0,0.0,0.0,435.0,891.0,1464687051.082
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,442.0,881.0,1464687052.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,430.0,874.0,1464687053.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,441.0,893.0,1464687054.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,441.0,882.0,1464687055.083
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,2372.0,561.0,0.0,0.0,440.0,879.0,1464687056.083
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,433.0,876.0,1464687057.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1130.0,339.0,0.0,0.0,435.0,858.0,1464687058.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2244.0,561.0,0.0,0.0,437.0,894.0,1464687059.083
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,430.0,881.0,1464687060.083
0.0,0.0,99.625,0.375,0.0,0.0,0.0,86016.0,1066.0,339.0,0.0,0.0,488.0,920.0,1464687061.083
10.638,1.001,88.360,0.0,0.0,0.0,4096.0,0.0,1846.0,448.0,0.0,0.0,1708.0,1727.0,1464687062.083
21.402,1.126,77.472,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,1581.0,1298.0,1464687063.083
23.935,0.877,75.188,0.0,0.0,0.0,0.0,0.0,1391.0,585.0,0.0,0.0,1495.0,1239.0,1464687064.083
4.887,0.752,94.361,0.0,0.0,0.0,0.0,0.0,2116.0,561.0,0.0,0.0,803.0,1303.0,1464687065.083
0.0,0.125,99.0,0.875,0.0,0.0,0.0,192512.0,1559.0,450.0,0.0,0.0,455.0,888.0,1464687066.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1130.0,339.0,0.0,0.0,442.0,887.0,1464687067.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2244.0,561.0,0.0,0.0,430.0,857.0,1464687068.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1991.0,632.0,0.0,0.0,441.0,888.0,1464687069.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1194.0,403.0,0.0,0.0,436.0,870.0,1464687070.083
0.125,0.125,98.753,0.998,0.0,0.0,0.0,229376.0,2180.0,625.0,0.0,0.0,492.0,909.0,1464687071.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,439.0,884.0,1464687072.083
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,461.0,889.0,1464687073.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,426.0,853.0,1464687074.083
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,430.0,867.0,1464687075.083
0.0,0.0,99.749,0.251,0.0,0.0,0.0,16384.0,1002.0,339.0,0.0,0.0,439.0,878.0,1464687076.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2116.0,561.0,0.0,0.0,433.0,877.0,1464687077.083
0.249,0.125,99.626,0.0,0.0,0.0,32768.0,0.0,1559.0,450.0,32768.0,0.0,496.0,953.0,1464687078.083
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,443.0,884.0,1464687079.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,439.0,864.0,1464687080.083
0.250,0.0,99.376,0.375,0.0,0.0,0.0,20480.0,1623.0,450.0,0.0,0.0,446.0,882.0,1464687081.083
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1258.0,339.0,0.0,0.0,430.0,860.0,1464687082.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,425.0,865.0,1464687083.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,447.0,907.0,1464687084.083
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,448.0,906.0,1464687085.083
0.125,0.0,99.625,0.250,0.0,0.0,0.0,16384.0,2180.0,561.0,0.0,0.0,439.0,872.0,1464687086.083
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,423.0,871.0,1464687087.082
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,437.0,874.0,1464687088.083
0.250,0.0,99.500,0.250,0.0,0.0,131072.0,0.0,2180.0,561.0,0.0,0.0,561.0,977.0,1464687089.083
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1863.0,568.0,0.0,0.0,432.0,873.0,1464687090.083
