"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_410870598_0.5_6_100_teratest_f965dc78-bf5f-4ee3-812f-caa310f07778.csv",,,,"Date:","31 May 2016 11:19:41 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.631,0.305,93.961,1.059,0.000,0.045,490789.330,2027642.955,0.0,0.0,192.998,555.510,805.525,977.200,1464686381.421
1.252,0.125,98.623,0.0,0.0,0.0,0.0,0.0,12065.0,17790.0,0.0,0.0,638.0,1062.0,1464686382.422
0.125,0.125,99.126,0.624,0.0,0.0,16384.0,163840.0,2548.0,679.0,0.0,0.0,465.0,935.0,1464686383.422
0.0,0.0,100.0,0.0,0.0,0.0,0.0,393216.0,1815.0,450.0,0.0,0.0,516.0,884.0,1464686384.422
0.125,0.125,99.750,0.0,0.0,0.0,32768.0,0.0,1130.0,339.0,0.0,0.0,460.0,909.0,1464686385.422
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,412.0,846.0,1464686386.422
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,424.0,872.0,1464686387.422
0.125,0.0,99.625,0.250,0.0,0.0,0.0,135168.0,1002.0,339.0,0.0,0.0,423.0,870.0,1464686388.422
0.0,0.125,99.750,0.125,0.0,0.0,28672.0,0.0,2116.0,561.0,0.0,0.0,449.0,901.0,1464686389.422
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1559.0,450.0,0.0,0.0,421.0,861.0,1464686390.422
0.125,0.125,99.750,0.0,0.0,0.0,16384.0,0.0,1066.0,339.0,0.0,0.0,504.0,990.0,1464686391.422
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2308.0,561.0,0.0,0.0,423.0,867.0,1464686392.422
0.0,0.0,99.499,0.501,0.0,0.0,0.0,126976.0,1751.0,450.0,0.0,0.0,454.0,887.0,1464686393.422
0.125,0.0,99.625,0.250,0.0,0.0,32768.0,0.0,1258.0,339.0,0.0,0.0,455.0,923.0,1464686394.422
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2372.0,561.0,0.0,0.0,423.0,858.0,1464686395.422
