"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_410870598_0.95_24_100_teratest_5d40d398-e14b-45e2-ac43-02edb33cb8c8.csv",,,,"Date:","31 May 2016 11:14:16 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.632,0.305,93.960,1.059,0.000,0.045,490922.798,2028191.439,0.0,0.0,192.579,555.663,805.610,977.215,1464686056.590
1.619,0.249,97.634,0.498,0.0,0.0,98304.0,0.0,12494.0,17971.0,98304.0,0.0,786.0,1314.0,1464686057.591
1.255,0.0,97.742,1.004,0.0,0.0,32768.0,53248.0,1066.0,339.0,32768.0,0.0,548.0,1261.0,1464686058.591
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,435.0,865.0,1464686059.591
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,450.0,898.0,1464686060.591
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1258.0,339.0,0.0,0.0,437.0,880.0,1464686061.591
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,449.0,889.0,1464686062.591
0.125,0.0,99.500,0.375,0.0,0.0,0.0,106496.0,1815.0,450.0,0.0,0.0,486.0,921.0,1464686063.591
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1130.0,339.0,0.0,0.0,458.0,919.0,1464686064.591
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2436.0,561.0,0.0,0.0,436.0,862.0,1464686065.591
0.125,0.0,99.374,0.501,0.0,0.0,16384.0,0.0,2183.0,568.0,0.0,0.0,453.0,875.0,1464686066.591
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1322.0,339.0,0.0,0.0,430.0,866.0,1464686067.591
0.0,0.0,99.875,0.125,0.0,0.0,0.0,339968.0,2436.0,561.0,0.0,0.0,502.0,886.0,1464686068.590
0.125,0.0,99.750,0.125,0.0,0.0,16384.0,0.0,1751.0,544.0,0.0,0.0,450.0,901.0,1464686069.591
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1130.0,339.0,0.0,0.0,427.0,854.0,1464686070.591
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2116.0,561.0,0.0,0.0,429.0,862.0,1464686071.591
0.0,0.0,100.0,0.0,0.0,0.0,16384.0,0.0,1559.0,450.0,0.0,0.0,473.0,941.0,1464686072.591
0.0,0.125,98.625,1.250,0.0,0.0,16384.0,151552.0,1130.0,339.0,0.0,0.0,467.0,907.0,1464686073.591
0.0,0.0,99.749,0.251,0.0,0.0,16384.0,0.0,2116.0,625.0,0.0,0.0,453.0,888.0,1464686074.591
0.0,0.0,99.875,0.125,0.0,0.0,16384.0,0.0,1559.0,514.0,0.0,0.0,456.0,910.0,1464686075.591
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1066.0,403.0,0.0,0.0,441.0,879.0,1464686076.591
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,439.0,857.0,1464686077.591
0.0,0.125,98.623,1.252,0.0,0.0,16384.0,200704.0,1623.0,450.0,0.0,0.0,463.0,919.0,1464686078.591
0.0,0.0,99.875,0.125,0.0,0.0,16384.0,0.0,1066.0,339.0,0.0,0.0,454.0,914.0,1464686079.591
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,442.0,878.0,1464686080.591
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,438.0,894.0,1464686081.591
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,443.0,879.0,1464686082.591
